"state_fip","question","response","pct","pct_low","pct_upp","total_n"
"39","q6d",3,24.13,19.81,28.46,500
"39","q6d",4,48.95,44.09,53.81,500
"42","q6d",1,15.79,12.03,19.55,500
"42","q6d",2,14.45,11.26,17.64,500
"42","q6d",3,21.27,17.36,25.19,500
"42","q6d",4,48.49,43.69,53.29,500
"55","q6d",1,15.2,11.76,18.63,500
"55","q6d",2,17.02,13.42,20.63,500
"55","q6d",3,21.46,17.52,25.39,500
"55","q6d",4,46.32,41.57,51.08,500
"04","q6e",1,11.81,8.3,15.32,500
"04","q6e",2,20.58,16.06,25.11,500
"04","q6e",3,20.23,16.12,24.34,500
"04","q6e",4,47.38,41.93,52.82,500
"12","q6e",1,16.17,12.78,19.55,500
"12","q6e",2,16.12,12.14,20.09,500
"12","q6e",3,22.88,18.98,26.78,500
"12","q6e",4,44.83,40.13,49.53,500
"26","q6e",1,12.49,9.12,15.86,500
"26","q6e",2,19.37,14.96,23.78,500
"26","q6e",3,18.13,14.66,21.61,500
"26","q6e",4,50,44.78,55.22,500
"37","q6e",1,12.87,9.73,16.01,500
"37","q6e",2,15.77,12.33,19.2,500
"37","q6e",3,24.42,20.07,28.76,500
"37","q6e",4,46.95,41.89,52,500
"39","q6e",1,9.94,7.01,12.87,500
"39","q6e",2,16.14,12.63,19.64,500
"39","q6e",3,24.82,20.63,29.01,500
"39","q6e",4,49.11,44.25,53.97,500
"42","q6e",1,14.53,10.97,18.08,500
"42","q6e",2,14.65,11.18,18.12,500
"42","q6e",3,17.52,14.05,21,500
"42","q6e",4,53.3,48.5,58.1,500
"55","q6e",1,15.08,11.59,18.58,500
"55","q6e",2,13.5,10.23,16.76,500
"55","q6e",3,23.61,19.61,27.61,500
"55","q6e",4,47.81,43.04,52.57,500
"04","q6f",1,16.08,12.42,19.74,500
"04","q6f",2,19.69,15.05,24.32,500
"04","q6f",3,16.11,12.51,19.71,500
"04","q6f",4,48.13,42.67,53.58,500
"12","q6f",1,18.45,14.88,22.03,500
"12","q6f",2,18.59,14.87,22.3,500
"12","q6f",3,20.71,16.68,24.74,500
"12","q6f",4,42.26,37.58,46.94,500
"26","q6f",1,17.14,13.26,21.01,500
"26","q6f",2,18.84,14.61,23.06,500
"26","q6f",3,18.06,14.34,21.78,500
"26","q6f",4,45.97,40.75,51.19,500
"37","q6f",1,17.26,13.7,20.81,500
"37","q6f",2,16.45,12.92,19.98,500
"37","q6f",3,20.37,16.67,24.08,500
"37","q6f",4,45.92,40.82,51.02,500
"39","q6f",1,13.4,10.29,16.5,500
"39","q6f",2,16.88,13.36,20.41,500
"39","q6f",3,23.09,18.77,27.4,500
"39","q6f",4,46.64,41.79,51.48,500
"42","q6f",1,17.88,14.21,21.55,500
"42","q6f",2,15.3,11.89,18.72,500
"42","q6f",3,19.42,15.65,23.18,500
"42","q6f",4,47.4,42.6,52.21,500
"55","q6f",1,18.06,14.33,21.79,500
"55","q6f",2,16,12.61,19.4,500
"55","q6f",3,22.06,18.04,26.08,500
"55","q6f",4,43.88,39.14,48.61,500
"04","q6g",1,18.81,14.86,22.77,500
"04","q6g",2,19.59,15.23,23.96,500
"04","q6g",3,19.69,15.45,23.93,500
"04","q6g",4,41.91,36.47,47.35,500
"12","q6g",1,20.93,17.15,24.71,500
"12","q6g",2,18.06,14.41,21.71,500
"12","q6g",3,20.5,16.51,24.49,500
"12","q6g",4,40.5,35.85,45.16,500
"26","q6g",1,20.17,16.24,24.1,500
"26","q6g",2,18.34,14.26,22.43,500
"26","q6g",3,20.02,15.81,24.22,500
"26","q6g",4,41.47,36.28,46.66,500
"37","q6g",1,17.48,13.88,21.07,500
"37","q6g",2,19.99,16.23,23.74,500
"37","q6g",3,20.04,16.24,23.83,500
"37","q6g",4,42.5,37.38,47.62,500
"39","q6g",1,19.45,15.48,23.43,500
"39","q6g",2,16.57,12.96,20.18,500
"39","q6g",3,22,18.12,25.88,500
"39","q6g",4,41.98,37.17,46.79,500
"42","q6g",1,20.5,16.78,24.22,500
"42","q6g",2,16.64,12.8,20.48,500
"42","q6g",3,19.49,15.81,23.17,500
"42","q6g",4,43.36,38.59,48.14,500
"55","q6g",1,22.8,18.9,26.69,499
"55","q6g",2,17.81,14.03,21.6,499
"55","q6g",3,17.84,14.13,21.56,499
"55","q6g",4,41.55,36.84,46.25,499
"04","q6h",1,13.34,9.55,17.13,500
"04","q6h",2,21.03,16.5,25.55,500
"04","q6h",3,17.23,13.47,21,500
"04","q6h",4,48.4,42.95,53.85,500
"12","q6h",1,14.96,11.7,18.23,500
"12","q6h",2,16.4,12.89,19.91,500
"12","q6h",3,23.83,19.58,28.07,500
"12","q6h",4,44.81,40.1,49.52,500
"26","q6h",1,13.77,10.08,17.47,500
"26","q6h",2,16.43,12.45,20.4,500
"26","q6h",3,21.18,16.88,25.49,500
"26","q6h",4,48.61,43.4,53.83,500
"37","q6h",1,12.88,9.71,16.06,500
"37","q6h",2,16.11,12.75,19.48,500
"37","q6h",3,20.85,16.68,25.02,500
"37","q6h",4,50.15,45.11,55.19,500
"39","q6h",1,10.23,7.49,12.97,500
"39","q6h",2,15.48,12.08,18.88,500
"39","q6h",3,25.07,20.76,29.38,500
"39","q6h",4,49.22,44.36,54.08,500
"42","q6h",1,14.26,11.02,17.5,500
"42","q6h",2,14.86,11.65,18.07,500
"42","q6h",3,17,13.11,20.9,500
"42","q6h",4,53.88,49.08,58.67,500
"55","q6h",1,12.96,9.75,16.17,500
"55","q6h",2,15.63,12.26,19.01,500
"55","q6h",3,23.51,19.38,27.64,500
"55","q6h",4,47.9,43.13,52.67,500
"04","q6i",1,17.47,13.27,21.66,500
"04","q6i",2,18.72,14.53,22.91,500
