"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"BELL","5519","SALADO CHURCH OF CHRIST ACTIVITIES CENTER","259"
"BELL","94664","SKYLINE BAPTIST CHURCH","41"
"BELL","5525","ST PAUL CHONG HASANG CATH CHURCH","400"
"BELL","5527","TROY COMMUNITY CENTER","116"
"BELL","5528","VFW POST 1820","430"
"BELL","94762","VFW POST 3892","124"
"BELL","5549","WEST BELL WATER SUPPLY OFFICE","216"
"BELL","5533","WILSON PARKS & RECREATION CENTER","109"
"BEXAR","93707","AUDITORIUM","135"
"BEXAR","92812","BURBANK HIGH SCHOOL","121"
"BEXAR","93654","CENTER","72"
"BEXAR","93562","CENTER","435"
"BEXAR","93779","CENTER","746"
"BEXAR","93793","CENTER","279"
"BEXAR","93727","CENTER","317"
"BEXAR","93787","CENTER","565"
"BEXAR","93810","CENTER","252"
"BEXAR","93831","CENTER","240"
"BEXAR","93676","CENTER","147"
"BEXAR","93580","CENTER","327"
"BEXAR","93728","CENTER","369"
"BEXAR","93784","CENTER","485"
"BEXAR","93508","CENTER","335"
"BEXAR","93741","CENTER","186"
"BEXAR","93715","CENTER","120"
"BEXAR","93781","CENTER","199"
"BEXAR","92835","CENTER","174"
"BEXAR","93585","CENTER","473"
"BEXAR","93809","CENTER","361"
"BEXAR","93640","CENTER","145"
"BEXAR","93755","CENTER","196"
"BEXAR","93762","CENTER","231"
"BEXAR","92849","CENTER","309"
"BEXAR","93695","CENTER","519"
"BEXAR","93627","CENTER","112"
"BEXAR","93807","CENTER","460"
"BEXAR","93469","CHURCH","213"
"BEXAR","93669","CHURCH","235"
"BEXAR","93798","CHURCH","455"
"BEXAR","93529","CHURCH","328"
"BEXAR","93677","CHURCH","289"
"BEXAR","93748","CHURCH","234"
"BEXAR","93759","CHURCH","411"
"BEXAR","93735","CHURCH","229"
"BEXAR","93718","CHURCH","204"
"BEXAR","93525","CHURCH","512"
"BEXAR","93589","CHURCH","259"
"BEXAR","93721","CHURCH","231"
"BEXAR","93699","CHURCH","342"
"BEXAR","93765","CHURCH","275"
"BEXAR","92831","CHURCH","207"
"BEXAR","93532","CHURCH","239"
"BEXAR","93725","CITY HALL","593"
"BEXAR","93730","CLUBHOUSE","299"
"BEXAR","93568","COURTHOUSE","546"
"BEXAR","93816","HALL","103"
"BEXAR","93703","HALL","345"
"BEXAR","93702","HALL","343"
"BEXAR","93819","HALL","86"
"BEXAR","93732","HALL","437"
"BEXAR","93740","HALL","114"
"BEXAR","93812","HALL","331"
"BEXAR","92811","HALL","187"
"BEXAR","93705","HALL","414"
"BEXAR","93815","HALL","83"
"BEXAR","93701","HALL","333"
"BEXAR","93723","HALLROOM","439"
"BEXAR","92836","INSIDE MALL","306"
"BEXAR","93792","LIBRARY","658"
"BEXAR","93772","LIBRARY","552"
"BEXAR","93488","LIBRARY","597"
"BEXAR","93729","LIBRARY","637"
"BEXAR","93821","LIBRARY","458"
"BEXAR","93828","LIBRARY","505"
"BEXAR","93749","LIBRARY","705"
"BEXAR","93672","LIBRARY","582"
"BEXAR","92818","LIBRARY","605"
"BEXAR","93842","LIBRARY","473"
"BEXAR","93733","LIBRARY","663"
"BEXAR","93652","LIBRARY","653"
"BEXAR","93776","LIBRARY","663"
"BEXAR","93780","LIBRARY","446"
"BEXAR","93481","LIBRARY","429"
"BEXAR","93434","LIBRARY","498"
"BEXAR","93472","LIBRARY","618"
"BEXAR","93698","LIBRARY","586"
"BEXAR","92828","LIBRARY","517"
"BEXAR","93674","LIBRARY","364"
"BEXAR","93803","LIBRARY","620"
"BEXAR","93459","MAIN OFFICE","675"
"BEXAR","93684","MALL","752"
"BEXAR","92842","OFFICE","496"
"BEXAR","93114","RETIREMENT HOME","170"
"BEXAR","92813","SAME","161"
"BEXAR","92810","SAN ANTONIO HOUSING AUTHORITY","507"
"BEXAR","93612","SCHOOL","148"
"BEXAR","93796","SCHOOL","202"
"BEXAR","93839","SCHOOL","302"
"BEXAR","92822","SCHOOL","203"
"BEXAR","93822","SCHOOL","112"
"BEXAR","93687","SCHOOL","527"
"BEXAR","93770","SCHOOL","273"
"BEXAR","93760","SCHOOL","288"
"BEXAR","93655","SCHOOL","137"
"BEXAR","93439","SCHOOL","506"
"BEXAR","93690","SCHOOL","356"
"BEXAR","93724","SCHOOL","253"
"BEXAR","93433","SCHOOL","175"
"BEXAR","93517","SCHOOL","83"
"BEXAR","93775","SCHOOL","163"
"BEXAR","93745","SCHOOL","314"
"BEXAR","93675","SCHOOL","288"
"BEXAR","93696","SCHOOL","227"
"BEXAR","93565","SCHOOL","172"
"BEXAR","93478","SCHOOL","183"
"BEXAR","93445","SCHOOL","355"
"BEXAR","92830","SCHOOL","178"
"BEXAR","93800","SCHOOL","130"
"BEXAR","92855","SCHOOL","247"
"BEXAR","93746","SCHOOL","288"
"BEXAR","93692","SCHOOL","327"
"BEXAR","93736","SCHOOL","311"
"BEXAR","92823","SCHOOL","219"
"BEXAR","93722","SCHOOL","331"
"BEXAR","92834","SCHOOL","256"
"BEXAR","93827","SCHOOL","185"
