muni,longitude,latitude,year
CITY OF MILWAUKEE,-87.96658325,42.9910202,2016
CITY OF MILWAUKEE,-87.96471767,43.12845312,2016
CITY OF MILWAUKEE,-87.96186829,42.98392868,2016
CITY OF MILWAUKEE,-87.96173096,43.04133224,2016
CITY OF MILWAUKEE,-87.959179,43.113616,2016
CITY OF MILWAUKEE,-87.958736,42.987367,2016
CITY OF MILWAUKEE,-87.95844801,43.07715721,2016
CITY OF MILWAUKEE,-87.95844801,43.09347779,2016
CITY OF MILWAUKEE,-87.95842,43.101983,2016
CITY OF MILWAUKEE,-87.9571297,43.08688626,2016
CITY OF MILWAUKEE,-87.9564743,43.04499817,2016
CITY OF MILWAUKEE,-87.956089,43.061902,2016
CITY OF MILWAUKEE,-87.955874,43.125378,2016
CITY OF MILWAUKEE,-87.95529775,43.03323604,2016
CITY OF MILWAUKEE,-87.95401096,43.0118461,2016
CITY OF MILWAUKEE,-87.95329285,43.05577469,2016
CITY OF MILWAUKEE,-87.95291901,42.98187637,2016
CITY OF MILWAUKEE,-87.95277405,42.93954468,2016
CITY OF MILWAUKEE,-87.95250702,43.13912201,2016
CITY OF MILWAUKEE,-87.952406,43.111002,2016
CITY OF MILWAUKEE,-87.95204163,43.01960754,2016
CITY OF MILWAUKEE,-87.950623,43.040079,2016
CITY OF MILWAUKEE,-87.94967987,42.99768403,2016
CITY OF MILWAUKEE,-87.94798279,43.06740189,2016
CITY OF MILWAUKEE,-87.94696808,43.04773331,2016
CITY OF MILWAUKEE,-87.94680786,43.02269745,2016
CITY OF MILWAUKEE,-87.94633484,43.05709076,2016
CITY OF MILWAUKEE,-87.94479,43.039619,2016
CITY OF MILWAUKEE,-87.94402242,43.01245764,2016
CITY OF MILWAUKEE,-87.94372,43.00889969,2016
CITY OF MILWAUKEE,-87.9434433,43.05052185,2016
CITY OF MILWAUKEE,-87.94316101,43.09486771,2016
CITY OF MILWAUKEE,-87.94280243,42.93688583,2016
CITY OF MILWAUKEE,-87.942245,43.020356,2016
CITY OF MILWAUKEE,-87.94197083,42.98939896,2016
CITY OF MILWAUKEE,-87.94156647,43.08536911,2016
CITY OF MILWAUKEE,-87.94136047,43.07566071,2016
CITY OF MILWAUKEE,-87.94077301,42.95368195,2016
CITY OF MILWAUKEE,-87.94019318,43.10682678,2016
CITY OF MILWAUKEE,-87.94008636,43.0199585,2016
CITY OF MILWAUKEE,-87.93933105,43.0687294,2016
CITY OF MILWAUKEE,-87.93769836,42.96472931,2016
CITY OF MILWAUKEE,-87.93693542,43.06322098,2016
CITY OF MILWAUKEE,-87.936806,43.090886,2016
CITY OF MILWAUKEE,-87.936073,43.001699,2016
CITY OF MILWAUKEE,-87.93606567,43.00709534,2016
CITY OF MILWAUKEE,-87.93595123,43.0463562,2016
CITY OF MILWAUKEE,-87.93572235,42.97822952,2016
CITY OF MILWAUKEE,-87.93559265,42.98384857,2016
CITY OF MILWAUKEE,-87.934967,42.994766,2016
CITY OF MILWAUKEE,-87.9331665,43.09269333,2016
CITY OF MILWAUKEE,-87.93278262,43.11047763,2016
CITY OF MILWAUKEE,-87.93274689,43.08327103,2016
CITY OF MILWAUKEE,-87.932125,42.938905,2016
CITY OF MILWAUKEE,-87.9320755,43.06860352,2016
CITY OF MILWAUKEE,-87.93115787,43.01421985,2016
CITY OF MILWAUKEE,-87.93109551,43.03872988,2016
CITY OF MILWAUKEE,-87.92988785,42.96908967,2016
CITY OF MILWAUKEE,-87.929783,43.08728,2016
CITY OF MILWAUKEE,-87.929245,43.06112289,2016
CITY OF MILWAUKEE,-87.9284668,43.07462692,2016
CITY OF MILWAUKEE,-87.928432,42.989195,2016
CITY OF MILWAUKEE,-87.927501,43.042744,2016
CITY OF MILWAUKEE,-87.92556763,42.99642944,2016
CITY OF MILWAUKEE,-87.92464447,42.98378754,2016
CITY OF MILWAUKEE,-87.92430818,43.06764409,2016
CITY OF MILWAUKEE,-87.92346191,43.00746155,2016
CITY OF MILWAUKEE,-87.9230957,43.07673264,2016
CITY OF MILWAUKEE,-87.9224997,43.02065983,2016
CITY OF MILWAUKEE,-87.92168833,43.0393146,2016
CITY OF MILWAUKEE,-87.921017,42.951705,2016
CITY OF MILWAUKEE,-87.92047882,43.01512146,2016
CITY OF MILWAUKEE,-87.9201179,43.0491925,2016
CITY OF MILWAUKEE,-87.92002268,43.0044727,2016
CITY OF MILWAUKEE,-87.919559,43.087006,2016
CITY OF MILWAUKEE,-87.91938029,42.97187246,2016
CITY OF MILWAUKEE,-87.91865744,43.05532739,2016
CITY OF MILWAUKEE,-87.91845024,43.06320101,2016
CITY OF MILWAUKEE,-87.91540995,43.02406222,2016
CITY OF MILWAUKEE,-87.9145813,43.07820511,2016
CITY OF MILWAUKEE,-87.91406147,43.07369515,2016
CITY OF MILWAUKEE,-87.91310996,42.97697268,2016
CITY OF MILWAUKEE,-87.91281891,42.99442291,2016
CITY OF MILWAUKEE,-87.91048431,43.05580521,2016
CITY OF MILWAUKEE,-87.90895844,42.9732666,2016
CITY OF MILWAUKEE,-87.90888214,43.04176712,2016
CITY OF MILWAUKEE,-87.90661,43.047992,2016
CITY OF MILWAUKEE,-87.90590668,43.07014084,2016
CITY OF MILWAUKEE,-87.905761,42.991454,2016
CITY OF MILWAUKEE,-87.905471,42.966489,2016
CITY OF MILWAUKEE,-87.90525818,43.00223541,2016
CITY OF MILWAUKEE,-87.903419,43.0714,2016
CITY OF MILWAUKEE,-87.90324,42.990008,2016
CITY OF MILWAUKEE,-87.902512,43.051401,2016
CITY OF MILWAUKEE,-87.90222168,43.06848145,2016
CITY OF MILWAUKEE,-87.900586,43.078046,2016
CITY OF MILWAUKEE,-87.90006256,42.99848175,2016
CITY OF MILWAUKEE,-87.89765167,43.07032776,2016
CITY OF MILWAUKEE,-87.89615631,43.05197525,2016
CITY OF MILWAUKEE,-87.89466858,43.0565567,2016
CITY OF MILWAUKEE,-87.89425659,43.07188034,2016
CITY OF MILWAUKEE,-87.89347839,42.97799301,2016
CITY OF MILWAUKEE,-87.89099246,43.06741543,2016
CITY OF MILWAUKEE,-87.89041138,43.07038116,2016
CITY OF MILWAUKEE,-87.89013349,43.05352293,2016
CITY OF MILWAUKEE,-87.886575,43.06121,2016
CITY OF MILWAUKEE,-87.882709,43.079664,2016
CITY OF MILWAUKEE,-87.88232422,43.06233978,2016
CITY OF MILWAUKEE,-87.88036689,42.99296603,2016
CITY OF MILWAUKEE,-87.877634,43.066407,2016
CITY OF MILWAUKEE,-87.875443,43.075401,2016
CITY OF OAK CREEK,-87.93322,42.892166,2016
CITY OF OAK CREEK,-87.926583,42.905366,2016
CITY OF OAK CREEK,-87.91065979,42.88962936,2016
CITY OF OAK CREEK,-87.910509,42.888999,2016
CITY OF OAK CREEK,-87.901205,42.875883,2016
CITY OF OAK CREEK,-87.89370015,42.8459689,2016
CITY OF SOUTH MILWAUKEE,-87.872249,42.906921,2016
CITY OF SOUTH MILWAUKEE,-87.86966085,42.9153429,2016
CITY OF SOUTH MILWAUKEE,-87.856768,42.903627,2016
CITY OF SOUTH MILWAUKEE,-87.856168,42.929482,2016
CITY OF ST. FRANCIS,-87.864361,42.974579,2016
CITY OF ST. FRANCIS,-87.863078,42.97434,2016
CITY OF WAUWATOSA,-88.05208,43.041375,2016
CITY OF WAUWATOSA,-88.051473,43.067606,2016
CITY OF WAUWATOSA,-88.049113,43.052735,2016
CITY OF WAUWATOSA,-88.048062,43.08298,2016
CITY OF WAUWATOSA,-88.035793,43.100942,2016
CITY OF WAUWATOSA,-88.024284,43.062884,2016
CITY OF WAUWATOSA,-88.013937,43.043567,2016
CITY OF WAUWATOSA,-88.008803,43.06057,2016
CITY OF WAUWATOSA,-88.00866,43.052184,2016
CITY OF WAUWATOSA,-88.008316,43.059878,2016
CITY OF WAUWATOSA,-88.007263,43.052972,2016
CITY OF WAUWATOSA,-88.004021,43.063194,2016
CITY OF WAUWATOSA,-88.002719,43.045887,2016
CITY OF WAUWATOSA,-87.998964,43.04199,2016
CITY OF WEST ALLIS,-88.05690788,43.00263338,2016
CITY OF WEST ALLIS,-88.0424591,43.0196195,2016
CITY OF WEST ALLIS,-88.04001801,43.00351381,2016
CITY OF WEST ALLIS,-88.0392281,42.99440168,2016
CITY OF WEST ALLIS,-88.03106144,42.99540751,2016
CITY OF WEST ALLIS,-88.02964322,43.01956683,2016
CITY OF WEST ALLIS,-88.02108899,43.01405825,2016
CITY OF WEST ALLIS,-88.01976062,43.00801791,2016
CITY OF WEST ALLIS,-88.0187957,43.00271988,2016
