OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,GlobalID,SHAPE_Length,SHAPE_Area
458,C147,30,3,35,B,7,26,D113p,SM,0,{C78112AB-0AD8-4029-841F-7D454D350980},0.00359173306744654,8.22197342487723e-07
459,C139,30,3,19,B,6,22, ,SM,0,{76F004DF-7853-4FC9-B1A3-FA998E9A5769},0.0287090721951804,3.94326177444177e-05
460,C148,30,3,19,B,7,11,D136p,SM,0,{AB644543-E85C-4C4D-978E-7333B38E83B1},0.0142437954442162,2.92775199228455e-06
461,C150,30,3,19,B,7,11,D136p,SM,0,{E6400FC6-7515-4945-9CFB-6C9649D7FA34},0.00543664738854732,1.74975514090944e-06
462,C149,30,3,19,B,7,11,D136p,SM,0,{85A6DAAE-8002-48C2-8065-5D18B3809D80},0.0120711824968278,6.45395861021318e-06
463,B181,29,3,20,B,7,11,D137p,SM/Dry,0,{CB11BB11-3EF1-4C6E-9F02-5D391D52DA75},0.024017971304023,1.49124044387424e-05
464,E141,32,3,36,A,2,7, , ,0,{0D1466DF-D36D-4521-ACEE-73F1D6F243E5},0.0232421124095935,2.82999098552051e-05
465,L153,41,3,36,A,3,7,E151p,SM,0,{46E05CCB-E4AC-47A5-AEB7-C87F92F8EAB6},0.0234659765913959,2.36279454636015e-05
466,F181,33,3,36,A,3,7,E175p & S122, ,0,{1126469A-C854-49DD-9507-F7C5E4A7E705},0.071585773958727,0.000132428173086765
467,I144,37,3,38,B,5,24,H148p,SM,0,{95BF2D3A-4EB0-49FE-8680-117B3C124211},0.0277756462904491,3.68450223421324e-05
468,K143,40,3,35,C,5,15,J104p,NV,0,{64BF0FF4-595D-44A4-8D8A-0CA8E7477FF2},0.00687741093012706,6.022456908052e-07
469,G104,34,3,35,A,2,8, , ,0,{ED47EF5A-E3E0-469B-A30C-85C7174C4154},0.0236886919952986,2.4327785725854e-05
470,M172,42,3,35,C,1,4,L111p/ L113p, ,0,{2B162B2D-0AA8-4A94-BA37-02969202E86A},0.0258441556600526,2.80867259100744e-05
471,K150,40,3,35,B,5,15,J130p,NV,0,{5D562B07-59A1-41D5-A2E2-B44502B01850},0.00658630515814847,2.17847048685164e-06
472,L149,41,3,33,C,1,4, ,SM,0,{A96D8B7B-3641-496A-A650-D1A2F3C39315},0.0111229731268667,7.40716475441856e-06
473,L155,41,3,33,C,1,9,L117p,SM,0,{C1506DE8-3122-48B3-8FA0-B562EC00095D},0.00804927439363744,3.53003020331197e-06
474,N147,43,3,33,C,1,4,L144p, ,0,{12BAF723-2231-49F9-8766-88F7A9F9856E},0.019641573519766,2.09379176541585e-05
475,L135,41,3,26,A,2,9, , ,0,{743B3F8E-8DF0-46C8-8964-B0E3B9DA2A73},0.0398341055241591,5.90450023534495e-05
476,D142,31,3,20,A,7,11,D143p, ,0,{EF8BAC97-85B0-41F7-A74E-FD69218F5CA1},0.0556871507640768,0.000103196615207578
477,B184,29,3,19,B,6,23,Q119p,SM,0,{9C871BF7-1C69-41BF-A09A-E0B169CEF864},0.0161199464140561,1.62483334143761e-05
478,N149,43,3,33,C,1,1,M103p/M132p,SM,0,{736BCAA0-AFA5-43B1-8FD7-84AA8DD05EB7},0.0164289652638931,1.0359798752309e-05
479,H158,35,3,19,B,6,15,K129p,NV,0,{AE76BE53-C3DC-4D34-A7E6-61B42E555074},0.00364250114520468,7.24703996976156e-07
480,K151,40,3,35,C,4,15,J104p,NV,0,{386BFA7E-0633-41C1-8D76-6A39E3EB4AA1},0.00216258553970461,1.90466208300792e-07
481,J154,38,3,33,C,4,15,K118p,NV,0,{4B036412-AEF3-4FD2-A251-3D1823D48771},0.00848468199704906,3.17832436177439e-06
482,I125,37,3,38,C,5,13, , ,0,{FB990DDA-8811-4AA4-B1DA-9BED49609907},0.0588108717831145,0.00016729679533436
483,C124,30,3,19,A,2,26,C122p/C124p, ,0,{BB49AA0A-CA70-415F-9AEB-822783A7B4A5},0.0509914639565826,7.77155705600984e-05
484,G169,34,3,19,A,2,9,G150p, ,0,{9F641B17-5C18-41AE-9606-E8E466C45EDA},0.0291702163100412,3.60939616768093e-05
485,J151,38,3,37,C,5,13,I123p,SM,0,{09F7FE3B-44C7-4702-B36B-527D707E0F6C},0.0275479262218013,4.33981440020782e-05
486,M165,42,3,19,A,2,8,G142p,NV,0,{508150C1-A222-45A6-8473-6F5B20C5E951},0.00766767247648435,2.21460094977774e-06
487,M164,42,3,19,A,2,9,G140p,SM,0,{1A19F38F-D493-4391-8C87-898BD463C14F},0.0105245466178309,2.94396583544491e-06
488,A141,28,3,37,C,4,25,K132p,SM,0,{296E9D16-74B9-4149-BFE3-FFC0B971D807},0.00978962931934299,5.18287432948653e-06
489,K132,40,3,37,C,4,25, , ,0,{910B3192-6A36-4A55-B1FD-8827BB56F8A4},0.0308366916397081,4.80862927355607e-05
490,M167,42,3,37,C,4,1,O140p,NV,0,{F42FCD60-72E2-46E2-83CB-A05E964BAAB6},0.017458250642537,1.65908684578395e-05
491,I107,37,3,37,B,5,15,I106p, ,0,{34E8CE1F-22D5-4337-8386-A2A6B1CA2C8F},0.0367389529057182,6.13960402397589e-05
492,D121,31,3,19,B,7,22, ,Dry,0,{9D627745-0DA2-4823-A394-08A640D4B80E},0.0397509707859026,7.05644913140211e-05
493,M141,42,3,33,C,1,9, , ,0,{89073DFF-DA96-4C77-9493-98BD0A534897},0.0284459971166707,3.56453391217098e-05
494,L163,41,3,35,C,1,4,L110p, ,0,{5AEC93EB-EDE0-4280-A2B6-95118EACF378},0.00680869342279217,2.79230993813484e-06
495,C151,30,3,35,A,2,26,C124p,SM,0,{D45C794B-ADAA-449A-9E2E-C185502B3D5A},0.00907409885545856,1.86682110588814e-06
496,J146,38,3,35,C,4,15,K118p,NV,0,{DFA8A8ED-E1BB-41F4-8B4B-8FE345FA9AFC},0.000748275491657484,1.71208235002876e-08
497,H145,35,3,38,B,5,24, , ,0,{3FBAECC7-E453-499F-9682-8303DB6C7176},0.032248324360735,5.72022114500078e-05
498,Q139,46,3,19,B,6,23,Q119p, ,0,{C810136B-376C-4E61-8C04-DEA72645F4AC},0.0768958952824271,0.000133318558160857
499,I135,37,3,38,C,5,13,B143p, ,0,{75D9A91A-1799-4C4B-8C0C-CF64839046DE},0.351260990746964,0.00205797768165372
500,G106,34,3,35,A,2,8, , ,0,{B10ACD90-BE26-42F0-8D99-4D1779BE268C},0.0215421343858449,2.38220004424357e-05
501,C110,30,3,35,B,6,2, , ,0,{F89B6A1F-9210-4FAE-9F56-A68B7623870A},0.0405303312158452,5.13725185239731e-05
502,C123,30,3,19,B,2,10, , ,0,{82E295C8-6F53-478D-A87A-0BCCAE037496},0.0244270157393445,3.23031036187849e-05
503,C145,30,3,35,B,6,10, , ,0,{4E589C8B-F107-490C-8EC0-11DC8F4F88DF},0.0344985316637948,2.09587315314214e-05
504,D110,31,3,19,A,2,26, , ,0,{5E30550B-D8CE-4DFD-94EB-755299114944},0.0350809657631946,3.161828744553e-05
505,D144,31,3,19,A,2,26,D109p/D130p, ,0,{33E79062-B99B-4B3D-BA4A-4C3F395F2196},0.0456594023771874,4.84695805344768e-05
506,E157,32,3,36,A,3,7, , ,0,{45EE8EA1-D59E-4944-85E9-04D6DA3B99B7},0.0263009308266819,3.52940042235011e-05
507,E176,32,3,36,A,3,18,E157p, ,0,{EFD71918-3EBB-4E8C-BBCF-0C1A50C681D9},0.0387880359082168,5.6529811311134e-05
508,E161,32,3,36,A,3,18, , ,0,{4E3A0E4E-1211-400D-A59A-D14149F212DE},0.0538943153654362,6.06187209098907e-05
509,F155,33,3,36,A,3A,17, , ,0,{EE4509F9-5654-4A64-A80E-5622CF44BA63},0.0884197268595357,0.000250618147408068
510,F158,33,3,36,A,3,19, , ,0,{FABE01BD-154B-465B-9A05-EF8A87D15DD1},0.0435498820613431,6.17842513488452e-05
511,G149,34,3,19,A,2,26, , ,0,{2C22A5CF-E3C5-4939-9634-B96C9507D0E4},0.0263411249833182,2.41653929629953e-05
512,G162,34,3,19,A,2,8, ,SM,0,{05FC4087-E5CB-4EF9-93D6-2D9E9772BA3B},0.0616154521505024,7.44855171569978e-05
