"PRECINCT","OBJECTID.x","LEGISDIST","CONGDIST","SENDIST","SCHOOLDIST","COUNDIST","FORMERPREC","precinct","tvotes16","tvotes20","vote_change","longitude_prec_cent","latitude_prec_cent","distance2020","OBJECTID_1","OBJECTID","PRECINCT.y","VOTE_LOC","VOTE_ADD","GlobalID","longitude2016poll","latitude2016poll","new_poll_long","new_poll_lat","distance2020miles","distance2016miles","poll_dist_change_miles","total_pop_sum","white_sum","over65sum","white_pct","nonwhite_pct","over65pct","turnout_pct_chg","tvotes16B","dist_chgXage65over","dist_chgXnonwhite","dist_chg_squared","color_nonwhite","color65"
"D140",133,31,3,19,"7",11,NA,"D140",228,380,152,-85.5982317141208,38.17928094259,97456.9549870844,172,172,"D141","Jeffersontown Elementary School","3610 Cedarwood Way","{A063F57D-AF5D-43C5-A9FA-55C921A9D280}",-85.583977411,38.1903656310001,-85.741452,38.199089,7.91514388498848,1.08934867895564,6.82579520603284,1219.90624637625,1008.54412327196,138.481140846906,82.6739043486217,17.3260956513783,11.3517855374761,66.6666666666667,228,77.4849633016171,118.264380636445,46.5914801947009,"#9FDDF3","#B1AAFB"
"B170",134,29,3,20,"7",20,NA,"B170",138,212,74,-85.5642070486186,38.1818769841618,94573.9013406961,143,143,"B170","Carrithers Middle School Cafeteria","4320 Billtown Rd","{749E4C13-9BA4-48D5-AD02-45DFEDD18002}",-85.574843731,38.1814444940001,-85.741452,38.199089,9.72110083754722,0.579846220970834,9.14125461657638,980.923643309607,794.789080368981,57.3676862603701,81.024561472225,18.975438527775,5.84833352235382,53.6231884057971,138,53.4611058104952,173.459315043585,83.562535965079,"#9FDDF3","#DDDBFB"
"J104",135,38,3,35,"5",15,NA,"J104",266,325,59,-85.7891882646124,38.191519319844,114181.958958855,175,175,"J101","Most Blessed Sacrament Pioneer","3509 Taylor Blvd","{D7A58450-46DE-4979-8A2E-0AF1C04D216B}",-85.782280478,38.1957523350001,-85.741452,38.199089,2.65029039016639,0.476050730842728,2.17423965932366,2740.20913649819,1538.39044022335,261.310097944866,56.1413513929566,43.8586486070434,9.53613702196481,22.1804511278195,266,20.7338473099005,95.3592132057742,4.72731809617587,"#3791FF","#DDDBFB"
"K137",136,40,3,33,"4",3,"K118p","K137",61,103,42,-85.8023500711193,38.1913038891531,115317.03987612,180,180,"K118","American Village","3700 W Wheatmore Dr","{CFB0BCBC-1289-461F-A575-88ECB2370869}",-85.800243301,38.1908678300001,-85.741452,38.199089,3.357986181316,0.11855948556358,3.23942669575241,1249.41813335645,293.394102986065,46.7808956249204,23.4824591666433,76.5175408333567,3.74421455683916,68.8524590163934,61,12.1291085900496,247.872964468901,10.4938853171534,"#0B2E4F","#DDDBFB"
"D136",137,31,3,19,"7",11,NA,"D136",323,477,154,-85.6099140075397,38.1902094781709,98679.7563590686,204,204,"C136","Hunsinger Lane Baptist Church","3400 Summerfield Dr","{692E07ED-6607-433D-A99D-489A66CDA34E}",-85.615462227,38.2021661110001,-85.741452,38.199089,7.18601756049832,0.878232183085394,6.30778537741292,1478.07344340755,1187.05366708342,366.421379525068,80.310871721421,19.689128278579,24.7904717562831,47.6780185758514,323,156.37297524345,124.194795449628,39.7881563675042,"#9FDDF3","#7D76C7"
"J147",138,38,3,37,"5",15,"I105/I106p","J147",229,257,28,-85.7788016765201,38.1940573746931,113328.569707895,175,175,"J101","Most Blessed Sacrament Pioneer","3509 Taylor Blvd","{D7A58450-46DE-4979-8A2E-0AF1C04D216B}",-85.782280478,38.1957523350001,-85.741452,38.199089,2.06237183210446,0.222537767586848,1.83983406451761,1935.32520715728,1450.6905390962,203.907146097705,74.9584893397355,25.0415106602645,10.5360662561315,12.2270742358079,229,19.3846136040452,46.0722243397356,3.38498938495939,"#00BAFF","#B1AAFB"
"O124",139,44,3,33,"4",3,NA,"O124 - SHI",173,173,0,-85.8403003235215,38.1779245320932,118387.544795526,144,144,"O111","Dixie Valley Church of God/Gym","4703 Quinn Dr","{F0F7F272-83D9-4B9D-84D8-521AC9D10666}",-85.835539387,38.17826416,-85.741452,38.199089,5.57544968989938,0.260262142166782,5.3151875477326,1156.42539828218,927.964432553052,185.277774464955,80.2442106452785,19.7557893547215,16.0215933289062,0,173,85.1577733566381,105.005725573844,28.2512186675717,"#9FDDF3","#B1AAFB"
"J108",140,38,3,37,"5",21,NA,"J108",295,351,56,-85.7773158418075,38.1776218789389,112920.034812508,133,133,"J107","Iroquois High School Gym Lobby","4615 Taylor Blvd","{88263A50-D545-46FC-A227-6F402A0CE974}",-85.781746929,38.1744867100001,-85.741452,38.199089,2.45026208967999,0.323979774232849,2.12628231544714,2077.29697535861,1665.57460195086,248.75481850501,80.1798982864899,19.8201017135101,11.9749280654523,18.9830508474576,295,25.4620777743229,42.1431317638002,4.52107648498325,"#9FDDF3","#B1AAFB"
"C111",141,30,3,35,"6",2,NA,"C111",461,565,104,-85.665121697063,38.1782953457551,103217.285855854,150,150,"C105","Newburg Community Center","4810 Exeter Ave","{4E0D66F2-59CD-42F6-972F-2CDBD1A9D5A6}",-85.670519567,38.180610852,-85.741452,38.199089,4.39569485579985,0.334469625049223,4.06122523075063,2144.70123078292,227.000895969598,210.434622193153,10.5842665967386,89.4157334032614,9.81183855227864,22.5596529284165,461,39.8480862885657,363.137432523397,16.4935503748855,"#0B2E4F","#DDDBFB"
"B182",142,29,3,20,"7",11,"D143p","B182",113,170,57,-85.5768346534438,38.1804608898868,95634.1070182932,143,143,"B170","Carrithers Middle School Cafeteria","4320 Billtown Rd","{749E4C13-9BA4-48D5-AD02-45DFEDD18002}",-85.574843731,38.1814444940001,-85.741452,38.199089,9.0526823509535,0.127870470833161,8.92481188012034,1083.32563233581,937.248974662031,120.602225922304,86.515904976898,13.484095023102,11.1325922993502,50.4424778761062,113,99.3562920097772,120.343011454853,79.6522670955371,"#9FDDF3","#B1AAFB"
"O126",143,44,3,33,"4",3,NA,"O126 - SHI",239,260,21,-85.8234455807179,38.179454354732,116949.14470162,135,135,"O131","St Lawrence Catholic Church","1925 Lewiston Dr","{7576FDA5-9300-4809-9A64-1E9D4CF4979C}",-85.8306727459999,38.1743424540001,-85.741452,38.199089,4.66432441749792,0.5283383820112,4.13598603548672,1594.03753021848,1147.48109222837,309.030741717947,71.9858265865984,28.0141734134016,19.3866666160357,8.78661087866109,239,80.1829823985604,115.866230033532,17.1063804857412,"#00BAFF","#B1AAFB"
"C115",144,30,3,35,"6",2,NA,"C115",311,421,110,-85.6327168023878,38.1789628970703,100428.634075924,148,148,"C141","Ninth and O Baptist Church","4401 Breckenridge Ln","{3FFF73B1-0356-4122-A70B-D0FE60408E46}",-85.624905697,38.183482763,-85.741452,38.199089,6.07971962473394,0.527279806859058,5.55243981787488,1193.5153689915,578.355480686129,81.9228982633079,48.4581510814417,51.5418489185583,6.8640002794879,35.3697749196142,311,38.1119484617329,286.183014222295,30.8295879311224,"#04448B","#DDDBFB"
"O113",145,44,3,33,"4",1,NA,"O113",211,269,58,-85.8560581840758,38.1778879195448,119754.544800866,142,142,"O112","Farnsley Middle School-Gym","3400 Lees Ln","{F9DCE91A-86F2-4320-844F-A7FCFCA64978}",-85.858453479,38.184356823,-85.741452,38.199089,6.40784490711027,0.464840445671119,5.94300446143915,1386.12390911879,814.77098306132,188.933872561821,58.7805302037753,41.2194697962247,13.6303739744258,27.4881516587678,211,81.0053733410969,244.967492897119,35.3193020286856,"#3791FF","#B1AAFB"
"B183",146,29,3,20,"7",20,"F143","B183",268,435,167,-85.5440753521754,38.1788845846249,92779.0351999057,168,168,"B183","Sojourn Church - Jeffersontown","11412 Taylorsville Rd","{6C7D613F-F1F9-4053-8C78-E61713F33EF4}",-85.5442294809999,38.1818615880001,-85.741452,38.199089,10.8344238126921,0.205501605372508,10.6289222073195,2368.05379816064,2175.24184437239,162.603843950706,91.8577882842858,8.14221171571418,6.86656038291893,62.3134328358209,268,72.9841361419073,86.5429349218515,112.97398728925,"#9FDDF3","#DDDBFB"
"K119",147,40,3,33,"4",15,NA,"K119",203,262,59,-85.8054406498505,38.1826074933921,115438.700533722,140,140,"K148","Gutermuth Elementary School Gym","1500 Sanders Ln","{3C8F8FE4-C173-43D0-BA95-9B467F6A4BD5}",-85.8075161469999,38.1778589900001,-85.741452,38.199089,3.66401220732922,0.346458721496198,3.31755348583302,1135.00945801871,888.229751637775,236.517101343598,78.2574757736633,21.7425242263367,20.8383374845587,29.064039408867,203,69.1322991608625,72.1319870378923,11.0061611313628,"#00BAFF","#7D76C7"
"C141",148,30,3,35,"6",2,NA,"C141",136,149,13,-85.6314849369999,38.1858210462524,100452.192401403,148,148,"C141","Ninth and O Baptist Church","4401 Breckenridge Ln","{3FFF73B1-0356-4122-A70B-D0FE60408E46}",-85.624905697,38.183482763,-85.741452,38.199089,6.05545089364874,0.392805067793155,5.66264582585558,1018.1505270184,607.566871976594,114.032308128457,59.6735802667431,40.3264197332569,11.1999458923224,9.55882352941176,136,63.421326856968,228.354232374227,32.0655577490796,"#3791FF","#B1AAFB"
"J107",149,38,3,33,"5",15,NA,"J107",132,201,69,-85.7881378013396,38.1822090229711,113932.83750943,153,153,"J105","Engine Company #12","4535 Manslick Rd","{0891D02E-166C-41B0-960D-668B030D0D22}",-85.7985641939999,38.181562824,-85.741452,38.199089,2.79533227611987,0.569375264160022,2.22595701195985,1947.68320677351,824.569033782119,122.70565072914,42.3358907092535,57.6641092907465,6.30008259569128,52.2727272727273,132,14.0237130298052,128.357828414156,4.95488461909322,"#04448B","#DDDBFB"
"I111",150,37,3,37,"5",21,NA,"I111",354,421,67,-85.7741767362323,38.1850144698678,112770.670040077,159,159,"I112","Beechmont Community Center","205 W Wellington Ave","{E5943342-6E9A-46C7-9C6E-318C422BBB7D}",-85.764590916,38.183960004,-85.741452,38.199089,2.02867312000885,0.526891261781314,1.50178185822754,1762.53374383715,1434.90477295585,230.856508418404,81.4114781049224,18.5885218950776,13.0979908456002,18.9265536723164,354,19.6703250311528,27.915904953293,2.25534874970136,"#9FDDF3","#B1AAFB"
"I110",151,37,3,37,"5",21,NA,"I110",70,73,3,-85.7780891476174,38.1869868864377,113143.037130615,175,175,"J101","Most Blessed Sacrament Pioneer","3509 Taylor Blvd","{D7A58450-46DE-4979-8A2E-0AF1C04D216B}",-85.782280478,38.1957523350001,-85.741452,38.199089,2.16191544700182,0.646190150140895,1.51572529686092,463.673565103751,353.503914184665,53.3023750316142,76.2398249090534,23.7601750909466,11.495668298383,4.28571428571429,70,17.4242752441812,36.0138984431925,2.29742317554412,"#00BAFF","#B1AAFB"
"C105",152,30,3,35,"6",2,NA,"C105",166,203,37,-85.6644815360081,38.1883643693382,103348.201488675,150,150,"C105","Newburg Community Center","4810 Exeter Ave","{4E0D66F2-59CD-42F6-972F-2CDBD1A9D5A6}",-85.670519567,38.180610852,-85.741452,38.199089,4.25450389760544,0.627722055142231,3.62678184246321,694.310161279304,74.1216152100055,92.3546910888759,10.6755769026097,89.3244230973903,13.3016476265748,22.289156626506,166,48.2421740869052,323.960195778117,13.1535465328208,"#0B2E4F","#B1AAFB"
"O111",153,44,3,33,"4",1,"O107p","O111",242,336,94,-85.8461385629794,38.1832791956839,118977.591843267,144,144,"O111","Dixie Valley Church of God/Gym","4703 Quinn Dr","{F0F7F272-83D9-4B9D-84D8-521AC9D10666}",-85.835539387,38.17826416,-85.741452,38.199089,5.80195713320298,0.672773669286211,5.12918346391677,1483.17275268878,860.653083417697,177.635372074545,58.027838082749,41.972161917251,11.9767149007098,38.8429752066116,242,61.4307680207662,215.282918850801,26.3085230065172,"#3791FF","#B1AAFB"
"V101",154,36,3,20,"7",20,"B152","V101",181,274,93,-85.5569335222449,38.1870483787585,94053.8167563581,170,170,"V106","The Jeffersonian","10617 Taylorsville Rd","{6F7C44F8-76FC-47B6-A689-DAFDAD85377E}",-85.558488478,38.1901131000001,-85.741452,38.199089,10.0781948112681,0.227698835568004,9.85049597570009,917.728216625464,764.845995510804,60.0089244499818,83.341231276857,16.658768723143,6.53885577046305,51.3812154696133,181,64.4109724526295,164.097134267438,97.0322709672837,"#9FDDF3","#DDDBFB"
"H154",155,35,3,35,"6",21,"H127p","H154",46,59,13,-85.7032314108584,38.1768450797009,106489.198810654,137,137,"H124","New Covenant Church of God","1272 Gilmore Ln","{EFB6F150-2085-4385-B138-7F54B6D20A77}",-85.705584333,38.1782369630001,-85.741452,38.199089,2.58510228871131,0.160083985821949,2.42501830288936,1298.97788999777,611.383583626652,97.7998629214237,47.0665119348337,52.9334880651663,7.52898595691968,28.2608695652174,46,18.2579287477272,128.364677393804,5.88071376934839,"#04448B","#DDDBFB"
"O123",156,44,3,33,"4",3,NA,"O123 - SHI",147,200,53,-85.8219154489443,38.186519108581,116930.407435567,182,182,"K130","Butler High School/Small Gym","2222 Crums Ln","{9075AF3A-D7D8-4765-ABE8-FA4E3289C80C}",-85.815274561,38.193114129,-85.741452,38.199089,4.46487631771059,0.5810269234695,3.88384939424108,1169.77030283947,734.547259607438,181.958129326548,62.7941449551607,37.2058550448393,15.5550306658383,36.0544217687075,147,60.4133964289173,144.501937578121,15.0842861171468,"#00BAFF","#B1AAFB"
"D122",157,31,3,20,"7",20,NA,"D122 - JEF",168,262,94,-85.5739743559933,38.1906752680575,95595.896314591,178,178,"B182","Tully Elementary School-Gym","3300 College Dr","{B42A07B7-B0D6-4CBA-A018-97FBBDAA6948}",-85.571398911,38.196124217,-85.741452,38.199089,9.13456047342733,0.401121425154971,8.73343904827236,1679.80414120234,1448.56408580691,192.035718070196,86.2341061244252,13.7658938755748,11.4320302801936,55.952380952381,168,99.8409396500744,120.223595107318,76.2729576098884,"#9FDDF3","#B1AAFB"
"D141",158,31,3,20,"7",11,NA,"D141",161,236,75,-85.5920983597745,38.1885524751115,97111.7311864169,172,172,"D141","Jeffersontown Elementary School","3610 Cedarwood Way","{A063F57D-AF5D-43C5-A9FA-55C921A9D280}",-85.583977411,38.1903656310001,-85.741452,38.199089,8.16212159028975,0.459418978104731,7.70270261218502,839.701559113615,729.572947766689,114.073313872391,86.8847913700224,13.1152086299776,13.584982978096,46.583850931677,161,104.641083871869,101.02255177348,59.3316275317619,"#9FDDF3","#B1AAFB"
"C106",159,30,3,35,"6",2,NA,"C106",409,539,130,-85.649881903961,38.1816713046347,101961.673558417,150,150,"C105","Newburg Community Center","4810 Exeter Ave","{4E0D66F2-59CD-42F6-972F-2CDBD1A9D5A6}",-85.670519567,38.180610852,-85.741452,38.199089,5.1273545370646,1.12593437386298,4.00142016320162,2700.96802906403,1460.67360437746,510.259395086474,54.0796332522168,45.9203667477832,18.8917228784561,31.7848410757946,409,75.5937208434716,183.746681406193,16.0113633224765,"#3791FF","#B1AAFB"
"C133",160,30,3,35,"7",22,NA,"C133",330,424,94,-85.6203017628591,38.1854560020155,99480.4730960492,148,148,"C141","Ninth and O Baptist Church","4401 Breckenridge Ln","{3FFF73B1-0356-4122-A70B-D0FE60408E46}",-85.624905697,38.183482763,-85.741452,38.199089,6.66135910557082,0.285203915300247,6.37615519027057,2217.19295486167,1302.04607296359,197.033798328531,58.7249779099549,41.2750220900451,8.88663288851303,28.4848484848485,330,56.6625504161215,263.175946327973,40.6553550104143,"#3791FF","#DDDBFB"
"V106",161,36,3,20,"7",20,"B171","V106",149,228,79,-85.565015102877,38.1886455800819,94782.5631393624,170,170,"V106","The Jeffersonian","10617 Taylorsville Rd","{6F7C44F8-76FC-47B6-A689-DAFDAD85377E}",-85.558488478,38.1901131000001,-85.741452,38.199089,9.63088371796842,0.369419652784199,9.26146406518422,1518.97687938913,1226.16769579897,93.1216564022045,80.7232626405798,19.2767373594202,6.13055127209401,53.0201342281879,149,56.7778803062681,178.530810348264,85.7747166306986,"#9FDDF3","#DDDBFB"
"C134",162,30,3,35,"6",10,NA,"C134",202,269,67,-85.6356082273691,38.1925798206144,100940.98213128,148,148,"C141","Ninth and O Baptist Church","4401 Breckenridge Ln","{3FFF73B1-0356-4122-A70B-D0FE60408E46}",-85.624905697,38.183482763,-85.741452,38.199089,5.77865800255198,0.85622632208511,4.92243168046687,1351.40510675981,1083.81688656047,139.720293128769,80.1992593589555,19.8007406410445,10.3388904207835,33.1683168316832,202,50.89248174814,97.4677930281855,24.2303336488639,"#9FDDF3","#B1AAFB"
"K131",163,40,3,33,"4",3,NA,"K131 - SHI",187,269,82,-85.8137971284868,38.1841109513301,116187.426769041,140,140,"K148","Gutermuth Elementary School Gym","1500 Sanders Ln","{3C8F8FE4-C173-43D0-BA95-9B467F6A4BD5}",-85.8075161469999,38.1778589900001,-85.741452,38.199089,4.07130047987075,0.550338823227543,3.52096165664321,1451.68623971087,778.384983187653,173.164825586242,53.6193677321543,46.3806322678457,11.9285297917221,43.8502673796791,187,41.9998960167799,163.304427825953,12.3971709875517,"#3791FF","#B1AAFB"
"I109",164,37,3,37,"5",15,NA,"I109",132,164,32,-85.7623308754593,38.1927201459837,111880.688998853,202,202,"I109","Suburban Masonic Lodge #740","3901 S 3rd St","{ABADB400-4C6E-41FA-B678-3C76DD06B08A}",-85.7649520109999,38.200017045,-85.741452,38.199089,1.21840093700567,0.52311519241063,0.695285744595037,1081.69942034321,815.890700878266,106.703657339379,75.4267484602512,24.5732515397488,9.86444619758819,24.2424242424242,132,6.85860881950779,17.0854314939354,0.483422266637075,"#00BAFF","#DDDBFB"
"O109",165,44,3,33,"4",1,"O107p","O109",369,473,104,-85.8354116171291,38.1876928505016,118119.035565702,186,186,"O109","Crums Lane Elem School Gym","3212 S Crums Ln","{E065163B-546E-4A6B-91E0-96833254C0DA}",-85.839075771,38.192885081,-85.741452,38.199089,5.174541991654,0.409919057911943,4.76462293374206,1719.17251146727,913.365840716845,211.983517211365,53.1282250399241,46.8717749600759,12.3305552989817,28.1842818428184,369,58.7504465633031,223.326333919974,22.7016317007408,"#3791FF","#B1AAFB"
"O121",166,44,3,33,"4",3,NA,"O121 - SHI",278,390,112,-85.8229036490065,38.1923409358944,117113.730319223,182,182,"K130","Butler High School/Small Gym","2222 Crums Ln","{9075AF3A-D7D8-4765-ABE8-FA4E3289C80C}",-85.815274561,38.193114129,-85.741452,38.199089,4.45787262376249,0.418687403727719,4.03918522003477,1187.58178046754,672.886564634681,185.0628198531,56.6602296954886,43.3397703045114,15.5831642836624,40.2877697841727,278,62.943286855943,175.057359653684,16.3150172417473,"#3791FF","#B1AAFB"
"D116",167,31,3,20,"7",11,"D142p","D116",283,445,162,-85.5888066276278,38.1955986526759,96975.6690871628,172,172,"D141","Jeffersontown Elementary School","3610 Cedarwood Way","{A063F57D-AF5D-43C5-A9FA-55C921A9D280}",-85.583977411,38.1903656310001,-85.741452,38.199089,8.31196860028939,0.446512488234908,7.86545611205448,1843.00269875794,1536.97684567159,273.971474362655,83.3952574625857,16.6047425374143,14.8654950178474,57.243816254417,283,116.923898646843,130.603873679996,61.8653998506552,"#9FDDF3","#B1AAFB"
"V105",168,36,4,20,"7",20,"B165","V105",190,274,84,-85.4768263158717,38.1567660953755,86548.0513600786,165,165,"V105","Fisherville Baptist Church/Gym","14910 Taylorsville Rd","{4E90948E-3AF3-4A4E-86D2-38D4B6C1241A}",-85.4661766789999,38.190517986,-85.741452,38.199089,14.7001323783763,2.3990647164297,12.3010676619466,1597.79867036776,1519.93667971392,223.188947697261,95.1269210509532,4.87307894904681,13.968527564608,44.2105263157895,190,171.827802710009,59.9440738742325,151.316265623788,"#9FDDF3","#B1AAFB"
"K117",169,40,3,37,"5",15,"I107p","K117",192,240,48,-85.7638152897406,38.1995761616228,112134.752074988,202,202,"I109","Suburban Masonic Lodge #740","3901 S 3rd St","{ABADB400-4C6E-41FA-B678-3C76DD06B08A}",-85.7649520109999,38.200017045,-85.741452,38.199089,1.21766369893187,0.0689386915475304,1.14872500738434,1965.50746018418,1376.64749122912,170.959651969041,70.0403086284966,29.9596913715034,8.69799049010078,25,192,9.99159918996993,34.4154466919628,1.31956914259015,"#00BAFF","#DDDBFB"
"K142",170,40,3,35,"5",15,"I127","K142",0,0,0,-85.771889682373,38.2026961510284,112890.462735171,257,257,"K110","South Louisville Govt Center","2911 Taylor Blvd","{54A98C17-220D-4F73-BCA1-EA245165377C}",-85.773573558,38.208034497,-85.741452,38.199089,1.67521933293961,0.379432046031959,1.29578728690765,361.764318746658,253.026503753606,42.113096090156,69.9423604379291,30.0576395620709,11.6410308888555,0,1,15.0842998322782,38.9483072189839,1.67906469291149,"#00BAFF","#B1AAFB"
"C136",171,30,3,19,"2",11,NA,"C136",120,196,76,-85.6229981006181,38.2039291664695,100093.04339732,204,204,"C136","Hunsinger Lane Baptist Church","3400 Summerfield Dr","{692E07ED-6607-433D-A99D-489A66CDA34E}",-85.615462227,38.2021661110001,-85.741452,38.199089,6.45571160147161,0.427792346003429,6.02791925546818,679.958052436929,560.260485191833,117.778549071213,82.3963306536178,17.6036693463822,17.3214433815588,63.3333333333333,120,104.4122620922,106.113497419952,36.3358105504441,"#9FDDF3","#B1AAFB"
"K116",172,40,3,35,"5",15,NA,"K116",37,33,-4,-85.7766408948227,38.2039549636873,113324.358980015,257,257,"K110","South Louisville Govt Center","2911 Taylor Blvd","{54A98C17-220D-4F73-BCA1-EA245165377C}",-85.773573558,38.208034497,-85.741452,38.199089,1.94440478874395,0.327168813231945,1.617235975512,216.165896160761,148.821579212298,24.6396413435468,68.8460029336085,31.1539970663915,11.3984868941688,-10.8108108108108,37,18.4340430716518,50.3833648367636,2.61545220049025,"#00BAFF","#B1AAFB"
"C103",173,30,3,35,"2",10,NA,"C103",205,246,41,-85.6659489704233,38.1963400382042,103630.516901768,189,189,"C102","Minor Daniels Academy Cafeteria","1960 Bashford Manor Ln","{BC780829-2A6F-499E-9B6C-FE9D5E4D202E}",-85.673072142,38.1977966380001,-85.741452,38.199089,4.11397792555901,0.400520288684188,3.71345763687483,1886.81216239884,1038.14667240785,184.736854025425,55.0211988822447,44.9788011177553,9.7909509863746,20,205,36.3582817126199,167.026872508203,13.789767620864,"#3791FF","#DDDBFB"
"O112",174,44,3,37,"4",1,"O140p","O112",146,193,47,-85.877699579623,38.1848415008613,121739.40140636,142,142,"O112","Farnsley Middle School-Gym","3400 Lees Ln","{F9DCE91A-86F2-4320-844F-A7FCFCA64978}",-85.858453479,38.184356823,-85.741452,38.199089,7.48131522556407,1.04828034491261,6.43303488065146,1531.70291019123,1211.72857225501,169.605971569574,79.1098955412791,20.8901044587209,11.07303318686,32.1917808219178,146,71.2332087256813,134.386770643404,41.3839377756783,"#00BAFF","#B1AAFB"
"C137",175,30,3,19,"2",10,NA,"C137",196,287,91,-85.6445148285392,38.1998655317179,101856.717734315,209,209,"C123","Newcomer Academy @ Myers Bldg","3741 Pulliam Dr","{90C23854-BA1A-4CB6-99E3-05438E8FBE03}",-85.643389685,38.204235483,-85.741452,38.199089,5.27640470679563,0.307563904208262,4.96884080258736,1427.150235712,1120.78684704441,208.672791966126,78.533206876097,21.466793123903,14.6216415584319,46.4285714285714,196,72.6526091763436,106.665077574751,24.689378921457,"#00BAFF","#B1AAFB"
"D113",176,31,3,35,"7",26,NA,"D113",169,267,98,-85.6202999703927,38.1978893153101,99732.2425897755,204,204,"C136","Hunsinger Lane Baptist Church","3400 Summerfield Dr","{692E07ED-6607-433D-A99D-489A66CDA34E}",-85.615462227,38.2021661110001,-85.741452,38.199089,6.59471635971134,0.395404810798623,6.19931154891272,1321.98565623119,796.184913917634,185.624269992638,60.2264411996312,39.7735588003688,14.0413225451953,57.9881656804734,169,87.0465330164378,246.568682412485,38.4314636804826,"#00BAFF","#B1AAFB"
"H121",177,35,3,19,"6",10,NA,"H121",117,180,63,-85.7115300559132,38.1950833188872,107536.655390566,187,187,"H120","Camp Taylor Elem School Gym","1446 Belmar Dr","{27FED6CC-F784-4F9B-A537-3A51188824F9}",-85.7190552759999,38.19646414,-85.741452,38.199089,1.65192377016169,0.420532585594458,1.23139118456723,840.228759324695,793.341298840423,121.968635705793,94.4196791690449,5.58032083095512,14.5161224669127,53.8461538461538,117,17.8750252398546,6.87155787829501,1.51632424942989,"#9FDDF3","#B1AAFB"
"J130",178,38,3,35,"5",15,NA,"J130",85,73,-12,-85.7790766308972,38.199471238979,113450.735771844,196,196,"J130","VFW Hall #6182","992 Longfield Ave","{42D0689A-6864-4BFC-84CC-91AF9A990138}",-85.777202163,38.1984004970001,-85.741452,38.199089,2.0480228750211,0.12594902258116,1.92207385243994,247.514823859359,173.108685824462,28.7914859754423,69.9387144273934,30.0612855726066,11.6322269214074,-14.1176470588235,85,22.357999211285,57.7800109698372,3.69436789423331,"#00BAFF","#B1AAFB"
"C102",179,30,3,35,"2",10,NA,"C102",203,237,34,-85.6766135149329,38.1991222953303,104605.0978335,189,189,"C102","Minor Daniels Academy Cafeteria","1960 Bashford Manor Ln","{BC780829-2A6F-499E-9B6C-FE9D5E4D202E}",-85.673072142,38.1977966380001,-85.741452,38.199089,3.52907225211158,0.213340505244486,3.31573174686709,1007.90146701822,575.564052973617,161.587076229755,57.1051905179152,42.8948094820848,16.032031058333,16.7487684729064,203,53.1579143468738,142.227681575564,10.9940770171823,"#3791FF","#B1AAFB"
"C135",180,30,3,35,"2",26,NA,"C135",181,298,117,-85.6282295976062,38.1996512772773,100451.312662223,204,204,"C136","Hunsinger Lane Baptist Church","3400 Summerfield Dr","{692E07ED-6607-433D-A99D-489A66CDA34E}",-85.615462227,38.2021661110001,-85.741452,38.199089,6.16264250378095,0.716214716360006,5.44642778742095,1214.18624713537,871.947118220448,190.271571720706,71.8132922587148,28.1867077412852,15.6707072057202,64.6408839779006,181,85.349375173772,153.516868278049,29.6635756435911,"#00BAFF","#B1AAFB"
"K130",181,40,3,33,"4",3,NA,"K130 - SHI",231,309,78,-85.8139375032816,38.1980874431877,116438.282653658,546,547,"M173","St Stephen United Church of Christ","1875 Farnsley Rd","{93DC415C-726E-4AD0-A350-E2021EDEE0A6}",-85.8112925839999,38.2024937310001,-85.741452,38.199089,3.94592103952808,0.336282847254884,3.6096381922732,576.463115633123,202.06006180527,98.8701490571241,35.0516895748567,64.9483104251433,17.1511665492312,33.7662337662338,231,61.9095058181434,234.439901834213,13.0294878791173,"#04448B","#B1AAFB"
"O119",182,44,3,33,"4",3,NA,"O119 - SHI",393,459,66,-85.8219832091455,38.1985916787333,117142.920745477,182,182,"K130","Butler High School/Small Gym","2222 Crums Ln","{9075AF3A-D7D8-4765-ABE8-FA4E3289C80C}",-85.815274561,38.193114129,-85.741452,38.199089,4.38335543183154,0.525426757837928,3.85792867399361,1571.59041713305,569.476355049238,230.574364973151,36.2356724017252,63.7643275982748,14.6714030869298,16.793893129771,393,56.6012266567849,245.998227819307,14.8836136536221,"#04448B","#B1AAFB"
"V112",183,36,3,20,"7",20,"F111","V112",4,6,2,-85.498393408473,38.1990423901244,89298.3327327126,165,165,"V105","Fisherville Baptist Church/Gym","14910 Taylorsville Rd","{4E90948E-3AF3-4A4E-86D2-38D4B6C1241A}",-85.4661766789999,38.190517986,-85.741452,38.199089,13.2293562084057,1.84955534243989,11.3798008659658,88.6342901209168,85.6117382919086,11.1099202363545,96.5898617511521,3.41013824884793,12.5345622119816,50,4,142.64082191441,38.8066941973028,129.499867749036,"#9FDDF3","#B1AAFB"
"H120",184,35,3,19,"6",10,NA,"H120",320,430,110,-85.7227405796364,38.1973139525867,108546.622656853,187,187,"H120","Camp Taylor Elem School Gym","1446 Belmar Dr","{27FED6CC-F784-4F9B-A537-3A51188824F9}",-85.7190552759999,38.19646414,-85.741452,38.199089,1.02578233383218,0.208980330966893,0.816802002865284,1469.86519464931,1384.40535543885,189.520895228122,94.1858723152604,5.81412768473962,12.8937603201999,34.375,320,10.5316492540042,4.74899113780982,0.667165511884739,"#9FDDF3","#B1AAFB"
