MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|SENTTYPE|SENTDATE|RECTYPE|RECDATE|ACC OR REJ|DUP|REQ DENIED|
AUBURN|N||048700838|D|5-1|2|20|63|5|TR|05/28/2014|MV|05/28/2014|MA|06/06/2014 10:30 am|ACC|||
AUBURN|N||100296186|D|3-1|2|20|62|5|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 10:05 am|ACC|||
AUBURN|N||048700877|R|2-1|2|20|64|6|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 12:35 pm|ACC|||
AUBURN|N||048700880|R|2-1|2|20|64|6|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 12:36 pm|ACC|||
AUBURN|N||048801412|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048701113|D|5-1|2|20|63|5|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 08:52 am|ACC|||
AUBURN|N||048701114|D|5-1|2|20|63|5|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 08:55 am|ACC|||
AUBURN|N||048701177|D|1-1|2|20|64|6|WV|06/03/2014|IF|06/03/2014|IF|06/05/2014 10:47 am|ACC|||
AUBURN|N||048701182|D|1-1|2|20|64|6|WV|06/03/2014|IV|06/03/2014|DV|06/05/2014 10:48 am|ACC|||
AUBURN|N||048701201|D|3-1|2|20|62|5|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 11:15 am|ACC|||
AUBURN|N||048710619|D|2-1|2|20|64|5|VP|05/22/2014|IV|05/22/2014|VP|05/22/2014 03:49 pm|ACC|||
AUBURN|N||100239330|D|2-1|2|20|64|5|VP|05/22/2014|IV|05/22/2014|VP|05/22/2014 03:55 pm|ACC|||
AUBURN|N||048701283|R|5-1|2|20|62|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 10:05 am|ACC|||
AUBURN|N||048701287|R|5-1|2|20|62|5|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 11:04 am|ACC|||
AUBURN|N||048701369|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048701415|D|5-1|2|20|63|5|TR|06/03/2014|MV|06/03/2014|MA|06/09/2014 10:45 am|ACC|||
AUBURN|N||048802257|D|4-1|2|20|62|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:24 am|ACC|||
AUBURN|N||048701795|R|1-1|2|20|62|5|ER|05/30/2014|MV|06/02/2014|||REJ|||
AUBURN|N||048701815|R|4-1|2|20|62|5|VP|05/28/2014|VP|05/28/2014|VP|05/28/2014 10:16 am|ACC|||
AUBURN|N||048701820|D|5-1|2|20|63|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:50 pm|ACC|||
AUBURN|N||100381851|D|1-1|2|20|64|5|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 10:30 am|ACC|||
AUBURN|N||100281108|R|4-1|2|20|62|5|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 12:29 pm|ACC|||
AUBURN|N||048701983|R|3-1|2|20|63|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 08:12 am|ACC|||
AUBURN|N||048701984|R|3-1|2|20|63|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 08:14 am|ACC|||
AUBURN|N||048702019|D|4-1|2|20|62|5|TR|05/23/2014|MV|05/23/2014|MA|06/02/2014 11:00 am|ACC|||
AUBURN|N||048702081|D|3-1|2|20|62|5|TR|06/02/2014|MV|06/02/2014|MA|06/09/2014 10:45 am|ACC|||
AUBURN|N||048702154|D|2-1|2|20|62|5|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 02:15 pm|ACC|||
AUBURN|N||048702239|R|3-1|2|20|63|5|WV|05/30/2014|MV|05/30/2014|MA|06/03/2014 10:00 am|ACC|||
AUBURN|N||048702256|R|3-1|2|20|63|5|WV|05/30/2014|MV|05/30/2014|MA|06/03/2014 10:00 am|ACC|||
AUBURN|N||048702275|R|3-1|2|20|63|5|WV|06/02/2014|MV|06/02/2014|MA|06/06/2014 10:30 am|ACC|||
AUBURN|N||100405892|D|5-1|2|20|62|5|WV|05/28/2014|IV|05/28/2014|DV|06/02/2014 02:54 pm|ACC|||
AUBURN|N||048702399|D|4-1|2|20|63|6|WV|05/22/2014|IF|05/22/2014|IF|05/23/2014 03:19 pm|ACC|||
AUBURN|N||048702405|D|4-1|2|20|63|6|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 01:29 pm|ACC|||
AUBURN|N||048702435|R|2-1|2|20|62|5|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 10:22 am|ACC|||
AUBURN|N||048702578|R|2-1|2|20|63|6|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:21 am|ACC|||
AUBURN|N||048803647|D|4-1|2|20|63|5|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 09:30 am|ACC|||
AUBURN|N||048702676|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048702691|D|3-1|2|20|63|6|TR|05/23/2014|MV|05/23/2014|MA|05/28/2014 09:00 am|ACC|||
AUBURN|N||100317006|D|2-1|2|20|62|5|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 02:15 pm|ACC|||
AUBURN|N||048804071|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048702999|D|2-1|2|20|64|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 06:18 pm|ACC|||
AUBURN|N||048703022|D|2-1|2|20|64|6|WV|06/04/2014|IV|06/04/2014|IF|06/04/2014 02:57 pm|ACC|||
AUBURN|N||048703026|D|2-1|2|20|64|6|WV|06/04/2014|IV|06/04/2014|DV|06/04/2014 02:57 pm|ACC|||
AUBURN|N||048703058|R|3-1|2|20|62|5|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 10:05 am|ACC|||
AUBURN|N||048703094|R|2-1|2|20|62|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 02:38 pm|ACC|||
AUBURN|N||048804668|D|1-1|2|20|62|5|TR|05/28/2014|MV|05/28/2014|MA|06/03/2014 10:00 am|ACC|||
AUBURN|N||048703250|D|2-1|2|20|64|6|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 11:06 am|ACC|||
AUBURN|N||048703258|D|2-1|2|20|64|6|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 11:03 am|ACC|||
AUBURN|N||022500168|R|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048703413|R|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048703425|D|5-1|2|20|62|5|WV|06/03/2014|IF|06/03/2014|DV|06/04/2014 03:35 pm|ACC|||
AUBURN|N||048703426|D|5-1|2|20|62|5|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 11:35 am|ACC|||
AUBURN|N||048703504|D|5-1|2|20|63|5|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 03:03 pm|ACC|||
AUBURN|N||048703604|R|4-1|2|20|63|6|ER|05/19/2014|MV|05/19/2014|DV|06/10/2014 12:00 pm|ACC|||
AUBURN|N||048703644|R|4-1|2|20|63|6|ER|05/14/2014|MV|05/15/2014|IF|06/10/2014 12:00 pm|ACC|||
AUBURN|N||048703778|D|2-1|2|20|64|6|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 12:58 pm|ACC|||
AUBURN|N||048703793|D|5-1|2|20|63|5|TR|05/23/2014|MV|05/23/2014|TP|05/27/2014 11:57 am|REJ|||
AUBURN|N||048703793|D|5-1|2|20|63|5|TR|05/27/2014|MV|05/27/2014|MA|06/04/2014 11:22 am|ACC|2||
AUBURN|N||100213101|D|1-1|2|20|62|5|WV|06/04/2014|IF|06/04/2014|MA|06/06/2014 10:30 am|ACC|||
AUBURN|N||048704018|D|3-1|2|20|64|6|TR|06/02/2014|MV|06/02/2014|MA|06/09/2014 10:45 am|ACC|||
AUBURN|N||100368520|D|1-1|2|20|64|5|TR|05/29/2014|MV|05/29/2014|IF|06/10/2014 11:38 am|ACC|||
AUBURN|N||008900399|R|1-1|2|20|64|5|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 10:30 am|ACC|||
AUBURN|N||008900400|R|1-1|2|20|64|5|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 10:30 am|ACC|||
AUBURN|N||048704261|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||100083571|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048806046|D|3-1|2|20|62|5|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 11:15 am|ACC|||
AUBURN|N||048704332|R|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048806187|D|4-1|2|20|63|5|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 10:10 am|REJ|||
AUBURN|N||048806187|D|4-1|2|20|63|5|VP|05/29/2014|VP|05/29/2014|VP|05/29/2014 01:00 pm|ACC|2||
AUBURN|N||048704470|D|3-1|2|20|63|6|VP|05/21/2014|VP|05/21/2014|VP|05/21/2014 12:10 pm|ACC|||
AUBURN|N||048704474|D|3-1|2|20|63|6|VP|05/21/2014|VP|05/21/2014|VP|05/21/2014 12:06 pm|ACC|||
AUBURN|N||048704510|D|1-1|2|20|62|5|WV|05/29/2014|IF|05/29/2014|IF|06/05/2014 02:35 pm|ACC|||
AUBURN|N||048704511|G|1-1|2|20|62|5|WV|05/29/2014|IV|05/29/2014|DV|06/05/2014 02:57 pm|ACC|||
AUBURN|N||048806315|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048806356|D|1-1|2|20|62|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:12 am|ACC|||
AUBURN|N||100064772|D|3-1|2|20|62|5|VP|05/22/2014|VP|05/22/2014|VP|05/22/2014 10:30 am|ACC|||
AUBURN|N||048704613|D|1-1|2|20|62|5|WV|06/02/2014|IV|06/02/2014|DV|06/09/2014 03:26 pm|ACC|||
AUBURN|N||100002495|D|1-1|2|20|64|6|ER|05/30/2014|MV|05/30/2014|MA|06/06/2014 10:30 am|ACC|||
AUBURN|N||048704751|R|1-1|2|20|64|5|ER|05/29/2014|MV|05/29/2014|||REJ|||
AUBURN|N||048704753|D|1-1|2|20|64|5|TR|05/29/2014|MV|05/29/2014|MA|06/02/2014 11:00 am|ACC|||
AUBURN|N||048704791|D|2-1|2|20|62|5|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 02:15 pm|ACC|||
AUBURN|N||048704821|D|5-1|2|20|63|5|WV|05/29/2014|IF|05/29/2014|MA|06/03/2014 10:00 am|ACC|||
AUBURN|N||048704824|D|5-1|2|20|63|5|WV|05/29/2014|IV|05/29/2014|MA|06/03/2014 10:00 am|ACC|||
AUBURN|N||048704948|R|1-1|2|20|64|6|TR|05/29/2014|MV|05/29/2014|MA|06/06/2014 10:30 am|ACC|||
AUBURN|N||048704972|D|5-1|2|20|63|5|TR|06/03/2014|MV|06/03/2014|MA|06/09/2014 10:45 am|REJ|||
AUBURN|N||048705102|D|1-1|2|20|62|5|TR|05/20/2014|MV|05/20/2014|MA|05/27/2014 08:30 am|ACC|||
AUBURN|N||048807288|D|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048705213|R|5-1|2|20|63|5|WV|06/02/2014|IF|06/02/2014|DV|06/06/2014 11:00 am|ACC|||
AUBURN|N||100257371|R|1-1|2|20|64|5|TR|05/23/2014|MV|05/23/2014|MA|05/29/2014 10:30 am|ACC|||
AUBURN|N||048705280|D|2-1|2|20|64|6|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 08:29 am|ACC|||
AUBURN|N||048705546|D|3-1|2|20|64|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:07 pm|ACC|||
AUBURN|N||048705549|R|2-1|2|20|62|5|ER|05/06/2014|MV|05/13/2014|MA|05/19/2014 10:15 am|REJ|||
AUBURN|N||048705549|R|2-1|2|20|62|5|WV|05/20/2014|MV|05/20/2014|DV|05/27/2014 12:38 pm|ACC|2||
AUBURN|N||048705550|R|2-1|2|20|62|5|ER|05/06/2014|MV|05/13/2014|MA|05/19/2014 10:15 am|ACC|||
AUBURN|N||001001072|D|3-1|2|20|62|5|WV|06/05/2014|IV|06/05/2014|DV|06/09/2014 11:12 am|ACC|||
AUBURN|N||048705706|D|1-1|2|20|62|5|ER|05/29/2014|MV|05/29/2014|MA|06/09/2014 10:45 am|ACC|||
AUBURN|N||048705711|D|5-1|2|20|63|5|ER|05/30/2014|MV|05/30/2014|||REJ|||
AUBURN|N||048705788|R|4-1|2|20|63|5|WV|05/08/2014|MV|05/13/2014|MA|05/19/2014 10:15 am|ACC|||
AUBURN|N||048705789|D|4-1|2|20|63|6|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:56 am|ACC|||
AUBURN|N||048705794|D|4-1|2|20|63|5|ER|05/06/2014|MV|05/13/2014|MA|05/20/2014 09:15 am|ACC|||
AUBURN|N||048705802|R|4-1|2|20|63|5|WV|05/08/2014|MV|05/13/2014|MA|05/19/2014 11:14 am|ACC|||
AUBURN|N||048711636|D|2-1|2|20|64|6|WV|06/05/2014|IF|06/05/2014|DV|06/09/2014 12:59 pm|ACC|||
AUBURN|N||051302280|R|2-1|2|20|64|6|WV|06/05/2014|IV|06/05/2014|IF|06/09/2014 12:58 pm|ACC|||
