MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ADDISON||O|040900815|U|1-1|2|6|138|3|UR|09/10/2018||EL|09/19/2019||||||
ALBANY TWP||O|025100184|D|1-1|2|18|117|1|UR|10/02/2018||MV|09/20/2019||||||
ALBANY TWP||O|025100284|D|1-1|2|18|117|1|UR|11/06/2018||MV|09/20/2019||||||
ALBION||S|049400716|U|1-1|2|16|79|3|UR|10/24/2018||EL|09/19/2019||||||
ALBION|||100742953|D|1-1|2|16|79|3|VP|10/15/2019||VP|10/15/2019|VP|10/15/2019 03:10 pm||ACC||
ALBION|||015900196|R|1-1|2|16|79|3|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 02:45 pm||ACC||
ALBION|||018101441|U|1-1|2|16|79|3|VP|10/21/2019||VP|10/21/2019|VP|10/21/2019 01:40 pm||ACC||
ALBION|||015900447|D|1-1|2|16|79|3|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 05:00 pm||ACC||
ALBION|||015900449|D|1-1|2|16|79|3|WV|10/31/2019||IF|10/31/2019|MA|11/01/2019 08:40 pm||ACC||
ALBION|||015901081|D|1-1|2|16|79|3|TR|10/10/2019||MV|10/10/2019||||||
ALBION|||015901083|D|1-1|2|16|79|3|TR|10/10/2019||MV|10/10/2019|MA|10/21/2019 12:05 pm||ACC||
ALBION|||015901157|R|1-1|2|16|79|3|ER|10/13/2019||MV|10/15/2019|MA|10/24/2019 11:45 am||ACC||
ALBION|||026201550|R|1-1|2|16|79|3|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 01:31 pm||ACC||
ALBION|||015901295|R|1-1|2|16|79|3|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 02:50 pm||ACC||
ALEXANDER||O|100416873|D|1-1|2|6|141|1|UR|09/29/2018||EL|09/19/2019||||||
ALEXANDER||O|041000327|U|1-1|2|6|141|1|UR|10/28/2018||EL|09/19/2019||||||
ALFRED|||049400013|D|1-1|1|32|21|4|WV|10/30/2019||IF|10/30/2019|IF|11/04/2019 09:24 am||ACC||
ALFRED|||049400016|D|1-1|1|32|21|4|WV|10/30/2019||IV|10/30/2019|DV|11/04/2019 09:26 am||ACC||
ALFRED|||100035585|U|1-2|1|32|21|4|ER|10/31/2019||MV|10/31/2019||||||
ALFRED|||046200138|U|1-2|1|32|21|4|WV|10/02/2019||MV|10/02/2019|MA|10/15/2019 01:00 pm||ACC||
ALFRED|||046200140|U|1-2|1|32|21|4|WV|10/02/2019||MV|10/02/2019|MA|10/10/2019 11:15 am||ACC||
ALFRED|||046200320|R|1-1|1|32|21|4|VP|10/22/2019||VP|10/22/2019|VP|10/22/2019 02:07 pm||ACC||
ALFRED|||004000119|D|1-1|1|32|21|4|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 11:39 am||ACC||
ALFRED|||046200463|U|1-1|1|32|21|4|ER|10/16/2019||MV|10/16/2019||||||
ALFRED||O|046200611|G|1-1|1|32|21|4|UR|10/17/2018||EL|09/19/2019||||||
ALFRED||O|049903175|D|1-1|1|32|21|4|UR|10/16/2018||EL|09/19/2019|SI|09/23/2019 09:01 am||ACC||
ALFRED||O|100581752|D|1-1|1|32|21|4|UR|10/19/2018||EL|09/19/2019||||||
ALFRED||O|100588237|D|1-1|1|32|21|4|UR|10/10/2018||EL|09/19/2019||||||
ALFRED|||100707403|D|1-1|1|32|21|4|WV|10/02/2019||MV|10/02/2019|MA|10/21/2019 12:03 pm||ACC||
ALFRED|||046201180|R|1-1|1|32|21|4|ER|10/28/2019||MV|10/28/2019||||||
ALFRED|||046201201|R|1-1|1|32|21|4|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 03:21 pm||ACC||
ALFRED|||048302025|D|1-1|1|32|21|4|VP|10/16/2019||VP|10/16/2019|VP|10/16/2019 09:23 am||ACC||
ALFRED||S|100132346|R|1-1|1|32|21|4|UR|11/03/2018||EL|09/19/2019||||||
ALFRED|||048404170|G|1-1|1|32|21|4|WV|10/28/2019||IF|10/28/2019|MA|11/04/2019 12:05 pm||ACC||
ALFRED|||048404175|D|1-1|1|32|21|4|WV|10/28/2019||IV|10/28/2019|MA|11/04/2019 12:05 pm||ACC||
ALFRED|||046201494|R|1-1|1|32|21|4|WV|10/30/2019||IF|10/30/2019|IF|11/04/2019 12:22 pm||ACC||
ALFRED|||046201495|R|1-1|1|32|21|4|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 11:06 am||ACC||
ALFRED|||047401065|D|1-2|1|32|21|4|VP|11/04/2019||VP|11/04/2019|VP|11/04/2019 11:10 am||ACC||
ALFRED|||100251120|D|1-1|1|32|21|4|ER|10/28/2019||MV|10/28/2019||||||
ALFRED|||046201994|U|1-1|1|32|21|4|WV|10/24/2019||IV|10/24/2019|MA|10/28/2019 12:30 pm||ACC||
ALFRED|||046201997|U|1-1|1|32|21|4|WV|10/24/2019||IF|10/24/2019|MA|10/28/2019 12:30 pm||ACC||
ALFRED|||046202075|R|1-2|1|32|21|4|VP|10/28/2019||VP|10/28/2019|VP|10/28/2019 01:34 pm||ACC||
ALFRED|||046202414|D|1-1|1|32|21|4|WV|10/29/2019||IV|10/29/2019|DV|10/29/2019 05:28 pm||ACC||
ALFRED|||046202415|U|1-1|1|32|21|4|WV|10/29/2019||IF|10/29/2019|MA|10/31/2019 01:16 pm||ACC||
ALFRED|||046202481|D|1-1|1|32|21|4|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 11:43 am||ACC||
ALFRED|||046202535|R|1-1|1|32|21|4|VP|10/22/2019||VP|10/22/2019|VP|10/22/2019 02:14 pm||ACC||
ALNA|||020900299|U|1-1|1|13|87|3|WV|10/30/2019||IV|10/30/2019|MA|11/04/2019 11:17 am||ACC||
ALNA||O|100423646|U|1-1|1|13|87|3|UR|09/07/2018||EL|09/19/2019||||||
ALNA||O|020100201|D|1-1|1|13|87|3|UR|03/13/2019||MV|09/20/2019|MA|10/07/2019 01:00 pm||ACC||
ALNA|||100464251|U|1-1|1|13|87|3|ER|08/30/2019||MV|10/11/2019|MA|11/04/2019 11:00 am||ACC||
ALNA|||100404052|U|1-1|1|13|87|3|WV|10/23/2019||IF|10/23/2019|DV|10/24/2019 01:00 pm||ACC||
ALNA||O|100489973|D|1-1|1|13|87|3|UR|08/21/2018||EL|09/19/2019||||||
ALNA||O|020100330|U|1-1|1|13|87|3|UR|10/25/2018||EL|09/19/2019||||||
ALNA||O|100082418|U|1-1|1|13|87|3|ER|11/04/2019||EL|11/04/2019|SI|11/05/2019 02:46 pm||ACC||
ALNA||O|100307546|U|1-1|1|13|87|3|UR|09/10/2019||EL|09/19/2019||||||
ALNA||O|100307548|D|1-1|1|13|87|3|UR|09/05/2019||EL|09/19/2019||||||
ALNA||O|008704282|D|1-1|1|13|87|3|UR|10/20/2018||EL|09/19/2019||||||
ALNA|||100687474|D|1-1|1|13|87|3|TR|10/15/2019||MV|10/15/2019|MA|10/25/2019 10:30 am||ACC||
ALTON|||025800230|D|1-1|2|4|121|3|WV|10/31/2019||IF|10/31/2019||||||
ALTON||O|025800323|D|1-1|2|4|121|3|UR|09/23/2018||EL|09/19/2019||||||
ALTON|||025800432|U|1-1|2|4|121|3|WV|10/29/2019||IF|10/29/2019|IF|10/31/2019 10:32 am||ACC||
ALTON|||025800433|R|1-1|2|4|121|3|WV|10/29/2019||IV|10/29/2019|DV|10/31/2019 10:32 am||ACC||
ALTON|||025800443|D|1-1|2|4|121|3|WV|10/31/2019||IF|10/31/2019||||||
ALTON|||025800444|D|1-1|2|4|121|3|WV|10/31/2019||IF|10/31/2019||||||
ALTON|||025800445|D|1-1|2|4|121|3|WV|10/31/2019||IF|10/31/2019||||||
ANDOVER|||022000001|U|1-1|2|18|117|2|WV|10/12/2019||IV|10/12/2019||||||
ANDOVER|||100282581|R|1-1|2|18|117|2|VP|10/05/2019||VP|11/04/2019|VP|11/04/2019 05:18 pm||ACC||
ANDOVER|||048702541|R|1-1|2|18|117|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 09:56 am||ACC||
ANDOVER|||022000145|U|1-1|2|18|117|2|TR|10/29/2019||MV|10/29/2019|MA|11/04/2019 11:44 am||ACC||
ANDOVER|||022000167|U|1-1|2|18|117|2|TR|10/29/2019||MV|10/29/2019|MA|11/04/2019 11:44 am||ACC||
ANDOVER|||022000288|U|1-1|2|18|117|2|WV|10/30/2019||IV|10/30/2019|DV|10/31/2019 09:19 am||ACC||
ANDOVER||O|100579235|U|1-1|2|18|117|2|UR|09/02/2018||EL|09/19/2019||||||
ANDOVER|||100148048|U|1-1|2|18|117|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 03:24 pm||ACC||
ANDOVER||S|100426019|R|1-1|2|18|117|2|UR|06/04/2018||EL|09/19/2019||||||
ANDOVER|||100551557|G|1-1|2|18|117|2|WV|10/30/2019||IF|10/30/2019|IF|11/04/2019 05:05 pm||ACC||
ANDOVER|||100692320|G|1-1|2|18|117|2|WV|10/30/2019||IF|10/30/2019|IF|11/04/2019 05:06 pm||ACC||
ANDOVER|||022000464|U|1-1|2|18|117|2|WV|11/04/2019||IV|11/04/2019||||||
ANDOVER||O|100106820|U|1-1|2|18|117|2|UR|09/26/2018||EL|09/19/2019||||||
ANDOVER|||100021721|U|1-1|2|18|117|2|TR|10/24/2019||MV|10/24/2019|MA|11/04/2019 12:46 pm||ACC||
ANDOVER|||022000573|U|1-1|2|18|117|2|WV|11/04/2019||IV|11/04/2019|DV|11/04/2019 05:04 pm||ACC||
ANSON|||035000112|R|1-1|2|3|112|2|WV|10/24/2019||IV|10/24/2019|DV|10/28/2019 11:36 am||ACC||
ANSON|||035000114|R|1-1|2|3|112|2|WV|10/24/2019||IF|10/24/2019|IF|10/28/2019 11:36 am||ACC||
ANSON||O|051001352|D|1-1|2|3|112|2|UR|09/10/2018||EL|09/19/2019||||||
ANSON|||035000471|R|1-1|2|3|112|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 10:00 am||ACC||
ANSON|||035000581|R|1-1|2|3|112|2|WV|10/25/2019||IV|10/25/2019|MA|10/31/2019 02:47 pm||ACC||
ANSON|||100689788|D|1-1|2|3|112|2|ER|10/09/2019||MV|10/09/2019|MA|10/29/2019 09:36 am||ACC||
ANSON|||035001045|R|1-1|2|3|112|2|VP|10/29/2019||VP|10/29/2019|VP|10/29/2019 10:59 am||ACC||
ANSON|||035001050|R|1-1|2|3|112|2|VP|10/29/2019||VP|10/29/2019|VP|10/29/2019 10:59 am||ACC||
ANSON||O|035001192|G|1-1|2|3|112|2|UR|10/04/2018||EL|09/19/2019||||||
ANSON||S|100306402|U|1-1|2|3|112|2|UR|09/25/2018||EL|09/19/2019||||||
APPLETON|||100536710|D|1-1|1|12|95|3|ER|10/18/2019||MV|10/18/2019||||||
APPLETON|||017900176|D|1-1|1|12|95|3|VP|10/07/2019||VP|10/07/2019|VP|10/07/2019 02:35 pm||ACC||
APPLETON|||100669873|U|1-1|1|12|95|3|WV|10/15/2019||IV|10/15/2019|DV|10/15/2019 11:00 am||ACC||
APPLETON|||100199701|D|1-1|1|12|95|3|WV|10/18/2019||IV|10/18/2019|MA|10/24/2019 11:30 am||ACC||
APPLETON|||100199680|D|1-1|1|12|95|3|WV|10/18/2019||IF|10/18/2019|MA|10/24/2019 11:30 am||ACC||
APPLETON|||017900823|D|1-1|1|12|95|3|VP|10/07/2019||VP|10/07/2019|VP|10/07/2019 02:38 pm||ACC||
APPLETON|||100165257|D|1-1|1|12|95|3|ER|10/29/2019||MV|10/29/2019|IF|11/05/2019 08:15 am||ACC||
APPLETON|||100607031|D|1-1|1|12|95|3|ER|09/25/2019||MV|10/04/2019||||||
APPLETON|||018300481|U|1-1|1|12|95|3|ER|09/26/2019||MV|10/04/2019|MA|10/10/2019 08:00 am||ACC||
ARROWSIC|||100563670|D|1-1|1|23|53|3|ER|10/29/2019||MV|10/29/2019||||||
ARROWSIC||O|100395150|G|1-1|1|23|53|3|ER|10/08/2019||EL|10/08/2019||||||
ARROWSIC|||100410658|D|1-1|1|23|53|3|ER|10/23/2019||MV|10/23/2019||||||
ARROWSIC|||012800204|D|1-1|1|23|53|3|ER|10/10/2019||MV|10/10/2019|MA|10/26/2019 05:22 pm||ACC||
ARROWSIC|||021700073|D|1-1|1|23|53|3|VP|10/10/2019||VP|10/10/2019|VP|10/10/2019 10:10 am||ACC||
ARROWSIC|||100686544|D|1-1|1|23|53|3|ER|10/30/2019||MV|10/30/2019||||||
ARROWSIC|||034200171|D|1-1|1|23|53|3|VP|10/16/2019||VP|10/16/2019|VP|10/16/2019 03:58 pm||ACC||
ARROWSIC|||034200172|D|1-1|1|23|53|3|VP|10/16/2019||VP|10/16/2019|VP|10/16/2019 03:27 pm||ACC||
ARROWSIC||O|100476121|U|1-1|1|23|53|3|UR|09/05/2019||EL|09/19/2019|SI|10/24/2019 05:06 am||ACC||
ARROWSIC||O|034200198|G|1-1|1|23|53|3|UR|10/07/2018||EL|09/19/2019|SI|11/05/2019 07:06 am||ACC||
ARROWSIC||O|100582516|U|1-1|1|23|53|3|UR|10/01/2018||EL|09/19/2019||||||
ARROWSIC|||021700310|D|1-1|1|23|53|3|VP|10/10/2019||VP|10/10/2019|VP|10/10/2019 10:15 am||ACC||
ARROWSIC|||100250496|R|1-1|1|23|53|3|WV|10/16/2019||MV|10/16/2019|MA|10/23/2019 02:30 pm||ACC||
ARROWSIC|||034200283|R|1-1|1|23|53|3|WV|10/16/2019||MV|10/16/2019|MA|10/23/2019 02:30 pm||ACC||
ARROWSIC|||100405971|D|1-1|1|23|53|3|VP|10/16/2019||VP|10/16/2019|VP|10/16/2019 04:28 pm||ACC||
ARROWSIC|||034200363|U|1-1|1|23|53|3|WV|10/30/2019||IV|10/30/2019|MA|11/02/2019 04:43 pm||ACC||
ARUNDEL|||046300002|R|1-1|1|32|10|2|TR|10/28/2019||MV|10/28/2019||||||
ARUNDEL|||046300077|D|1-1|1|32|10|2|WV|10/30/2019||IV|10/30/2019|DV|11/04/2019 01:57 pm||ACC||
ARUNDEL|||100691974|U|1-1|1|32|10|2|ER|10/31/2019||MV|10/31/2019||||||
ARUNDEL|||046300099|U|1-1|1|32|10|2|ER|10/31/2019||MV|10/31/2019||||||
ARUNDEL||O|052101116|U|1-1|1|32|10|2|UR|10/27/2018||EL|09/19/2019||||||
ARUNDEL||O|100585725|D|1-1|1|32|10|2|UR|10/23/2018||EL|09/19/2019||||||
ARUNDEL|||046300509|R|1-1|1|32|10|2|WV|10/31/2019||IF|10/31/2019|IF|11/01/2019 01:07 pm||ACC||
ARUNDEL|||046300510|D|1-1|1|32|10|2|WV|10/31/2019||IV|10/31/2019|DV|11/01/2019 01:07 pm||ACC||
ARUNDEL|||100314172|U|1-1|1|32|10|2|ER|10/31/2019||MV|10/31/2019||||||
ARUNDEL|||046300669|U|1-1|1|32|10|2|ER|10/24/2019||MV|10/24/2019||||||
ARUNDEL|||100714684|U|1-1|1|32|10|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 09:53 am||ACC||
ARUNDEL|||009605874|R|1-1|1|32|10|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 09:51 am||ACC||
ARUNDEL|||052205345|D|1-1|1|32|10|2|WV|10/30/2019||IV|10/30/2019|DV|11/01/2019 11:13 am||ACC||
ARUNDEL|||052205346|D|1-1|1|32|10|2|WV|10/30/2019||IF|10/30/2019|IF|11/01/2019 11:13 am||ACC||
ARUNDEL||O|046301145|D|1-1|1|32|10|2|UR|10/14/2018||EL|09/19/2019||||||
ARUNDEL|||047005067|R|1-1|1|32|10|2|ER|10/17/2019||MV|10/21/2019|MA|10/28/2019 02:09 pm||ACC||
ARUNDEL|||047005104|R|1-1|1|32|10|2|VP|10/28/2019||VP|10/28/2019|VP|10/28/2019 01:46 pm||ACC||
ARUNDEL|||046301536|U|1-1|1|32|10|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 08:07 am||ACC||
ARUNDEL||O|100220368|D|1-1|1|32|10|2|UR|10/04/2018||MV|09/20/2019|MA|10/25/2019 01:00 pm||ACC||
ARUNDEL|||051908931|D|1-1|1|32|10|2|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 12:52 pm||ACC||
ARUNDEL|||051908933|D|1-1|1|32|10|2|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 12:55 pm||ACC||
ARUNDEL|||046301632|D|1-1|1|32|10|2|WV|10/08/2019||IF|10/08/2019|MA|10/15/2019 08:00 am||ACC||
ARUNDEL|||046301633|D|1-1|1|32|10|2|WV|10/08/2019||IV|10/08/2019|MA|10/15/2019 08:00 am||ACC||
ARUNDEL|||046301652|R|1-1|1|32|10|2|ER|10/10/2019||MV|10/10/2019|MA|10/25/2019 02:29 pm||ACC||
ARUNDEL|||100673091|D|1-1|1|32|10|2|ER|10/10/2019||MV|10/10/2019|MA|10/21/2019 02:35 pm||ACC||
ARUNDEL||O|046301770|U|1-1|1|32|10|2|UR|09/07/2018||EL|09/19/2019||||||
ARUNDEL|||100037016|D|1-1|1|32|10|2|ER|10/24/2019||MV|10/24/2019||||||
ARUNDEL|||047006928|D|1-1|1|32|10|2|WV|10/22/2019||IV|10/22/2019|MA|10/31/2019 02:00 pm||ACC||
ARUNDEL|||046302219|D|1-1|1|32|10|2|WV|10/30/2019||IF|10/30/2019|DV|11/04/2019 09:30 am||ACC||
ARUNDEL|||046302220|R|1-1|1|32|10|2|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 10:02 am||ACC||
ARUNDEL||O|046302334|D|1-1|1|32|10|2|UR|11/06/2018||EL|09/19/2019||||||
ARUNDEL|||049647008|R|1-1|1|32|10|2|VP|10/25/2019||VP|10/25/2019|VP|10/25/2019 08:59 am||ACC||
ARUNDEL|||047007994|U|1-1|1|32|10|2|VP|11/01/2019||VP|11/01/2019|VP|11/01/2019 10:35 am||ACC||
ARUNDEL|||051913327|U|1-1|1|32|10|2|ER|10/10/2019||MV|10/10/2019|DV|11/01/2019 12:50 pm||ACC||
ARUNDEL|||051913332|R|1-1|1|32|10|2|ER|10/10/2019||MV|10/10/2019|IF|11/01/2019 12:50 pm||ACC||
ARUNDEL||O|100076796|D|1-1|1|32|10|2|UR|10/25/2018||EL|09/19/2019||||||
ARUNDEL|||046302694|R|1-1|1|32|10|2|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 11:18 am||ACC||
ASHLAND|||001400593|U|1-1|2|1|151|2|TR|10/31/2019||MV|10/31/2019||||||
ATHENS|||100714476|U|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 03:58 pm||ACC||
ATHENS|||037600467|U|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 03:50 pm||ACC||
ATHENS|||035100234|D|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 04:30 pm||ACC||
ATHENS|||037602503|R|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 04:06 pm||ACC||
ATHENS|||037603820|D|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 03:55 pm||ACC||
ATHENS|||035100733|D|1-1|2|4|118|5|TR|10/28/2019||MV|10/28/2019||||||
ATHENS|||035100734|D|1-1|2|4|118|5|TR|10/28/2019||MV|10/28/2019||||||
ATHENS|||040601114|U|1-1|2|4|118|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 04:10 pm||ACC||
ATKINSON TWP|||032700392|R|1-1|2|4|120|2|VP|11/01/2019||VP|11/01/2019|VP|11/01/2019 10:38 am||ACC||
ATKINSON TWP|||032700393|R|1-1|2|4|120|2|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 10:37 am||ACC||
ATKINSON TWP|||031700215|R|1-1|2|4|120|2|ER|10/18/2019||MV|10/18/2019|MA|10/26/2019 12:10 pm||ACC||
AUBURN|||048700024|D|3-1|2|20|63|5|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 02:59 pm||ACC||
AUBURN|||048700079|U|1-1|2|20|64|6|VP|10/24/2019||VP|10/24/2019|VP|10/24/2019 09:26 am||ACC||
AUBURN|||029000006|D|3-1|2|20|63|6|ER|10/24/2019||MV|10/25/2019|MA|10/31/2019 11:30 am||ACC||
AUBURN|||000202042|U|3-1|2|20|63|6|ER|10/24/2019||MV|10/25/2019|MA|10/31/2019 11:30 am||ACC||
AUBURN|||048700105|G|2-1|2|20|64|5|VP|10/28/2019||VP|10/28/2019|VP|10/28/2019 08:26 am||ACC||
AUBURN|||048700108|D|2-1|2|20|64|5|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 12:02 pm||ACC||
AUBURN|||048700120|D|2-1|2|20|64|5|VP|10/23/2019||VP|10/23/2019|VP|10/23/2019 01:58 pm||ACC||
AUBURN|||022800027|U|4-1|2|20|63|5|VP|10/10/2019||VP|10/10/2019|VP|10/10/2019 10:00 am||ACC||
AUBURN|||048700124|D|2-1|2|20|64|5|VP|10/23/2019||VP|10/23/2019|VP|10/23/2019 02:00 pm||ACC||
AUBURN|||048700130|R|3-1|2|20|63|5|ER|10/15/2019||MV|10/16/2019|IF|11/04/2019 09:37 am||ACC||
AUBURN|||048700245|D|4-1|2|20|63|6|ER|09/30/2019||MV|10/07/2019|DV|10/28/2019 10:18 am||ACC||
AUBURN|||048700247|D|4-1|2|20|63|6|ER|09/30/2019||MV|10/07/2019|DV|10/28/2019 10:18 am||ACC||
AUBURN|||100210801|U|2-1|2|20|64|6|WV|10/21/2019||IV|10/21/2019|MA|10/24/2019 10:55 am||ACC||
AUBURN|||025600666|D|3-1|2|20|63|5|VP|10/15/2019||VP|10/15/2019|VP|10/15/2019 09:00 am||ACC||
AUBURN|||048700545|R|2-1|2|20|64|6|WV|10/30/2019||IV|10/30/2019|DV|10/31/2019 12:51 pm||ACC||
AUBURN||O|048700557|D|5-1|2|20|63|6|UR|09/21/2018||EL|09/19/2019||||||
AUBURN|||100578533|D|3-1|2|20|63|5|WV|10/07/2019||IV|10/07/2019||||||
AUBURN|||100303783|D|1-1|2|20|64|5|ER|10/26/2019||MV|10/28/2019||||||
AUBURN|||048700638|R|3-1|2|20|63|5|VP|10/15/2019||VP|10/15/2019|VP|10/15/2019 09:00 am||ACC||
AUBURN|||048700703|R|1-1|2|20|62|5|TR|10/25/2019||MV|10/25/2019|DV|11/05/2019 01:20 pm||ACC||
AUBURN|||048700710|D|2-1|2|20|64|5|VP|10/31/2019||VP|10/31/2019|VP|10/31/2019 03:16 pm||ACC||
AUBURN|||048700718|R|1-1|2|20|62|5|TR|10/25/2019||MV|10/25/2019|IF|11/05/2019 01:20 pm||ACC||
AUBURN|||048700740|U|2-1|2|20|64|5|ER|10/14/2019||MV|10/15/2019|MA|10/24/2019 10:55 am||ACC||
