,lon,lat,full_addr
63,-75.1555185,39.9560881,"225 N 10TH ST PHILADELPHIA, PA"
64,-75.164711,39.9452021,"401 S BROAD STREET PHILADELPHIA, PA"
65,-75.1436,39.96801,"4TH and GEORGE STS PHILADELPHIA, PA"
66,-75.146101,39.9541503,"330 RACE ST PHILADELPHIA, PA"
67,-75.1449773,39.9427882,"409 S 2ND ST PHILADELPHIA, PA"
68,-75.1536796,39.945055,"7TH and DELANCEY STS PHILADELPHIA, PA"
69,-75.1468309,39.9701251,"600 W GIRARD AVE PHILADELPHIA, PA"
70,-75.1432052,39.9624887,"700 N 3RD ST PHILADELPHIA, PA"
71,-75.1649809,39.9442286,"509 S BROAD ST PHILADELPHIA, PA"
72,-75.1478179,39.9635353,"6TH and FAIRMOUNT AVE PHILADELPHIA, PA"
73,-75.1560886,39.9591263,"1023 CALLOWHILL ST PHILADELPHIA, PA"
74,-75.143895,39.955502,"230 VINE ST PHILADELPHIA, PA"
75,-75.2081307,39.9579308,"43RD and MARKET STS PHILADELPHIA, PA"
76,-75.2115249,39.9638907,"4400 FAIRMOUNT AVE PHILADELPHIA, PA"
77,-75.2061527,39.9630558,"642 N 41ST ST PHILADELPHIA, PA"
78,-75.2110877,39.9590474,"4445 HOLDEN ST PHILADELPHIA, PA"
79,-75.2130488,39.9625818,"46TH and HAVERFORD AVE PHILADELPHIA, PA"
80,-75.2109475,39.9656315,"4400 ASPEN ST PHILADELPHIA, PA"
81,-75.2051041,39.9686902,"4035 PARRISH ST PHILADELPHIA, PA"
82,-75.2101419,39.96981,"43RD and WESTMINSTER ST PHILADELPHIA, PA"
83,-75.2096537,39.9738291,"4159 W GIRARD AVE PHILADELPHIA, PA"
84,-75.2044642,39.9743974,"40TH ST and PARKSIDE AVE PHILADELPHIA, PA"
85,-75.212421,39.9679337,"4435 PARRISH ST PHILADELPHIA, PA"
86,-75.214176,39.9772881,"4700 PARKSIDE AVE PHILADELPHIA, PA"
87,-75.2125805,39.9724883,"1030 BELMONT AVE PHILADELPHIA, PA"
88,-75.1354291,39.9928854,"216 W SOMERSET ST PHILADELPHIA, PA"
89,-75.1316764,39.9983871,"3150 N MASCHER ST PHILADELPHIA, PA"
90,-75.1316479,39.9991127,"167 W ALLEGHENY AVE PHILADELPHIA, PA"
91,-75.1296581,40.0017619,"HOWARD and ONTARIO STS PHILADELPHIA, PA"
92,-75.1290893,40.0062957,"122 W ERIE AVE PHILADELPHIA, PA"
93,-75.1343718,40.0164658,"4261 N 05TH ST PHILADELPHIA, PA"
94,-75.115383,39.99517,"D and CLEARFIELD STS PHILADELPHIA, PA"
95,-75.1253984,39.9980431,"B and ALLEGHENY AVE PHILADELPHIA, PA"
96,-75.1232624,39.9908337,"2755 KENSINGTON AVE PHILADELPHIA, PA"
97,-75.128652,39.999766,"3255 N FRONT ST PHILADELPHIA, PA"
98,-75.1228472,39.9935066,"2937 BOUDINOT @HART LA PHILADELPHIA, PA"
99,-75.1783519,39.9483901,"2212 SPRUCE ST PHILADELPHIA, PA"
100,-75.1726416,39.9448344,"1800 LOMBARD ST PHILADELPHIA, PA"
101,-75.1645249,39.9502943,"100 S BROAD ST PHILADELPHIA, PA"
102,-75.1699579,39.9470287,"1701 DELANCEY ST PHILADELPHIA, PA"
103,-75.176107,39.9517253,"2111 SANSOM ST PHILADELPHIA, PA"
