"Ward","Division","Address","Location","Building.Code","Parking.Code","full_addr"
12,16,"100 W COULTER ST","GERMANTOWN PROFESSIONAL BLDG","R","N","100 W COULTER ST PHILADELPHIA, PA"
12,17,"WAYNE & LOGAN STS","HAPPY HOLLOW RECREATION CENTER","A","N","WAYNE & LOGAN STS PHILADELPHIA, PA"
12,22,"406 W CHELTEN AVE","PHILA HAIR ARTISTRY","M","N","406 W CHELTEN AVE PHILADELPHIA, PA"
12,23,"5310 MORRIS ST","HARVEST COMMUNITY CHURCH","R","N","5310 MORRIS ST PHILADELPHIA, PA"
13,6,"4340 GERMANTOWN AVE","NICETOWN COURT","F","H","4340 GERMANTOWN AVE PHILADELPHIA, PA"
13,9,"1539 W COURTLAND ST","CHURCH OF NAZARENE BUILDING","F","N","1539 W COURTLAND ST PHILADELPHIA, PA"
13,14,"4153 GERMANTOWN AVE","CHRISTLIKE RESTORATION CHURCH","R","N","4153 GERMANTOWN AVE PHILADELPHIA, PA"
13,16,"1648 W HUNTING PARK AVE","TRIUMPH BAPTIST CHURCH","M","N","1648 W HUNTING PARK AVE PHILADELPHIA, PA"
13,18,"1717 W HUNTING PARK AVE","OPPORTUNITY TOWERS","M","H","1717 W HUNTING PARK AVE PHILADELPHIA, PA"
13,19,"22ND & HUNTING PARK AVE","FIRE ENGINE CO # 59","M","L","22ND & HUNTING PARK AVE PHILADELPHIA, PA"
13,20,"19TH & BUTLER STS","MASTERY CLEVELAND CHARTER","A","N","19TH & BUTLER STS PHILADELPHIA, PA"
13,23,"3720 N BROAD ST","NICETOWN TIOGA BRANCH LIBRARY","F","L","3720 N BROAD ST PHILADELPHIA, PA"
14,1,"1001 GREEN ST","SIMPSON MIDTOWN APTS","M","H","1001 GREEN ST PHILADELPHIA, PA"
14,2,"1240 N 10TH ST","HARRISON HOMES","F","L","1240 N 10TH ST PHILADELPHIA, PA"
14,4,"1221 FAIRMOUNT AVE","GUILD HOUSE WEST","F","L","1221 FAIRMOUNT AVE PHILADELPHIA, PA"
14,5,"1100 FAIRMOUNT AVE","GLADYS JACOBS APT BLDG","F","H","1100 FAIRMOUNT AVE PHILADELPHIA, PA"
14,6,"800 N 08TH ST","EAST POPLAR RECREATION CENTER","M","N","800 N 08TH ST PHILADELPHIA, PA"
14,8,"1100 POPLAR ST","STREET COMMUNITY CENTER","F","H","1100 POPLAR ST PHILADELPHIA, PA"
14,9,"953 N 10TH ST","CHILDS MEMORIAL BAPTIST CHURCH","B","L","953 N 10TH ST PHILADELPHIA, PA"
14,10,"700 GREEN ST","SPRING GARDEN APTS COMM ROOM","M","N","700 GREEN ST PHILADELPHIA, PA"
14,11,"702 MARSHALL PLACE","S B G MANAGEMENT INC","M","L","702 MARSHALL PLACE PHILADELPHIA, PA"
15,1,"2720 POPLAR ST","BAPTIST CHURCH","N","N","2720 POPLAR ST PHILADELPHIA, PA"
15,3,"18TH & WALLACE STS","CLEMENTE RECREATION CENTER","F","N","18TH & WALLACE STS PHILADELPHIA, PA"
15,4,"2601 PENNSYLVANIA AVE","2601 PARKWAY CLUBROOM","F","L","2601 PENNSYLVANIA AVE PHILADELPHIA, PA"
15,5,"755 N 24TH ST","PARKWAY MEMORIAL VFW POST","A","N","755 N 24TH ST PHILADELPHIA, PA"
15,6,"2401 PENNSYLVANIA AVE","THE PHILADELPHIAN APTS","F","L","2401 PENNSYLVANIA AVE PHILADELPHIA, PA"
15,7,"1539 PARRISH ST","FIRE ENGINE CO # 13","M","L","1539 PARRISH ST PHILADELPHIA, PA"
15,9,"22ND & PARRISH STS","BACHE MARTIN SCHOOL","M","N","22ND & PARRISH STS PHILADELPHIA, PA"
15,10,"FRANCIS & SHIRLEY STS","FRANCISVILLE RECREATION CENTER","F","N","FRANCIS & SHIRLEY STS PHILADELPHIA, PA"
15,13,"839 N WOODSTOCK ST","STOREFRONT","M","N","839 N WOODSTOCK ST PHILADELPHIA, PA"
15,14,"24TH & WALLACE STS","ST FRANCIS XAVIER SCHOOL","B","N","24TH & WALLACE STS PHILADELPHIA, PA"
15,15,"1831 B BRANDYWINE ST","YOGA STUDIO B","R","N","1831 B BRANDYWINE ST PHILADELPHIA, PA"
15,16,"19TH & NORTH STS","ST ANDREWS LITHUANIAN CHURCH","R","N","19TH & NORTH STS PHILADELPHIA, PA"
15,17,"560 N 20TH ST","RUSSIAN ORTHODOX CHURCH","N","N","560 N 20TH ST PHILADELPHIA, PA"
15,18,"854-70 N 24TH ST","THE CITY SCHOOL AT FAIRMOUNT","R","N","854-70 N 24TH ST PHILADELPHIA, PA"
16,1,"1421 W SUSQUEHANNA AVE","SUSQUEHANNA VILLAGE","F","N","1421 W SUSQUEHANNA AVE PHILADELPHIA, PA"
16,3,"2332 N 15TH ST","WINCHESTER RECREATION CENTER","B","N","2332 N 15TH ST PHILADELPHIA, PA"
16,6,"2121 GRATZ ST","CHURCH OF THE ADVOCATE GYM","M","L","2121 GRATZ ST PHILADELPHIA, PA"
16,7,"18TH & YORK STS","FOSTER MEMORIAL BAPT CHURCH","N","N","18TH & YORK STS PHILADELPHIA, PA"
16,13,"22ND & HUNTINGDON STS","CECIL B MOORE RECREATION CTR","M","L","22ND & HUNTINGDON STS PHILADELPHIA, PA"
16,14,"2301 W EDGLEY ST","RAYMOND ROSEN COMM CENTER","F","L","2301 W EDGLEY ST PHILADELPHIA, PA"
16,18,"2521 N 23RD ST","LOVE ZION BAPT CHURCH","M","N","2521 N 23RD ST PHILADELPHIA, PA"
17,1,"16TH & CHELTEN AVE","MORRIS ESTATE REC CENTER","N","N","16TH & CHELTEN AVE PHILADELPHIA, PA"
17,3,"6300 OLD YORK ROAD","PHILIP MURRAY HOUSE","F","L","6300 OLD YORK ROAD PHILADELPHIA, PA"
