"","lon","lat","full_addr"
"79",-75.2075323,40.0217438,"RIGHTER and SALAIGNAC STS PHILADELPHIA, PA"
"80",-75.1900135,40.0374608,"6340 WAYNE AVE PHILADELPHIA, PA"
"81",-75.1802714,40.0477993,"MORTON and JOHNSON STS PHILADELPHIA, PA"
"82",-75.172878,40.0572606,"ARDLEIGH and CLIVEDEN STS PHILADELPHIA, PA"
"83",-75.1681729,40.0586441,"6324 CRITTENDEN ST PHILADELPHIA, PA"
"84",-75.1834169,40.0569015,"PLEASANT ST and CHEW AVE PHILADELPHIA, PA"
"85",-75.1880758,40.0575346,"7001 GERMANTOWN AVE PHILADELPHIA, PA"
"86",-75.1876883,40.0567982,"6945 GERMANTOWN AVE PHILADELPHIA, PA"
"87",-75.2244987,40.0286911,"175 GREEN LANE PHILADELPHIA, PA"
"88",-75.2230651,40.037329,"6498 RIDGE AVE PHILADELPHIA, PA"
"89",-75.221315,40.0494545,"7100 HENRY AVE PHILADELPHIA, PA"
"90",-75.1906518,40.0622402,"7301 GERMANTOWN AVE PHILADELPHIA, PA"
"91",-75.2101392,40.0607981,"500 W WILLOW GROVE AVE PHILADELPHIA, PA"
"92",-75.1524859,40.0536181,"6501 LIMEKILN PIKE PHILADELPHIA, PA"
"93",-75.1720227,39.9507348,"19TH and HAINES STS PHILADELPHIA, PA"
"94",-75.1572688,40.0618253,"7200 WOOLSTON AVE PHILADELPHIA, PA"
"95",-75.1588955,40.0557763,"STENTON and HAINES STS PHILADELPHIA, PA"
"96",-75.1583231,40.0675478,"7401 LIMEKILN PIKE PHILADELPHIA, PA"
"97",-75.1703778,40.0646908,"7701 MANSFIELD AVE PHILADELPHIA, PA"
"98",-75.171716,40.073039,"SEDGWICK ST and THOURON AVE PHILADELPHIA, PA"
"99",-75.1746935,40.0813989,"8500 PICKERING AVE PHILADELPHIA, PA"
"100",-75.1345637,39.9787807,"HOWARD and BERKS STS PHILADELPHIA, PA"
"101",-75.1280351,39.9717606,"1202-32 E MONTGOMERY AVE PHILADELPHIA, PA"
"102",-75.1173292,39.9814883,"ARAMINGO and LEHIGH AVES PHILADELPHIA, PA"
"103",-75.1283399,39.9845608,"2463 EMERALD ST PHILADELPHIA, PA"
"104",-75.1130791,39.9840774,"2889 CEDAR ST PHILADELPHIA, PA"
"105",-75.1152902,39.9928792,"ELKHART and HELEN STS PHILADELPHIA, PA"
"106",-75.0970795,39.9911123,"3539 GAUL ST PHILADELPHIA, PA"
"107",-75.1055194,39.9954327,"FRANKFORD AVE and ONTARIO ST PHILADELPHIA, PA"
"108",-75.067811,39.9995335,"4625 RICHMOND ST PHILADELPHIA, PA"
"109",-75.1508442,39.92377,"1900 S 3RD ST PHILADELPHIA, PA"
"110",-75.1831288,39.9216932,"2136 W RITNER ST PHILADELPHIA, PA"
"111",-75.1547722,39.9159958,"2604 S 04TH ST PHILADELPHIA, PA"
"112",-75.1635217,39.9148177,"927 JOHNSTON ST PHILADELPHIA, PA"
"113",-75.1727328,39.9230104,"2201 S 16TH ST PHILADELPHIA, PA"
"114",-75.1684921,39.9233612,"2101 S BROAD ST PHILADELPHIA, PA"
"115",-75.1863103,39.9252427,"24TH and JACKSON STS PHILADELPHIA, PA"
"116",-75.1817583,39.9295827,"1801 S 22ND ST PHILADELPHIA, PA"
"117",-75.1890768,39.931581,"2600 MORRIS ST PHILADELPHIA, PA"
"118",-75.1825452,39.9348227,"23RD and REED STS PHILADELPHIA, PA"
"119",-75.1700425,39.9291407,"1701 S 15TH ST PHILADELPHIA, PA"
"120",-75.1633849,39.9266233,"1025 MIFFLIN ST PHILADELPHIA, PA"
"121",-75.151764,39.93192,"410 WHARTON ST PHILADELPHIA, PA"
"122",-75.164776,39.933155,"1200 WHARTON ST PHILADELPHIA, PA"
"123",-75.1611034,39.9399626,"1100 CATHARINE ST PHILADELPHIA, PA"
"124",-75.1474622,39.9385998,"242 FITZWATER PHILADELPHIA, PA"
"125",-75.2482821,39.9087523,"2515 S 77TH ST PHILADELPHIA, PA"
"126",-75.2484074,39.9082479,"7700 ELMWOOD AVE PHILADELPHIA, PA"
"127",-75.2595451,39.9621473,"69TH ST and GROVERS AVE PHILADELPHIA, PA"
"128",-75.2272279,39.9238999,"2501 S 63RD ST PHILADELPHIA, PA"
"129",-75.2437669,39.9185671,"7200 WOODLAND AVE PHILADELPHIA, PA"
"130",-75.2288582,39.9345239,"5800 CHESTER AVE PHILADELPHIA, PA"
