"Zone","POLLING PLACE","ADDRESS","full_addr"
"Northwest 17","SAUL HIGH SCHOOL","7100 HENRY AVE","7100 HENRY AVE PHILADELPHIA, PA"
"Northwest 18","LUTHERAN THEOLOGICAL SEMINARY","7301 GERMANTOWN AVE","7301 GERMANTOWN AVE PHILADELPHIA, PA"
"Northwest 19","SPRINGSIDE CHESNUT HILL ACADEMY","500 W WILLOW GROVE AVE","500 W WILLOW GROVE AVE PHILADELPHIA, PA"
"Northwest 20","BUILDING 21 SCHOOL","6501 LIMEKILN PIKE","6501 LIMEKILN PIKE PHILADELPHIA, PA"
"Northwest 21","ROWEN SCHOOL","19TH & HAINES STS","19TH & HAINES STS PHILADELPHIA, PA"
"Northwest 22","SIMONS RECREATION CENTER","7200 WOOLSTON AVE","7200 WOOLSTON AVE PHILADELPHIA, PA"
"Northwest 23","MLK  SCHOOL","STENTON & HAINES STS","STENTON & HAINES STS PHILADELPHIA, PA"
"Northwest 24","MASJIDULLAH MOSQUE","7401 LIMEKILN PIKE","7401 LIMEKILN PIKE PHILADELPHIA, PA"
"Northwest 25","FINLEY RECREATION CENTER","7701 MANSFIELD AVE","7701 MANSFIELD AVE PHILADELPHIA, PA"
"Northwest 26","F S EDMONDS SCHOOL","SEDGWICK ST & THOURON AVE","SEDGWICK ST & THOURON AVE PHILADELPHIA, PA"
"Northwest 27","EMANUEL RECREATION CENTER","8500 PICKERING AVE","8500 PICKERING AVE PHILADELPHIA, PA"
"River 1","TOWEY RECREATION CENTER","HOWARD & BERKS STS","HOWARD & BERKS STS PHILADELPHIA, PA"
"River 2","FISHTOWN RECREATION CENTER","1202-32 E MONTGOMERY AVE","1202-32 E MONTGOMERY AVE PHILADELPHIA, PA"
"River 3","CIONE RECREATION CENTER","ARAMINGO & LEHIGH AVES","ARAMINGO & LEHIGH AVES PHILADELPHIA, PA"
"River 4","KENSINGTON HIGH SCHOOL ANNEX","2463 EMERALD ST","2463 EMERALD ST PHILADELPHIA, PA"
"River 5","COHOCKSINK RECREATION CENTER","2889 CEDAR ST","2889 CEDAR ST PHILADELPHIA, PA"
"River 6","WILLARD SCHOOL","ELKHART & HELEN STS","ELKHART & HELEN STS PHILADELPHIA, PA"
"River 7","SAMUELS RECREATION CENTER","3539 GAUL ST","3539 GAUL ST PHILADELPHIA, PA"
"River 8","WEBSTER LITTLE SCHOOLHOUSE","FRANKFORD AVE & ONTARIO ST","FRANKFORD AVE & ONTARIO ST PHILADELPHIA, PA"
"River 9","BRIDESBURG RECREATION CENTER","4625 RICHMOND ST","4625 RICHMOND ST PHILADELPHIA, PA"
"South 1","FURNESS SCHOOL","1900 S 3RD ST","1900 S 3RD ST PHILADELPHIA, PA"
"South 2","G.A.M.P. SCHOOL","2136 W RITNER ST","2136 W RITNER ST PHILADELPHIA, PA"
"South 3","SEAFARERS UNION HALL","2604 S 04TH ST","2604 S 04TH ST PHILADELPHIA, PA"
"South 4","MASTERY THOMAS CHARTER SCHOOL","927 JOHNSTON ST","927 JOHNSTON ST PHILADELPHIA, PA"
"South 5","GUERIN RECREATION CENTER","2201 S 16TH ST","2201 S 16TH ST PHILADELPHIA, PA"
"South 6","SOUTH PHILA HIGH SCHOOL","2101 S BROAD ST","2101 S BROAD ST PHILADELPHIA, PA"
"South 7","UNIVERSAL VARE CHARTER SCHOOL","24TH & JACKSON STS","24TH & JACKSON STS PHILADELPHIA, PA"
"South 8","McDANIEL SCHOOL","1801 S 22ND ST","1801 S 22ND ST PHILADELPHIA, PA"
