Ward,Division,Address,Location,Building Code,Parking Code
9,5,20 E MERMAID LANE,CHESTNUT HILL FRIENDS MEETING,F,H
9,6,8711 GERMANTOWN AVE,CHESTNUT HILL LIBRARY,A,L
9,7,22 E CHESTNUT HILL AVE,ST PAULS EPISCOPAL CHURCH,M,L
9,8,22 E CHESTNUT HILL AVE,ST PAULS EPISCOPAL CHURCH,M,L
9,9,101 W HIGHLAND AVE,FIRE ENGINE CO # 37,M,L
9,10,8000 ST MARTINS LANE,ST MARTIN IN THE FIELDS CHURCH,M,L
9,11,8000 ST MARTINS LANE,ST MARTIN IN THE FIELDS CHURCH,M,L
9,12,7301 GERMANTOWN AVE,LUTHERAN THEOLOGICAL SEMINARY,M,L
9,13,200 W ALLENS LA @ CRESHEIM RD,ALLENS LANE TRAIN STATION,B,L
9,14,601 W ALLENS LANE,ALLENS LANE ART CENTER,F,L
9,15,601 W ALLENS LANE,ALLENS LANE ART CENTER,F,L
9,16,7800 B STENTON AVE,CHESTNUT HILL APARTMENTS,M,L
9,17,7600 STENTON AVE,CHESTNUT HILL TOWERS,B,L
10,1,1901 72ND AVE,WRIGHTS BARBER SHOP,R,N
10,2,1962 PENFIELD ST,BEAUTY SALON,M,N
10,3,7400 BRIAR ROAD,CROSS CUTZ SALON,R,N
10,4,7200 N 21ST ST,CONCERNED BLACK MENS OFFICE,M,N
10,5,7105 LIMEKILN PIKE,ST ATHANASIUS SCHOOL,R,L
10,6,WALNUT LANE & WOOLSTON ST,SIMONS REC CENTER,M,H
10,7,6700 N BROAD ST,PILGRIM WESLEYAN CHURCH,B,N
10,8,19TH & HAINES STS,ROWEN SCHOOL,M,L
10,9,6801 N 16TH ST,WESTWOOD SCHOOL,F,N
10,10,6801 N 16TH ST,WESTWOOD SCHOOL,F,N
10,11,6700 N BROAD ST,PILGRIM WESLEYAN CHURCH,B,N
10,12,19TH & HAINES STS,ROWEN SCHOOL,M,L
10,13,WASHINGTON LA & LIMEKILN PK,WEST OAK LANE LIBRARY,M,L
10,14,1901 72ND AVE,WRIGHTS BARBER SHOP,R,N
10,15,7200 N 21ST ST,CONCERNED BLACK MENS OFFICE,M,L
10,16,2116 E HAINES ST,HOPE CHARTER SCHOOL,B,L
10,17,19TH & HAINES STS,ROWEN SCHOOL,M,L
10,18,WALNUT LANE & WOOLSTON ST,SIMONS REC CENTER,M,H
10,19,WALNUT LANE & WOOLSTON ST,SIMONS REC CENTER,M,H
10,20,6600 LIMEKILN PIKE,WIGGLES & GIGGLES DAYCARE,R,L
10,21,19TH & HAINES STS,ROWEN SCHOOL,M,L
10,22,7105 LIMEKILN PIKE,ST ATHANASIUS SCHOOL,R,L
10,23,LOWBER & MAYLAND STS,CONGREGATION TEMPLE BETHEL,F,L
10,24,WALNUT LANE & WOOLSTON ST,SIMONS REC CENTER,M,H
10,25,WALNUT LANE & WOOLSTON ST,SIMONS REC CENTER,M,H
10,26,7163 STENTON AVE,STOREFRONT,M,N
10,27,2116 E HAINES ST,HOPE CHARTER SCHOOL,B,L
10,28,7163 STENTON AVE,STOREFRONT,M,N
10,29,UPSAL & MANSFIELD STS,FINLEY RECREATION CENTER,M,L
11,1,1701 W LEHIGH AVE,OFFICE,B,L
11,2,22ND & SOMERSET STS,NORTH PHILA MUNICIPAL BUILDING,M,N
11,3,SYDENHAM & CLEARFIELD ST,HERITAGE PARK REC CENTER,M,N
11,4,3600 N BROAD ST,ZION BAPTIST CHURCH,M,L
11,5,3600 N BROAD ST,ZION BAPTIST CHURCH,M,L
11,6,1628 W ALLEGHENY AVE,CHURCH ANNEX BUILDING,M,N
11,7,22ND & SOMERSET STS,NORTH PHILA MUNICIPAL BUILDING,M,N
11,8,22ND & CLEARFIELD STS,PANATI RECREATION CENTER,F,L
11,9,1531 W TIOGA ST,TIOGA PRESBYTERIAN SENIOR HOME,F,L
11,10,1828 W TIOGA ST,TIOGA ARMS APTS,M,N
11,11,2829 N LAMBERT ST,WOODSTOCK HOMES COMM ROOM,M,L
11,12,1919-1941 W ONTARIO ST,JEROME BROWN RECREATION CENTER,F,L
11,13,1628 W ALLEGHENY AVE,CHURCH ANNEX BUILDING,M,N
11,14,2233 W ALLEGHENY AVE,ALLEGHENY BUSINESS CENTER,B,N
11,15,2104 W VENANGO ST,VENANGO HOUSE,F,L
11,16,2104 W VENANGO ST,VENANGO HOUSE,F,L
