Group.1,Group.2,Group.3,Group.4,Group.5,Group.6,x
F,D,ARMSTRONG,AP,D,vote01_05/15/2001,10
M,D,ARMSTRONG,AP,D,vote01_05/15/2001,13
F,R,ARMSTRONG,AP,D,vote01_05/15/2001,3
M,R,ARMSTRONG,AP,D,vote01_05/15/2001,1
F,D,BEAVER,AP,D,vote01_05/15/2001,72
M,D,BEAVER,AP,D,vote01_05/15/2001,86
F,NF,BEAVER,AP,D,vote01_05/15/2001,1
M,NF,BEAVER,AP,D,vote01_05/15/2001,1
F,R,BEAVER,AP,D,vote01_05/15/2001,5
M,R,BEAVER,AP,D,vote01_05/15/2001,5
F,D,CENTRE,AP,D,vote01_05/15/2001,1
M,D,CENTRE,AP,D,vote01_05/15/2001,1
U,D,CENTRE,AP,D,vote01_05/15/2001,1
F,D,CUMBERLAND,AP,D,vote01_05/15/2001,1345
M,D,CUMBERLAND,AP,D,vote01_05/15/2001,997
U,D,CUMBERLAND,AP,D,vote01_05/15/2001,17
F,I,CUMBERLAND,AP,D,vote01_05/15/2001,6
M,I,CUMBERLAND,AP,D,vote01_05/15/2001,3
F,NF,CUMBERLAND,AP,D,vote01_05/15/2001,6
M,NF,CUMBERLAND,AP,D,vote01_05/15/2001,5
U,NF,CUMBERLAND,AP,D,vote01_05/15/2001,1
F,OTH,CUMBERLAND,AP,D,vote01_05/15/2001,2
F,R,CUMBERLAND,AP,D,vote01_05/15/2001,114
M,R,CUMBERLAND,AP,D,vote01_05/15/2001,91
U,R,CUMBERLAND,AP,D,vote01_05/15/2001,1
F,D,FRANKLIN,AP,D,vote01_05/15/2001,4
U,D,FRANKLIN,AP,D,vote01_05/15/2001,10
F,D,GREENE,AP,D,vote01_05/15/2001,195
M,D,GREENE,AP,D,vote01_05/15/2001,151
U,D,GREENE,AP,D,vote01_05/15/2001,1297
F,I,GREENE,AP,D,vote01_05/15/2001,1
M,I,GREENE,AP,D,vote01_05/15/2001,3
U,I,GREENE,AP,D,vote01_05/15/2001,2
F,NF,GREENE,AP,D,vote01_05/15/2001,2
U,NF,GREENE,AP,D,vote01_05/15/2001,1
F,R,GREENE,AP,D,vote01_05/15/2001,112
M,R,GREENE,AP,D,vote01_05/15/2001,123
U,R,GREENE,AP,D,vote01_05/15/2001,34
F,D,WARREN,AP,D,vote01_05/15/2001,2
M,D,WARREN,AP,D,vote01_05/15/2001,2
U,D,WARREN,AP,D,vote01_05/15/2001,1
U,R,WARREN,AP,D,vote01_05/15/2001,1
F,D,CUMBERLAND,P,D,vote01_05/15/2001,2
M,R,CUMBERLAND,AP,LN,vote01_05/15/2001,1
M,R,ARMSTRONG,AB,R,vote01_05/15/2001,1
F,R,BEAVER,AB,R,vote01_05/15/2001,1
F,D,CUMBERLAND,AB,R,vote01_05/15/2001,5
M,D,CUMBERLAND,AB,R,vote01_05/15/2001,3
U,D,CUMBERLAND,AB,R,vote01_05/15/2001,1
F,R,CUMBERLAND,AB,R,vote01_05/15/2001,86
M,R,CUMBERLAND,AB,R,vote01_05/15/2001,69
M,NON,FRANKLIN,AB,R,vote01_05/15/2001,1
F,R,FRANKLIN,AB,R,vote01_05/15/2001,1
M,R,FRANKLIN,AB,R,vote01_05/15/2001,1
U,R,FRANKLIN,AB,R,vote01_05/15/2001,10
F,R,GREENE,AB,R,vote01_05/15/2001,3
M,R,GREENE,AB,R,vote01_05/15/2001,1
U,R,GREENE,AB,R,vote01_05/15/2001,10
M,R,WARREN,AB,R,vote01_05/15/2001,1
U,R,WARREN,AB,R,vote01_05/15/2001,1
F,D,ADAMS,AP,R,vote01_05/15/2001,1
F,R,ADAMS,AP,R,vote01_05/15/2001,15
M,R,ADAMS,AP,R,vote01_05/15/2001,25
U,R,ADAMS,AP,R,vote01_05/15/2001,1
F,R,ARMSTRONG,AP,R,vote01_05/15/2001,13
M,R,ARMSTRONG,AP,R,vote01_05/15/2001,15
M,D,BEAVER,AP,R,vote01_05/15/2001,1
M,LN,BEAVER,AP,R,vote01_05/15/2001,1
F,R,BEAVER,AP,R,vote01_05/15/2001,24
M,R,BEAVER,AP,R,vote01_05/15/2001,28
F,R,CENTRE,AP,R,vote01_05/15/2001,1
M,R,CENTRE,AP,R,vote01_05/15/2001,1
U,R,CENTRE,AP,R,vote01_05/15/2001,3
M,ASP,CUMBERLAND,AP,R,vote01_05/15/2001,1
F,D,CUMBERLAND,AP,R,vote01_05/15/2001,195
M,D,CUMBERLAND,AP,R,vote01_05/15/2001,118
U,D,CUMBERLAND,AP,R,vote01_05/15/2001,5
F,I,CUMBERLAND,AP,R,vote01_05/15/2001,9
M,I,CUMBERLAND,AP,R,vote01_05/15/2001,13
M,ICO,CUMBERLAND,AP,R,vote01_05/15/2001,1
F,LN,CUMBERLAND,AP,R,vote01_05/15/2001,2
M,LN,CUMBERLAND,AP,R,vote01_05/15/2001,3
F,NF,CUMBERLAND,AP,R,vote01_05/15/2001,16
M,NF,CUMBERLAND,AP,R,vote01_05/15/2001,40
M,NON,CUMBERLAND,AP,R,vote01_05/15/2001,1
F,NOP,CUMBERLAND,AP,R,vote01_05/15/2001,1
F,OTH,CUMBERLAND,AP,R,vote01_05/15/2001,1
M,OTH,CUMBERLAND,AP,R,vote01_05/15/2001,1
F,R,CUMBERLAND,AP,R,vote01_05/15/2001,3481
M,R,CUMBERLAND,AP,R,vote01_05/15/2001,3479
U,R,CUMBERLAND,AP,R,vote01_05/15/2001,61
M,TPC,CUMBERLAND,AP,R,vote01_05/15/2001,1
M,R,FOREST,AP,R,vote01_05/15/2001,1
F,D,FRANKLIN,AP,R,vote01_05/15/2001,1
F,R,FRANKLIN,AP,R,vote01_05/15/2001,6
M,R,FRANKLIN,AP,R,vote01_05/15/2001,8
U,R,FRANKLIN,AP,R,vote01_05/15/2001,29
F,D,GREENE,AP,R,vote01_05/15/2001,9
M,D,GREENE,AP,R,vote01_05/15/2001,3
U,D,GREENE,AP,R,vote01_05/15/2001,4
F,I,GREENE,AP,R,vote01_05/15/2001,2
M,I,GREENE,AP,R,vote01_05/15/2001,3
M,OTH,GREENE,AP,R,vote01_05/15/2001,1
F,R,GREENE,AP,R,vote01_05/15/2001,96
M,R,GREENE,AP,R,vote01_05/15/2001,101
U,R,GREENE,AP,R,vote01_05/15/2001,472
M,D,WARREN,AP,R,vote01_05/15/2001,1
F,I,WARREN,AP,R,vote01_05/15/2001,1
F,R,WARREN,AP,R,vote01_05/15/2001,4
M,R,WARREN,AP,R,vote01_05/15/2001,3
U,R,WARREN,AP,R,vote01_05/15/2001,5
F,R,CUMBERLAND,P,R,vote01_05/15/2001,1
F,D,BEAVER,AB,D,vote01_11/06/2001,1
F,D,BUCKS,AB,D,vote01_11/06/2001,6
M,D,BUCKS,AB,D,vote01_11/06/2001,3
F,R,BUCKS,AB,D,vote01_11/06/2001,1
F,D,BUTLER,AB,D,vote01_11/06/2001,9
M,D,BUTLER,AB,D,vote01_11/06/2001,6
M,R,BUTLER,AB,D,vote01_11/06/2001,1
F,D,CARBON,AB,D,vote01_11/06/2001,2
M,D,CARBON,AB,D,vote01_11/06/2001,1
U,D,CARBON,AB,D,vote01_11/06/2001,35
U,I,CARBON,AB,D,vote01_11/06/2001,1
F,D,CHESTER,AB,D,vote01_11/06/2001,50
M,D,CHESTER,AB,D,vote01_11/06/2001,26
F,I,CHESTER,AB,D,vote01_11/06/2001,1
F,NF,CHESTER,AB,D,vote01_11/06/2001,1
F,R,CHESTER,AB,D,vote01_11/06/2001,1
F,D,CUMBERLAND,AB,D,vote01_11/06/2001,10
M,D,CUMBERLAND,AB,D,vote01_11/06/2001,9
F,R,CUMBERLAND,AB,D,vote01_11/06/2001,1
F,D,ELK,AB,D,vote01_11/06/2001,3
M,D,ELK,AB,D,vote01_11/06/2001,1
U,D,ELK,AB,D,vote01_11/06/2001,17
F,R,ELK,AB,D,vote01_11/06/2001,1
U,R,ELK,AB,D,vote01_11/06/2001,1
F,D,GREENE,AB,D,vote01_11/06/2001,1
M,D,GREENE,AB,D,vote01_11/06/2001,1
U,D,GREENE,AB,D,vote01_11/06/2001,3
F,R,GREENE,AB,D,vote01_11/06/2001,1
F,D,LUZERNE,AB,D,vote01_11/06/2001,1
F,D,WASHINGTON,AB,D,vote01_11/06/2001,23
M,D,WASHINGTON,AB,D,vote01_11/06/2001,5
U,D,WASHINGTON,AB,D,vote01_11/06/2001,76
M,NF,WASHINGTON,AB,D,vote01_11/06/2001,1
U,NF,WASHINGTON,AB,D,vote01_11/06/2001,1
F,R,WASHINGTON,AB,D,vote01_11/06/2001,4
U,R,WASHINGTON,AB,D,vote01_11/06/2001,5
F,D,ADAMS,AP,D,vote01_11/06/2001,10
M,D,ADAMS,AP,D,vote01_11/06/2001,12
F,R,ADAMS,AP,D,vote01_11/06/2001,3
M,R,ADAMS,AP,D,vote01_11/06/2001,2
F,D,ARMSTRONG,AP,D,vote01_11/06/2001,12
M,D,ARMSTRONG,AP,D,vote01_11/06/2001,16
M,NF,ARMSTRONG,AP,D,vote01_11/06/2001,1
F,R,ARMSTRONG,AP,D,vote01_11/06/2001,3
M,R,ARMSTRONG,AP,D,vote01_11/06/2001,5
F,D,BEAVER,AP,D,vote01_11/06/2001,32
M,D,BEAVER,AP,D,vote01_11/06/2001,42
F,I,BEAVER,AP,D,vote01_11/06/2001,1
F,NF,BEAVER,AP,D,vote01_11/06/2001,1
F,R,BEAVER,AP,D,vote01_11/06/2001,3
M,R,BEAVER,AP,D,vote01_11/06/2001,9
F,D,BUCKS,AP,D,vote01_11/06/2001,47
M,D,BUCKS,AP,D,vote01_11/06/2001,49
U,D,BUCKS,AP,D,vote01_11/06/2001,4
F,NF,BUCKS,AP,D,vote01_11/06/2001,2
U,NF,BUCKS,AP,D,vote01_11/06/2001,1
M,R,BUCKS,AP,D,vote01_11/06/2001,1
F,D,BUTLER,AP,D,vote01_11/06/2001,19
M,D,BUTLER,AP,D,vote01_11/06/2001,16
F,R,BUTLER,AP,D,vote01_11/06/2001,1
M,R,BUTLER,AP,D,vote01_11/06/2001,4
F,D,CARBON,AP,D,vote01_11/06/2001,194
M,D,CARBON,AP,D,vote01_11/06/2001,196
U,D,CARBON,AP,D,vote01_11/06/2001,1567
M,GR,CARBON,AP,D,vote01_11/06/2001,1
F,I,CARBON,AP,D,vote01_11/06/2001,1
M,I,CARBON,AP,D,vote01_11/06/2001,2
U,I,CARBON,AP,D,vote01_11/06/2001,5
F,LN,CARBON,AP,D,vote01_11/06/2001,1
F,NF,CARBON,AP,D,vote01_11/06/2001,1
M,NF,CARBON,AP,D,vote01_11/06/2001,3
U,NF,CARBON,AP,D,vote01_11/06/2001,3
M,NON,CARBON,AP,D,vote01_11/06/2001,1
F,OTH,CARBON,AP,D,vote01_11/06/2001,1
F,R,CARBON,AP,D,vote01_11/06/2001,55
M,R,CARBON,AP,D,vote01_11/06/2001,63
U,R,CARBON,AP,D,vote01_11/06/2001,175
F,R,CENTRE,AP,D,vote01_11/06/2001,1
F,D,CHESTER,AP,D,vote01_11/06/2001,3002
M,D,CHESTER,AP,D,vote01_11/06/2001,2011
U,D,CHESTER,AP,D,vote01_11/06/2001,5
M,GP,CHESTER,AP,D,vote01_11/06/2001,1
F,I,CHESTER,AP,D,vote01_11/06/2001,6
M,I,CHESTER,AP,D,vote01_11/06/2001,2
F,NF,CHESTER,AP,D,vote01_11/06/2001,9
M,NF,CHESTER,AP,D,vote01_11/06/2001,17
U,NF,CHESTER,AP,D,vote01_11/06/2001,1
M,NON,CHESTER,AP,D,vote01_11/06/2001,1
F,OTH,CHESTER,AP,D,vote01_11/06/2001,4
F,R,CHESTER,AP,D,vote01_11/06/2001,102
M,R,CHESTER,AP,D,vote01_11/06/2001,78
U,R,CHESTER,AP,D,vote01_11/06/2001,1
M,RC,CHESTER,AP,D,vote01_11/06/2001,1
F,D,CUMBERLAND,AP,D,vote01_11/06/2001,896
M,D,CUMBERLAND,AP,D,vote01_11/06/2001,638
U,D,CUMBERLAND,AP,D,vote01_11/06/2001,16
F,I,CUMBERLAND,AP,D,vote01_11/06/2001,1
M,I,CUMBERLAND,AP,D,vote01_11/06/2001,3
M,IT,CUMBERLAND,AP,D,vote01_11/06/2001,1
F,NF,CUMBERLAND,AP,D,vote01_11/06/2001,2
M,NF,CUMBERLAND,AP,D,vote01_11/06/2001,6
F,OTH,CUMBERLAND,AP,D,vote01_11/06/2001,1
F,R,CUMBERLAND,AP,D,vote01_11/06/2001,52
M,R,CUMBERLAND,AP,D,vote01_11/06/2001,53
U,R,CUMBERLAND,AP,D,vote01_11/06/2001,2
F,C,ELK,AP,D,vote01_11/06/2001,1
F,D,ELK,AP,D,vote01_11/06/2001,91
M,D,ELK,AP,D,vote01_11/06/2001,81
U,D,ELK,AP,D,vote01_11/06/2001,892
F,I,ELK,AP,D,vote01_11/06/2001,2
M,I,ELK,AP,D,vote01_11/06/2001,1
U,I,ELK,AP,D,vote01_11/06/2001,1
M,INDE,ELK,AP,D,vote01_11/06/2001,1
M,NF,ELK,AP,D,vote01_11/06/2001,2
U,NF,ELK,AP,D,vote01_11/06/2001,6
F,R,ELK,AP,D,vote01_11/06/2001,69
M,R,ELK,AP,D,vote01_11/06/2001,78
U,R,ELK,AP,D,vote01_11/06/2001,73
F,D,FRANKLIN,AP,D,vote01_11/06/2001,2
U,D,FRANKLIN,AP,D,vote01_11/06/2001,9
F,D,GREENE,AP,D,vote01_11/06/2001,40
M,D,GREENE,AP,D,vote01_11/06/2001,20
U,D,GREENE,AP,D,vote01_11/06/2001,171
U,LN,GREENE,AP,D,vote01_11/06/2001,1
F,R,GREENE,AP,D,vote01_11/06/2001,16
M,R,GREENE,AP,D,vote01_11/06/2001,17
U,R,GREENE,AP,D,vote01_11/06/2001,10
F,D,WARREN,AP,D,vote01_11/06/2001,2
M,D,WARREN,AP,D,vote01_11/06/2001,1
F,D,WASHINGTON,AP,D,vote01_11/06/2001,911
M,D,WASHINGTON,AP,D,vote01_11/06/2001,742
U,D,WASHINGTON,AP,D,vote01_11/06/2001,5399
M,I,WASHINGTON,AP,D,vote01_11/06/2001,4
U,I,WASHINGTON,AP,D,vote01_11/06/2001,9
F,NF,WASHINGTON,AP,D,vote01_11/06/2001,7
M,NF,WASHINGTON,AP,D,vote01_11/06/2001,10
U,NF,WASHINGTON,AP,D,vote01_11/06/2001,8
F,OTH,WASHINGTON,AP,D,vote01_11/06/2001,1
M,OTH,WASHINGTON,AP,D,vote01_11/06/2001,1
U,OTH,WASHINGTON,AP,D,vote01_11/06/2001,3
F,R,WASHINGTON,AP,D,vote01_11/06/2001,155
M,R,WASHINGTON,AP,D,vote01_11/06/2001,166
U,R,WASHINGTON,AP,D,vote01_11/06/2001,317
U,UAT,WASHINGTON,AP,D,vote01_11/06/2001,1
M,D,CUMBERLAND,P,D,vote01_11/06/2001,1
U,I,CARBON,AP,I,vote01_11/06/2001,1
F,R,ADAMS,AB,R,vote01_11/06/2001,2
M,R,ARMSTRONG,AB,R,vote01_11/06/2001,1
F,R,BEAVER,AB,R,vote01_11/06/2001,1
F,R,BUCKS,AB,R,vote01_11/06/2001,21
M,R,BUCKS,AB,R,vote01_11/06/2001,14
F,R,BUTLER,AB,R,vote01_11/06/2001,11
M,R,BUTLER,AB,R,vote01_11/06/2001,11
U,D,CARBON,AB,R,vote01_11/06/2001,2
U,I,CARBON,AB,R,vote01_11/06/2001,1
F,R,CARBON,AB,R,vote01_11/06/2001,9
M,R,CARBON,AB,R,vote01_11/06/2001,7
U,R,CARBON,AB,R,vote01_11/06/2001,19
F,D,CHESTER,AB,R,vote01_11/06/2001,11
M,D,CHESTER,AB,R,vote01_11/06/2001,6
F,I,CHESTER,AB,R,vote01_11/06/2001,1
M,I,CHESTER,AB,R,vote01_11/06/2001,2
F,NF,CHESTER,AB,R,vote01_11/06/2001,1
M,NF,CHESTER,AB,R,vote01_11/06/2001,7
F,R,CHESTER,AB,R,vote01_11/06/2001,129
M,R,CHESTER,AB,R,vote01_11/06/2001,119
F,D,CUMBERLAND,AB,R,vote01_11/06/2001,5
M,D,CUMBERLAND,AB,R,vote01_11/06/2001,2
F,NF,CUMBERLAND,AB,R,vote01_11/06/2001,1
F,R,CUMBERLAND,AB,R,vote01_11/06/2001,44
M,R,CUMBERLAND,AB,R,vote01_11/06/2001,36
F,D,ELK,AB,R,vote01_11/06/2001,2
M,D,ELK,AB,R,vote01_11/06/2001,1
F,R,ELK,AB,R,vote01_11/06/2001,3
M,R,ELK,AB,R,vote01_11/06/2001,1
U,R,ELK,AB,R,vote01_11/06/2001,15
F,R,FRANKLIN,AB,R,vote01_11/06/2001,2
U,R,FRANKLIN,AB,R,vote01_11/06/2001,9
U,R,GREENE,AB,R,vote01_11/06/2001,2
U,R,WARREN,AB,R,vote01_11/06/2001,1
F,D,WASHINGTON,AB,R,vote01_11/06/2001,1
U,D,WASHINGTON,AB,R,vote01_11/06/2001,2
F,R,WASHINGTON,AB,R,vote01_11/06/2001,11
M,R,WASHINGTON,AB,R,vote01_11/06/2001,6
U,R,WASHINGTON,AB,R,vote01_11/06/2001,60
F,D,ADAMS,AP,R,vote01_11/06/2001,1
M,D,ADAMS,AP,R,vote01_11/06/2001,1
M,I,ADAMS,AP,R,vote01_11/06/2001,1
M,NF,ADAMS,AP,R,vote01_11/06/2001,2
F,R,ADAMS,AP,R,vote01_11/06/2001,40
M,R,ADAMS,AP,R,vote01_11/06/2001,42
F,D,ARMSTRONG,AP,R,vote01_11/06/2001,1
M,D,ARMSTRONG,AP,R,vote01_11/06/2001,1
F,R,ARMSTRONG,AP,R,vote01_11/06/2001,28
M,R,ARMSTRONG,AP,R,vote01_11/06/2001,24
F,D,BEAVER,AP,R,vote01_11/06/2001,1
M,D,BEAVER,AP,R,vote01_11/06/2001,1
F,R,BEAVER,AP,R,vote01_11/06/2001,27
M,R,BEAVER,AP,R,vote01_11/06/2001,26
F,D,BUCKS,AP,R,vote01_11/06/2001,6
M,D,BUCKS,AP,R,vote01_11/06/2001,2
M,NF,BUCKS,AP,R,vote01_11/06/2001,1
F,R,BUCKS,AP,R,vote01_11/06/2001,100
M,R,BUCKS,AP,R,vote01_11/06/2001,110
U,R,BUCKS,AP,R,vote01_11/06/2001,4
M,NF,BUTLER,AP,R,vote01_11/06/2001,1
F,R,BUTLER,AP,R,vote01_11/06/2001,70
M,R,BUTLER,AP,R,vote01_11/06/2001,73
F,D,CARBON,AP,R,vote01_11/06/2001,7
M,D,CARBON,AP,R,vote01_11/06/2001,5
U,D,CARBON,AP,R,vote01_11/06/2001,16
M,I,CARBON,AP,R,vote01_11/06/2001,2
U,I,CARBON,AP,R,vote01_11/06/2001,4
F,LN,CARBON,AP,R,vote01_11/06/2001,1
M,LN,CARBON,AP,R,vote01_11/06/2001,1
F,NF,CARBON,AP,R,vote01_11/06/2001,2
M,NF,CARBON,AP,R,vote01_11/06/2001,2
U,NF,CARBON,AP,R,vote01_11/06/2001,1
F,R,CARBON,AP,R,vote01_11/06/2001,168
M,R,CARBON,AP,R,vote01_11/06/2001,165
