agenew,yearofreg,weekofreg,c,cumulative_c
30-44,2020,15,539,16240
30-44,2020,16,718,16958
30-44,2020,17,552,17510
30-44,2020,18,618,18128
30-44,2020,19,849,18977
45-60,2020,1,893,893
45-60,2020,2,856,1749
45-60,2020,3,908,2657
45-60,2020,4,1117,3774
45-60,2020,5,1134,4908
45-60,2020,6,1109,6017
45-60,2020,7,1457,7474
45-60,2020,8,2573,10047
45-60,2020,9,684,10731
45-60,2020,10,720,11451
45-60,2020,11,631,12082
45-60,2020,12,441,12523
45-60,2020,13,419,12942
45-60,2020,14,417,13359
45-60,2020,15,461,13820
45-60,2020,16,564,14384
45-60,2020,17,467,14851
45-60,2020,18,552,15403
45-60,2020,19,848,16251
60+,2020,1,1052,1052
60+,2020,2,1328,2380
60+,2020,3,1360,3740
60+,2020,4,1509,5249
60+,2020,5,1592,6841
60+,2020,6,1590,8431
60+,2020,7,1911,10342
60+,2020,8,3094,13436
60+,2020,9,727,14163
60+,2020,10,844,15007
60+,2020,11,661,15668
60+,2020,12,391,16059
60+,2020,13,351,16410
60+,2020,14,366,16776
60+,2020,15,457,17233
60+,2020,16,637,17870
60+,2020,17,523,18393
60+,2020,18,550,18943
60+,2020,19,770,19713
