

                                                                     REP - President of the United States
                                                            Donald J. Trump (I)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Camden                        1685                          2040                          468                           0                             4193                          4193                          
Charlton                      95                            92                            50                            0                             237                           237                           
Ware                          509                           729                           394                           2                             1634                          1634                          
Totals:                       2289                          2861                          912                           2                             6064                          6064                          

                                                                        REP - District Attorney - Alapaha
                                                            Dick Perryman (I)                                                                                                                                     
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Atkinson                      498                           300                           336                           0                             1134                          1134                          
Berrien                       1208                          1209                          682                           0                             3099                          3099                          
