

                                                                     REP - President of the United States
                                                            Donald J. Trump (I)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Turner                        292                           238                           121                           1                             652                           18                            22                            20                            0                             60                            712                           
Twiggs                        599                           694                           211                           0                             1504                          146                           159                           86                            0                             391                           1895                          
Union                         125                           1001                          93                            0                             1219                          10                            143                           13                            0                             166                           1385                          
Upson                         546                           1225                          249                           0                             2020                          18                            116                           8                             0                             142                           2162                          
Walker                        499                           1386                          102                           0                             1987                          24                            144                           1                             0                             169                           2156                          
Walton                        2111                          2674                          460                           30                            5275                          52                            256                           22                            0                             330                           5605                          
Ware                          527                           1089                          357                           0                             1973                          17                            78                            19                            0                             114                           2087                          
Warren                        324                           533                           143                           1                             1001                          47                            98                            72                            0                             217                           1218                          
Washington                    1623                          1909                          686                           12                            4230                          398                           680                           214                           0                             1292                          5522                          
Wayne                         321                           544                           127                           1                             993                           11                            33                            11                            0                             55                            1048                          
Webster                       156                           182                           88                            0                             426                           44                            84                            87                            0                             215                           641                           
Wheeler                       206                           198                           43                            0                             447                           29                            17                            11                            0                             57                            504                           
White                         170                           673                           71                            0                             914                           15                            112                           4                             0                             131                           1045                          
Whitfield                     1405                          1504                          262                           4                             3175                          49                            150                           11                            0                             210                           3385                          
