"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
1016,"TOWN OF LINCOLN","ADAMS COUNTY",120,207,0,0,0,0,0,0,134,204,0,0,0,11,0,1,0,0
1018,"TOWN OF MONROE","ADAMS COUNTY",156,276,0,0,0,5,5,0,177,270,0,0,0,11,11,1,0,1
10191,"VILLAGE OF WITHEE","CLARK COUNTY",138,261,0,0,0,22,22,0,181,255,0,0,0,2,2,0,0,0
1020,"TOWN OF NEW CHESTER","ADAMS COUNTY",195,497,0,0,0,1,1,0,0,481,0,0,0,13,12,1,0,0
10201,"CITY OF ABBOTSFORD","CLARK COUNTY",0,704,0,0,0,0,0,0,513,741,0,0,0,45,45,6,0,0
10211,"CITY OF COLBY","CLARK COUNTY",268,616,0,0,0,46,46,0,340,581,0,0,0,26,23,0,0,0
1022,"TOWN OF NEW HAVEN","ADAMS COUNTY",224,397,0,0,0,0,0,0,240,412,0,0,0,19,19,0,0,0
10231,"CITY OF GREENWOOD","CLARK COUNTY",317,547,0,0,0,32,32,0,446,591,0,0,0,32,31,0,0,0
1024,"TOWN OF PRESTON","ADAMS COUNTY",389,794,0,0,0,2,2,0,484,743,0,0,0,20,17,3,0,0
10246,"CITY OF LOYAL","CLARK COUNTY",302,593,0,0,0,8,8,0,411,663,0,0,0,14,12,2,0,0
1026,"TOWN OF QUINCY","ADAMS COUNTY",339,779,0,0,0,40,40,0,425,714,0,0,0,33,33,0,0,0
10261,"CITY OF NEILLSVILLE","CLARK COUNTY",628,1203,0,0,0,112,112,0,787,1263,0,0,0,76,72,4,0,1
10265,"CITY OF OWEN","CLARK COUNTY",233,485,0,0,0,36,35,0,334,492,0,0,0,18,17,1,1,0
1028,"TOWN OF RICHFIELD","ADAMS COUNTY",50,98,0,0,0,0,0,0,62,98,0,0,0,1,1,0,0,0
10286,"CITY OF THORP","CLARK COUNTY",385,832,0,0,0,50,47,0,526,873,0,0,0,39,34,4,0,1
1030,"TOWN OF ROME","ADAMS COUNTY",1290,2199,0,0,0,243,243,0,1382,2085,0,0,0,135,135,0,0,0
1032,"TOWN OF SPRINGVILLE","ADAMS COUNTY",345,731,0,0,0,0,0,0,440,670,0,0,0,17,17,0,0,0
1034,"TOWN OF STRONGS PRAIRIE","ADAMS COUNTY",342,703,0,0,0,52,52,0,421,681,0,0,0,15,14,0,0,1
11002,"TOWN OF ARLINGTON","COLUMBIA COUNTY",272,504,0,0,0,13,13,0,349,524,0,0,0,18,17,0,0,1
11004,"TOWN OF CALEDONIA","COLUMBIA COUNTY",567,970,0,0,0,64,64,0,645,938,0,0,0,33,30,3,0,0
11006,"TOWN OF COLUMBUS","COLUMBIA COUNTY",245,408,0,0,0,9,7,0,288,422,0,0,0,6,0,0,0,0
11008,"TOWN OF COURTLAND","COLUMBIA COUNTY",143,286,0,0,0,1,1,0,182,284,0,0,0,3,3,0,0,0
11010,"TOWN OF DEKORRA","COLUMBIA COUNTY",896,1618,0,0,0,143,143,0,1067,1626,0,0,0,75,0,5,0,0
11012,"TOWN OF FORT WINNEBAGO","COLUMBIA COUNTY",267,554,0,0,0,0,0,0,398,594,0,0,0,8,8,0,0,0
11014,"TOWN OF FOUNTAIN PRAIRIE","COLUMBIA COUNTY",298,540,0,0,0,30,29,0,357,583,0,0,0,12,0,0,0,0
11016,"TOWN OF HAMPDEN","COLUMBIA COUNTY",228,369,0,0,0,0,0,0,275,373,0,0,0,11,11,0,0,0
11018,"TOWN OF LEEDS","COLUMBIA COUNTY",267,509,0,0,0,16,16,0,366,540,0,0,0,13,13,0,0,0
11020,"TOWN OF LEWISTON","COLUMBIA COUNTY",355,723,0,0,0,0,0,0,531,747,0,0,0,15,14,1,0,1
11022,"TOWN OF LODI","COLUMBIA COUNTY",1265,2270,0,0,0,319,318,0,1521,2215,0,0,0,229,225,5,0,1
