county,party,race,first_time_status,age_group,vote_mode,vote_count
LEO,DEM,5,first_time,18-29,A,63
LEV,DEM,5,first_time,18-29,A,3
MAN,DEM,5,first_time,18-29,A,89
MON,DEM,5,first_time,18-29,A,10
MRN,DEM,5,first_time,18-29,A,21
MRT,DEM,5,first_time,18-29,A,38
NAS,DEM,5,first_time,18-29,A,12
OKA,DEM,5,first_time,18-29,A,29
OKE,DEM,5,first_time,18-29,A,1
ORA,DEM,5,first_time,18-29,A,237
OSC,DEM,5,first_time,18-29,A,58
PAL,DEM,5,first_time,18-29,A,200
PAS,DEM,5,first_time,18-29,A,71
PIN,DEM,5,first_time,18-29,A,249
POL,DEM,5,first_time,18-29,A,73
PUT,DEM,5,first_time,18-29,A,2
SAN,DEM,5,first_time,18-29,A,29
SAR,DEM,5,first_time,18-29,A,142
SEM,DEM,5,first_time,18-29,A,78
STJ,DEM,5,first_time,18-29,A,110
STL,DEM,5,first_time,18-29,A,24
SUM,DEM,5,first_time,18-29,A,8
SUW,DEM,5,first_time,18-29,A,3
TAY,DEM,5,first_time,18-29,A,2
VOL,DEM,5,first_time,18-29,A,56
WAK,DEM,5,first_time,18-29,A,3
WAL,DEM,5,first_time,18-29,A,8
WAS,DEM,5,first_time,18-29,A,2
CIT,GRE,5,first_time,18-29,A,1
LAK,GRE,5,first_time,18-29,A,1
PAL,GRE,5,first_time,18-29,A,1
PIN,GRE,5,first_time,18-29,A,1
BRO,IND,5,first_time,18-29,A,1
HIL,IND,5,first_time,18-29,A,1
MRN,IND,5,first_time,18-29,A,1
PAL,IND,5,first_time,18-29,A,4
PIN,IND,5,first_time,18-29,A,3
ALA,NPA,5,first_time,18-29,A,13
BRO,NPA,5,first_time,18-29,A,11
CLL,NPA,5,first_time,18-29,A,3
CLM,NPA,5,first_time,18-29,A,1
DAD,NPA,5,first_time,18-29,A,2
HIL,NPA,5,first_time,18-29,A,1
IND,NPA,5,first_time,18-29,A,1
LEE,NPA,5,first_time,18-29,A,5
MON,NPA,5,first_time,18-29,A,7
OKA,NPA,5,first_time,18-29,A,2
ORA,NPA,5,first_time,18-29,A,4
PAL,NPA,5,first_time,18-29,A,11
PAS,NPA,5,first_time,18-29,A,2
PIN,NPA,5,first_time,18-29,A,18
SAN,NPA,5,first_time,18-29,A,1
SAR,NPA,5,first_time,18-29,A,1
SEM,NPA,5,first_time,18-29,A,1
ALA,REP,5,first_time,18-29,A,24
BAK,REP,5,first_time,18-29,A,8
BAY,REP,5,first_time,18-29,A,17
BRA,REP,5,first_time,18-29,A,5
BRE,REP,5,first_time,18-29,A,67
BRO,REP,5,first_time,18-29,A,101
CAL,REP,5,first_time,18-29,A,4
CHA,REP,5,first_time,18-29,A,24
CIT,REP,5,first_time,18-29,A,29
CLA,REP,5,first_time,18-29,A,36
CLL,REP,5,first_time,18-29,A,89
CLM,REP,5,first_time,18-29,A,5
DAD,REP,5,first_time,18-29,A,31
DES,REP,5,first_time,18-29,A,1
DIX,REP,5,first_time,18-29,A,2
DUV,REP,5,first_time,18-29,A,61
ESC,REP,5,first_time,18-29,A,92
FLA,REP,5,first_time,18-29,A,26
FRA,REP,5,first_time,18-29,A,1
GAD,REP,5,first_time,18-29,A,1
GIL,REP,5,first_time,18-29,A,6
GLA,REP,5,first_time,18-29,A,3
GUL,REP,5,first_time,18-29,A,1
HAM,REP,5,first_time,18-29,A,2
HAR,REP,5,first_time,18-29,A,1
HEN,REP,5,first_time,18-29,A,1
HER,REP,5,first_time,18-29,A,41
HIG,REP,5,first_time,18-29,A,6
HIL,REP,5,first_time,18-29,A,158
HOL,REP,5,first_time,18-29,A,2
IND,REP,5,first_time,18-29,A,8
JAC,REP,5,first_time,18-29,A,5
LAF,REP,5,first_time,18-29,A,3
LAK,REP,5,first_time,18-29,A,18
LEE,REP,5,first_time,18-29,A,101
LEO,REP,5,first_time,18-29,A,13
LEV,REP,5,first_time,18-29,A,15
MAN,REP,5,first_time,18-29,A,80
MON,REP,5,first_time,18-29,A,21
MRN,REP,5,first_time,18-29,A,21
