election_date,vote_mode,party,county,race,age_group,vote_count
03/15/2016,A,REP,OKA,1,18-29,1
03/17/2020,A,REP,OKA,1,18-29,1
03/17/2020,B,REP,OKA,1,18-29,1
03/15/2016,E,REP,OKA,1,18-29,7
03/17/2020,E,REP,OKA,1,18-29,1
03/15/2016,Y,REP,OKA,1,18-29,6
03/17/2020,Y,REP,OKA,1,18-29,3
03/15/2016,Y,DEM,OKE,1,18-29,1
03/15/2016,E,REP,OKE,1,18-29,1
03/15/2016,A,DEM,ORA,1,18-29,6
03/17/2020,A,DEM,ORA,1,18-29,3
03/15/2016,E,DEM,ORA,1,18-29,9
03/17/2020,E,DEM,ORA,1,18-29,13
03/15/2016,Y,DEM,ORA,1,18-29,16
03/17/2020,Y,DEM,ORA,1,18-29,21
03/15/2016,A,REP,ORA,1,18-29,2
03/15/2016,B,REP,ORA,1,18-29,1
03/15/2016,E,REP,ORA,1,18-29,3
03/15/2016,Y,REP,ORA,1,18-29,17
03/17/2020,Y,REP,ORA,1,18-29,3
03/17/2020,A,DEM,OSC,1,18-29,2
03/17/2020,E,DEM,OSC,1,18-29,1
03/15/2016,Y,DEM,OSC,1,18-29,3
03/17/2020,Y,DEM,OSC,1,18-29,3
03/17/2020,A,REP,OSC,1,18-29,1
03/17/2020,E,REP,OSC,1,18-29,2
03/15/2016,P,REP,OSC,1,18-29,1
03/15/2016,A,DEM,PAL,1,18-29,5
03/17/2020,A,DEM,PAL,1,18-29,6
03/15/2016,B,DEM,PAL,1,18-29,1
03/15/2016,E,DEM,PAL,1,18-29,1
03/17/2020,E,DEM,PAL,1,18-29,3
03/15/2016,P,DEM,PAL,1,18-29,1
03/15/2016,Y,DEM,PAL,1,18-29,17
03/17/2020,Y,DEM,PAL,1,18-29,12
03/15/2016,A,REP,PAL,1,18-29,1
03/17/2020,A,REP,PAL,1,18-29,2
03/17/2020,E,REP,PAL,1,18-29,1
03/15/2016,Y,REP,PAL,1,18-29,2
03/17/2020,A,DEM,PAS,1,18-29,2
03/15/2016,E,DEM,PAS,1,18-29,1
03/17/2020,E,DEM,PAS,1,18-29,2
03/15/2016,Y,DEM,PAS,1,18-29,4
03/17/2020,Y,DEM,PAS,1,18-29,2
03/15/2016,A,REP,PAS,1,18-29,1
03/17/2020,A,REP,PAS,1,18-29,2
03/15/2016,E,REP,PAS,1,18-29,1
03/15/2016,Y,REP,PAS,1,18-29,5
03/17/2020,Y,REP,PAS,1,18-29,2
03/15/2016,A,DEM,PIN,1,18-29,6
03/17/2020,A,DEM,PIN,1,18-29,5
03/15/2016,E,DEM,PIN,1,18-29,1
03/17/2020,E,DEM,PIN,1,18-29,4
03/15/2016,P,DEM,PIN,1,18-29,1
03/15/2016,Y,DEM,PIN,1,18-29,14
03/17/2020,Y,DEM,PIN,1,18-29,13
03/15/2016,A,REP,PIN,1,18-29,11
03/17/2020,A,REP,PIN,1,18-29,6
03/15/2016,P,REP,PIN,1,18-29,1
03/15/2016,Y,REP,PIN,1,18-29,2
03/17/2020,Y,REP,PIN,1,18-29,2
03/17/2020,A,DEM,POL,1,18-29,3
03/15/2016,E,DEM,POL,1,18-29,1
03/17/2020,E,DEM,POL,1,18-29,1
03/15/2016,Y,DEM,POL,1,18-29,8
03/17/2020,Y,DEM,POL,1,18-29,7
03/15/2016,A,REP,POL,1,18-29,2
03/17/2020,A,REP,POL,1,18-29,3
03/15/2016,E,REP,POL,1,18-29,1
03/17/2020,E,REP,POL,1,18-29,1
03/15/2016,Y,REP,POL,1,18-29,6
03/17/2020,Y,REP,POL,1,18-29,1
03/15/2016,Y,REP,PUT,1,18-29,1
03/15/2016,A,DEM,SAN,1,18-29,1
03/15/2016,E,DEM,SAN,1,18-29,1
03/17/2020,E,DEM,SAN,1,18-29,2
03/17/2020,Y,DEM,SAN,1,18-29,1
03/15/2016,A,REP,SAN,1,18-29,3
03/17/2020,A,REP,SAN,1,18-29,1
03/17/2020,B,REP,SAN,1,18-29,1
03/15/2016,E,REP,SAN,1,18-29,4
03/15/2016,Y,REP,SAN,1,18-29,9
03/17/2020,Y,REP,SAN,1,18-29,4
03/15/2016,A,DEM,SAR,1,18-29,1
03/17/2020,A,DEM,SAR,1,18-29,3
03/15/2016,E,DEM,SAR,1,18-29,1
03/15/2016,Y,DEM,SAR,1,18-29,5
03/17/2020,Y,DEM,SAR,1,18-29,3
03/15/2016,A,REP,SAR,1,18-29,1
03/15/2016,E,REP,SAR,1,18-29,1
03/15/2016,Y,REP,SAR,1,18-29,3
03/17/2020,Y,REP,SAR,1,18-29,1
03/15/2016,A,DEM,SEM,1,18-29,2
03/17/2020,A,DEM,SEM,1,18-29,5
03/15/2016,E,DEM,SEM,1,18-29,3
03/17/2020,E,DEM,SEM,1,18-29,5
03/15/2016,Y,DEM,SEM,1,18-29,4
03/17/2020,Y,DEM,SEM,1,18-29,11
03/15/2016,A,REP,SEM,1,18-29,2
03/15/2016,E,REP,SEM,1,18-29,3
03/15/2016,Y,REP,SEM,1,18-29,9
03/17/2020,A,DEM,STJ,1,18-29,1
03/15/2016,E,DEM,STJ,1,18-29,1
03/15/2016,Y,DEM,STJ,1,18-29,3
03/17/2020,Y,DEM,STJ,1,18-29,1
03/15/2016,E,REP,STJ,1,18-29,4
03/15/2016,Y,REP,STJ,1,18-29,5
03/17/2020,Y,REP,STJ,1,18-29,3
03/17/2020,A,DEM,STL,1,18-29,1
03/17/2020,E,DEM,STL,1,18-29,2
03/15/2016,Y,DEM,STL,1,18-29,9
03/15/2016,A,REP,STL,1,18-29,1
03/15/2016,E,REP,STL,1,18-29,2
03/15/2016,Y,REP,STL,1,18-29,1
03/17/2020,Y,REP,STL,1,18-29,1
03/15/2016,Y,DEM,SUM,1,18-29,1
03/15/2016,A,REP,SUM,1,18-29,1
03/15/2016,Y,REP,SUM,1,18-29,1
03/17/2020,Y,DEM,SUW,1,18-29,1
03/15/2016,Y,REP,SUW,1,18-29,1
03/17/2020,Y,REP,SUW,1,18-29,1
03/15/2016,Y,DEM,TAY,1,18-29,1
03/17/2020,E,REP,UNI,1,18-29,1
03/15/2016,A,DEM,VOL,1,18-29,3
03/17/2020,A,DEM,VOL,1,18-29,3
03/15/2016,E,DEM,VOL,1,18-29,1
03/17/2020,E,DEM,VOL,1,18-29,2
03/15/2016,Y,DEM,VOL,1,18-29,7
03/17/2020,Y,DEM,VOL,1,18-29,5
03/15/2016,A,REP,VOL,1,18-29,4
03/17/2020,A,REP,VOL,1,18-29,1
03/15/2016,E,REP,VOL,1,18-29,1
03/15/2016,Y,REP,VOL,1,18-29,1
03/17/2020,Y,REP,VOL,1,18-29,1
03/15/2016,Y,DEM,WAK,1,18-29,1
03/17/2020,Y,DEM,WAK,1,18-29,1
03/15/2016,E,REP,WAK,1,18-29,1
03/17/2020,E,REP,WAK,1,18-29,1
03/17/2020,Y,REP,WAK,1,18-29,1
03/15/2016,Y,DEM,WAL,1,18-29,1
03/15/2016,A,REP,WAL,1,18-29,1
03/17/2020,A,REP,WAL,1,18-29,1
03/15/2016,E,REP,WAL,1,18-29,2
03/15/2016,Y,REP,WAL,1,18-29,3
03/17/2020,A,REP,WAS,1,18-29,2
03/15/2016,Y,REP,WAS,1,18-29,2
03/17/2020,Y,REP,WAS,1,18-29,2
03/15/2016,A,DEM,ALA,2,18-29,23
03/17/2020,A,DEM,ALA,2,18-29,83
03/17/2020,B,DEM,ALA,2,18-29,10
03/15/2016,E,DEM,ALA,2,18-29,61
03/17/2020,E,DEM,ALA,2,18-29,368
03/15/2016,P,DEM,ALA,2,18-29,3
03/15/2016,Y,DEM,ALA,2,18-29,114
03/17/2020,Y,DEM,ALA,2,18-29,184
03/15/2016,A,REP,ALA,2,18-29,6
03/17/2020,A,REP,ALA,2,18-29,6
03/15/2016,E,REP,ALA,2,18-29,12
03/17/2020,E,REP,ALA,2,18-29,4
03/15/2016,Y,REP,ALA,2,18-29,29
03/17/2020,Y,REP,ALA,2,18-29,3
03/17/2020,Y,REP,BAK,2,18-29,1
03/15/2016,A,DEM,BAY,2,18-29,1
03/15/2016,E,DEM,BAY,2,18-29,4
03/17/2020,E,DEM,BAY,2,18-29,6
03/15/2016,Y,DEM,BAY,2,18-29,5
03/17/2020,Y,DEM,BAY,2,18-29,12
03/15/2016,A,REP,BAY,2,18-29,2
03/17/2020,A,REP,BAY,2,18-29,4
03/15/2016,E,REP,BAY,2,18-29,5
03/17/2020,E,REP,BAY,2,18-29,3
03/15/2016,Y,REP,BAY,2,18-29,9
03/17/2020,Y,REP,BAY,2,18-29,6
03/17/2020,A,DEM,BRA,2,18-29,1
03/17/2020,A,REP,BRA,2,18-29,1
03/15/2016,A,DEM,BRE,2,18-29,21
03/17/2020,A,DEM,BRE,2,18-29,42
03/15/2016,B,DEM,BRE,2,18-29,2
03/17/2020,B,DEM,BRE,2,18-29,1
03/15/2016,E,DEM,BRE,2,18-29,16
03/17/2020,E,DEM,BRE,2,18-29,39
03/15/2016,P,DEM,BRE,2,18-29,1
03/15/2016,Y,DEM,BRE,2,18-29,29
03/17/2020,Y,DEM,BRE,2,18-29,35
03/15/2016,A,REP,BRE,2,18-29,17
03/17/2020,A,REP,BRE,2,18-29,9
03/15/2016,E,REP,BRE,2,18-29,5
03/17/2020,E,REP,BRE,2,18-29,3
03/15/2016,P,REP,BRE,2,18-29,2
03/15/2016,Y,REP,BRE,2,18-29,24
03/17/2020,Y,REP,BRE,2,18-29,13
03/15/2016,A,DEM,BRO,2,18-29,72
03/17/2020,A,DEM,BRO,2,18-29,217
03/15/2016,B,DEM,BRO,2,18-29,6
03/17/2020,B,DEM,BRO,2,18-29,2
03/15/2016,E,DEM,BRO,2,18-29,107
03/17/2020,E,DEM,BRO,2,18-29,204
03/17/2020,P,DEM,BRO,2,18-29,2
03/15/2016,Y,DEM,BRO,2,18-29,226
03/17/2020,Y,DEM,BRO,2,18-29,198
03/15/2016,A,REP,BRO,2,18-29,25
03/17/2020,A,REP,BRO,2,18-29,24
03/17/2020,B,REP,BRO,2,18-29,1
03/15/2016,E,REP,BRO,2,18-29,26
03/17/2020,E,REP,BRO,2,18-29,6
03/15/2016,Y,REP,BRO,2,18-29,31
03/17/2020,Y,REP,BRO,2,18-29,3
03/15/2016,Y,DEM,CAL,2,18-29,1
03/15/2016,E,REP,CAL,2,18-29,1
03/17/2020,E,REP,CAL,2,18-29,1
03/15/2016,A,DEM,CHA,2,18-29,3
03/17/2020,A,DEM,CHA,2,18-29,4
03/17/2020,E,DEM,CHA,2,18-29,2
03/15/2016,Y,DEM,CHA,2,18-29,6
03/17/2020,Y,DEM,CHA,2,18-29,3
03/15/2016,A,REP,CHA,2,18-29,3
03/17/2020,A,REP,CHA,2,18-29,1
03/15/2016,E,REP,CHA,2,18-29,3
03/15/2016,Y,REP,CHA,2,18-29,2
03/15/2016,A,DEM,CIT,2,18-29,2
03/17/2020,A,DEM,CIT,2,18-29,13
03/15/2016,B,DEM,CIT,2,18-29,1
03/17/2020,E,DEM,CIT,2,18-29,3
03/15/2016,Y,DEM,CIT,2,18-29,2
03/17/2020,Y,DEM,CIT,2,18-29,2
03/15/2016,A,REP,CIT,2,18-29,1
03/15/2016,E,REP,CIT,2,18-29,2
03/17/2020,E,REP,CIT,2,18-29,1
03/15/2016,Y,REP,CIT,2,18-29,3
03/15/2016,A,DEM,CLA,2,18-29,5
03/17/2020,A,DEM,CLA,2,18-29,6
03/17/2020,B,DEM,CLA,2,18-29,1
03/15/2016,E,DEM,CLA,2,18-29,8
03/17/2020,E,DEM,CLA,2,18-29,10
03/15/2016,Y,DEM,CLA,2,18-29,8
03/17/2020,Y,DEM,CLA,2,18-29,16
03/15/2016,A,REP,CLA,2,18-29,4
03/17/2020,A,REP,CLA,2,18-29,5
03/15/2016,E,REP,CLA,2,18-29,10
03/17/2020,E,REP,CLA,2,18-29,4
03/15/2016,Y,REP,CLA,2,18-29,13
03/17/2020,Y,REP,CLA,2,18-29,5
03/15/2016,A,DEM,CLL,2,18-29,4
03/17/2020,A,DEM,CLL,2,18-29,14
03/15/2016,B,DEM,CLL,2,18-29,1
03/17/2020,B,DEM,CLL,2,18-29,1
03/15/2016,E,DEM,CLL,2,18-29,6
03/17/2020,E,DEM,CLL,2,18-29,4
03/15/2016,Y,DEM,CLL,2,18-29,4
03/17/2020,Y,DEM,CLL,2,18-29,11
03/15/2016,A,REP,CLL,2,18-29,3
03/17/2020,A,REP,CLL,2,18-29,6
03/15/2016,E,REP,CLL,2,18-29,3
03/17/2020,E,REP,CLL,2,18-29,2
03/15/2016,Y,REP,CLL,2,18-29,6
03/17/2020,Y,REP,CLL,2,18-29,1
03/17/2020,A,DEM,CLM,2,18-29,1
03/17/2020,E,DEM,CLM,2,18-29,2
03/17/2020,Y,DEM,CLM,2,18-29,1
03/15/2016,A,REP,CLM,2,18-29,2
03/15/2016,Y,REP,CLM,2,18-29,3
03/17/2020,Y,REP,CLM,2,18-29,1
03/15/2016,A,DEM,DAD,2,18-29,58
03/17/2020,A,DEM,DAD,2,18-29,127
03/15/2016,B,DEM,DAD,2,18-29,2
03/17/2020,B,DEM,DAD,2,18-29,3
03/15/2016,E,DEM,DAD,2,18-29,67
03/17/2020,E,DEM,DAD,2,18-29,120
03/15/2016,P,DEM,DAD,2,18-29,3
03/15/2016,Y,DEM,DAD,2,18-29,116
03/17/2020,Y,DEM,DAD,2,18-29,127
03/15/2016,A,REP,DAD,2,18-29,9
03/17/2020,A,REP,DAD,2,18-29,17
03/15/2016,B,REP,DAD,2,18-29,2
03/15/2016,E,REP,DAD,2,18-29,10
03/17/2020,E,REP,DAD,2,18-29,3
03/15/2016,Y,REP,DAD,2,18-29,23
03/17/2020,Y,REP,DAD,2,18-29,5
03/15/2016,E,DEM,DES,2,18-29,1
03/15/2016,E,REP,DIX,2,18-29,1
03/15/2016,A,DEM,DUV,2,18-29,35
03/17/2020,A,DEM,DUV,2,18-29,75
03/17/2020,B,DEM,DUV,2,18-29,6
03/15/2016,E,DEM,DUV,2,18-29,48
03/17/2020,E,DEM,DUV,2,18-29,131
03/15/2016,P,DEM,DUV,2,18-29,1
03/17/2020,P,DEM,DUV,2,18-29,3
03/15/2016,Y,DEM,DUV,2,18-29,90
03/17/2020,Y,DEM,DUV,2,18-29,176
03/15/2016,A,REP,DUV,2,18-29,31
