vre602,cd,ss,sh,cc,ed,mu,ext,address,white,black,hispanic,asian,other,total,,,,,,,,,,,,,,,,,,,
04X1,005,039,057,4,2,04,00835,"Tuskegee Airmen Academy 1626 Westhaven Dr SW
Split (04X1, 04X2)","151
4","1,617
59","23
0","6
0","298
15","2,095
78",,,,,,,,,,,,,,,,,,,
04X2,005,039,056,4,2,04,00831,"Tuskegee Airmen Academy 1626 Westhaven Dr SW
Split (04X1, 04X2)","69
6","605
34","8
0","3
1","120
9","805
50",,,,,,,,,,,,,,,,,,,
05A1,005,036,058,5,3,05,00956,"Lang-Carson Recreation Center 100 Flat Shoals Ave
Split (05A1, 05A2)","1,642
176","416
29","79
9","45
6","417
53","2,599
273",,,,,,,,,,,,,,,,,,,
05A2,005,036,059,5,3,05,00836,"Lang-Carson Recreation Center 100 Flat Shoals Ave
Split (05A1, 05A2)","1,553
147","827
57","89
5","87
9","490
53","3,046
271",,,,,,,,,,,,,,,,,,,
05B,005,036,058,4,3,05,00837,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)","381
35","1,306
64","53
1","36
5","296
24","2,072
129",,,,,,,,,,,,,,,,,,,
05C,005,036,058,4,3,05,00837,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)","24
2","113
1","4
0","2
0","18
0","161
3",,,,,,,,,,,,,,,,,,,
05D,005,036,057,4,3,05,00838,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)","70
3","376
9","7
0","9
0","53
6","515
18",,,,,,,,,,,,,,,,,,,
05F,005,036,058,4,3,05,00837,"Central Park Recreation Center 400 Merritts Ave NE
Split (02C, 02F1, 02F2, 05F)","75
9","99
14","8
2","5
1","40
3","227
29",,,,,,,,,,,,,,,,,,,
05J,005,036,058,4,3,05,00837,"Butler Street Baptist Church 315 Ralph Mcgill Blvd
Split (02D, 05J, 06F)","262
28","224
12","19
3","30
2","100
7","635
52",,,,,,,,,,,,,,,,,,,
05K,005,036,058,4,3,05,00837,"Helene S. Mills Senior Center 515 John Wesley Dobbs Ave NE
Split (02G, 02S, 05K)","698
82","1,545
67","110
6","87
5","414
37","2,854
197",,,,,,,,,,,,,,,,,,,
06B,005,036,058,4,3,06,00839,"Inman Middle School 774 Virginia Ave
Split (06B, 06J)","1,363
159","70
9","41
6","59
6","235
48","1,768
228",,,,,,,,,,,,,,,,,,,
06D,005,036,057,3,3,06,00840,"Morningside Baptist Church Gym 1700 Piedmont Road
Split (06D, 06E)","5,856
481","1,229
105","316
14","296
33","1,287
156","8,984
789",,,,,,,,,,,,,,,,,,,
06E,005,039,056,3,3,06,00841,"Morningside Baptist Church Gym 1700 Piedmont Road
Split (06D, 06E)","1,450
155","321
25","77
9","71
14","344
42","2,263
245",,,,,,,,,,,,,,,,,,,
06F,005,036,058,5,3,06,00961,"Butler Street Baptist Church 315 Ralph Mcgill Blvd
Split (02D, 05J, 06F)","1,888
215","290
21","55
8","49
5","371
53","2,653
302",,,,,,,,,,,,,,,,,,,
06G,005,036,058,4,3,06,00839,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)","341
25","107
9","12
1","10
2","89
17","559
54",,,,,,,,,,,,,,,,,,,
06I,005,039,054,3,3,06,00843,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)","1,378
240","1,296
118","193
26","199
31","599
94","3,665
509",,,,,,,,,,,,,,,,,,,
06J,005,036,057,3,3,06,00840,"Inman Middle School 774 Virginia Ave
Split (06B, 06J)","1,991
165","82
2","67
4","67
17","376
46","2,583
234",,,,,,,,,,,,,,,,,,,
06L1,005,039,056,3,3,06,00841,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)","686
52","79
3","11
0","10
2","109
16","895
73",,,,,,,,,,,,,,,,,,,
06L2,005,039,055,3,3,06,00844,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)","511
26","52
4","15
1","12
0","95
7","685
38",,,,,,,,,,,,,,,,,,,
06N,005,039,055,3,3,06,00844,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)","998
77","382
72","37
4","33
0","265
37","1,715
190",,,,,,,,,,,,,,,,,,,
06Q,005,039,054,3,3,06,00843,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)","179
30","224
27","20
0","8
4","93
19","524
80",,,,,,,,,,,,,,,,,,,
06R,005,039,056,3,3,06,00841,First Presbyterian Church 1328 Peachtree Street,"1,224
105","325
17","38
5","39
4","267
28","1,893
159",,,,,,,,,,,,,,,,,,,
07A,011,006,054,3,4,07,00846,Sarah Rawson Smith Elem School 370 Old Ivy Rd Ne,"4,380
377","1,034
62","215
20","326
31","1,146
158","7,101
648",,,,,,,,,,,,,,,,,,,
07B,011,006,054,3,4,07,00846,"St James Methodist Ch
4400 Peachtree Dunwoody Rd
Split (07B, 07C)","2,363
94","63
2","32
1","57
2","293
25","2,808
124",,,,,,,,,,,,,,,,,,,
07C,005,006,054,3,4,07,00847,"St James Methodist Ch
4400 Peachtree Dunwoody Rd
Split (07B, 07C)","2,801
225","526
30","129
14","133
14","613
71","4,202
354",,,,,,,,,,,,,,,,,,,
07D,005,006,054,3,4,07,00847,"Ptree Presbyterian Church 3434 Roswell Rd
Split (07D, 08M)","2,863
327","633
58","166
17","133
14","658
94","4,453
510",,,,,,,,,,,,,,,,,,,
07E,005,039,054,3,4,07,00848,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)","1,212
115","381
32","79
2","96
6","331
35","2,099
190",,,,,,,,,,,,,,,,,,,
07F,005,039,054,3,4,07,00848,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)","2,390
208","312
12","105
3","96
4","494
43","3,397
270",,,,,,,,,,,,,,,,,,,
07H,005,039,054,3,4,07,00848,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)","1,511
92","116
15","48
3","33
1","270
29","1,978
140",,,,,,,,,,,,,,,,,,,
07J,005,039,055,3,4,07,00849,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)","1,848
206","349
22","75
8","63
3","401
64","2,736
303",,,,,,,,,,,,,,,,,,,
07M,005,039,054,3,4,07,00848,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)","1,178
135","452
29","96
8","116
10","388
65","2,230
247",,,,,,,,,,,,,,,,,,,
07N,005,039,054,3,4,07,00848,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)","696
95","707
64","108
8","135
18","361
42","2,007
227",,,,,,,,,,,,,,,,,,,
08A,011,006,040,3,4,08,00851,"Jackson, Warren T School 1325 Mt Paran Rd","1,927
169","392
35","63
3","92
9","433
50","2,907
266",,,,,,,,,,,,,,,,,,,
08B,011,006,052,3,4,08,00852,"Chastain Park Gymnasium 140 W Wieuca Rd
Split (08B, 08C)","2,591
157","157
9","62
8","88
6","365
44","3,263
224",,,,,,,,,,,,,,,,,,,
08C,011,006,052,3,4,08,00852,"Chastain Park Gymnasium 140 W Wieuca Rd
Split (08B, 08C)","1,168
52","27
1","24
7","28
3","161
15","1,408
78",,,,,,,,,,,,,,,,,,,
08D,011,006,052,3,4,08,00852,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)","877
36","11
0","10
0","20
2","117
10","1,035
48",,,,,,,,,,,,,,,,,,,
08E,011,006,053,3,4,08,00853,"Morris Brandon Primary Ctr. School 2845 Margaret Mitchell Dr
Split (08E, 09F)","1,994
96","86
6","30
1","80
7","276
18","2,466
128",,,,,,,,,,,,,,,,,,,
08F1,005,006,054,3,4,08,00854,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)","1,792
64","35
3","34
0","28
2","209
16","2,098
85",,,,,,,,,,,,,,,,,,,
08G,005,039,054,3,4,08,00850,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)","1,715
155","594
31","71
5","72
7","475
56","2,927
254",,,,,,,,,,,,,,,,,,,
08H,005,039,054,3,4,08,00850,"Sutton Middle School 2875 Northside Dr
Split (08H, 08J)","2,033
111","109
7","33
4","31
1","301
32","2,507
155",,,,,,,,,,,,,,,,,,,
08J,005,038,054,3,4,08,00855,"Sutton Middle School 2875 Northside Dr
Split (08H, 08J)","2,204
153","390
34","74
9","52
6","433
39","3,153
241",,,,,,,,,,,,,,,,,,,
08K,005,038,055,3,4,08,00856,"Grant, Bitsy Tennis Center 2125 Northside Dr","700
81","114
7","28
5","18
0","135
27","995
120",,,,,,,,,,,,,,,,,,,
08L,005,038,055,3,4,08,00856,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)","2,761
297","636
49","114
16","106
13","641
92","4,258
467",,,,,,,,,,,,,,,,,,,
08M,005,006,054,3,4,08,00854,"Ptree Presbyterian Church 3434 Roswell Rd
Split (07D, 08M)","1,644
85","96
11","38
3","27
1","241
30","2,046
130",,,,,,,,,,,,,,,,,,,
08N1,011,006,052,3,4,08,00852,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)","634
22","32
0","8
0","16
1","110
6","800
29",,,,,,,,,,,,,,,,,,,
08N2,011,006,054,3,4,08,00857,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)","983
53","227
14","33
4","63
6","216
23","1,522
100",,,,,,,,,,,,,,,,,,,
08P,005,038,055,3,4,08,00856,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)","779
76","600
57","73
6","47
4","254
32","1,753
175",,,,,,,,,,,,,,,,,,,
09A,005,038,053,4,5,09,00858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)","1,649
148","1,144
86","192
11","90
4","518
53","3,593
302",,,,,,,,,,,,,,,,,,,
09B,005,038,053,4,5,09,00858,Coretta Scott King Young Women's Academy 1190 Northwest Dr NW,"15
0","382
13","3
0","0
0","49
3","449
16",,,,,,,,,,,,,,,,,,,
09C,005,038,053,4,5,09,00858,"Jackson Memorial Baptist Church 534 Fairburn Rd
Split (09C, 10E)","79
1","2,679
97","9
1","8
0","424
9","3,199
108",,,,,,,,,,,,,,,,,,,
09D,005,038,053,4,5,09,00858,Salem Baptist Church 2283 Baker Road,"55
2","1,807
52","15
1","2
0","264
19","2,143
74",,,,,,,,,,,,,,,,,,,
09E,005,038,053,4,5,09,00858,"Dogwood Senior Center
1953 Donald L. Hollowell Pkwy Nw","391
33","2,159
109","44
4","47
1","434
32","3,075
179",,,,,,,,,,,,,,,,,,,
