vre602,cd,ss,sh,cc,ed,mu,ext,address,white,black,hispanic,asian,other,total,,,,,,,,,,,,,,,,,,,
RW03,006,056,048,2,1,LRG,00779,"Independence High School 791 Mimosa Blvd
Split (RW02, RW03)","2,705
212","819
68","293
17","135
12","730
71","4,682
380",,,,,,,,,,,,,,,,,,,
RW04,006,056,051,1,7,LRG,00780,River Eves Elementary 9000 Eves Road,"1,402
83","73
2","49
2","35
2","253
21","1,812
110",,,,,,,,,,,,,,,,,,,
RW05,006,056,048,2,1,LRG,00779,Elkins Pointe Middle School 11290 Elkins Road,"1,219
99","600
42","247
9","83
14","462
60","2,611
224",,,,,,,,,,,,,,,,,,,
RW06,006,056,051,1,7,LRG,00780,"Saint Mary's Orthodox Church 1950 Old Alabama Rd
Split (RW06, RW13)","1,959
121","311
38","105
6","73
4","439
46","2,887
215",,,,,,,,,,,,,,,,,,,
RW07A,006,056,048,1,1,LRG,00781,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)","329
43","742
74","215
10","24
1","365
48","1,675
176",,,,,,,,,,,,,,,,,,,
RW07B,006,056,048,2,1,LRG,00779,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)","127
18","79
4","132
1","16
0","73
2","427
25",,,,,,,,,,,,,,,,,,,
RW08,006,056,048,2,1,LRG,00779,Crosspointe Community Church 77 E Crossville Rd Suite 203,"1,785
132","103
6","64
5","49
0","301
30","2,302
173",,,,,,,,,,,,,,,,,,,
RW09,006,056,047,2,1,LRG,00782,"North River Baptist Church 12090 Hardscrabble Road
Split (RW09, RW19)","4,721
277","281
7","92
6","138
3","779
50","6,011
343",,,,,,,,,,,,,,,,,,,
RW10,006,056,048,2,1,LRG,00779,"Roswell Library 115 Norcross St
Split (RW01, RW10, RW11A)","2,781
153","119
10","77
0","64
1","418
21","3,459
185",,,,,,,,,,,,,,,,,,,
RW11A,006,056,048,2,1,LRG,00779,"Roswell Library 115 Norcross St
Split (RW01, RW10, RW11A)","1,850
118","385
24","96
6","40
3","386
37","2,757
188",,,,,,,,,,,,,,,,,,,
RW12,006,056,047,2,1,LRG,00782,"Lebanon Church 11250 Crabapple Road
Split (RW12, RW16)","4,515
301","308
15","137
4","258
8","848
51","6,066
379",,,,,,,,,,,,,,,,,,,
RW13,006,056,048,1,7,LRG,00925,"Saint Mary's Orthodox Church 1950 Old Alabama Rd
Split (RW06, RW13)","2,479
173","345
25","171
17","109
10","504
57","3,608
282",,,,,,,,,,,,,,,,,,,
RW16,006,056,048,2,1,LRG,00779,"Lebanon Church 11250 Crabapple Road
Split (RW12, RW16)","1,354
74","171
11","49
3","63
6","281
16","1,918
110",,,,,,,,,,,,,,,,,,,
RW17,006,056,048,1,1,LRG,00781,"Jackson, Esther S Elem School 1400 Martin Rd","1,770
152","457
37","155
12","44
2","498
56","2,924
259",,,,,,,,,,,,,,,,,,,
RW19,006,056,047,2,1,LRG,00782,"North River Baptist Church 12090 Hardscrabble Road
Split (RW09, RW19)","1,519
69","117
5","40
3","95
5","275
17","2,046
99",,,,,,,,,,,,,,,,,,,
RW20,006,056,051,1,7,LRG,00780,"East Roswell Library
2301 Holcomb Bridge Road","1,690
123","255
16","57
2","107
2","395
26","2,504
169",,,,,,,,,,,,,,,,,,,
RW21,006,056,051,1,7,LRG,00780,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)","2,262
134","317
30","105
5","113
5","389
25","3,186
199",,,,,,,,,,,,,,,,,,,
RW22A,006,056,051,1,7,LRG,00780,"Hillside Elem School 9250 Scott Rd
Split (JC18, RW22A)","2,208
230","1,133
111","237
21","135
14","818
73","4,531
449",,,,,,,,,,,,,,,,,,,
SC01A,005,038,061,6,4,01,00991,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)","3
0","15
1","0
0","0
0","4
0","22
1",,,,,,,,,,,,,,,,,,,
SC01B,005,038,061,6,4,02,01027,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)","26
3","1,575
46","11
0","4
0","266
16","1,882
65",,,,,,,,,,,,,,,,,,,
SC01C,005,038,061,6,4,01,00991,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)","34
1","1,842
42","8
1","6
0","292
12","2,182
56",,,,,,,,,,,,,,,,,,,
SC02,005,038,055,6,4,01,01004,Southwest Art Center 915 New Hope Rd,"16
2","1,203
29","3
0","3
0","168
2","1,393
33",,,,,,,,,,,,,,,,,,,
SC04,013,035,065,6,4,04,00993,Fire Station No. 17 8675 Ridge Rd,"285
14","540
23","20
1","1
1","150
6","996
45",,,,,,,,,,,,,,,,,,,
SC05A,013,035,065,6,4,03,00996,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)","10
0","582
15","5
0","1
1","92
4","690
20",,,,,,,,,,,,,,,,,,,
SC05B,013,035,062,5,4,03,00997,Cliftondale Church 4095 Stonewall Tell Rd,"88
6","2,805
110","26
2","6
2","515
23","3,440
143",,,,,,,,,,,,,,,,,,,
SC05D,013,035,062,6,4,04,00998,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)","75
4","2,033
60","23
1","5
0","362
16","2,498
81",,,,,,,,,,,,,,,,,,,
SC05E,013,035,062,6,4,03,01014,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)","86
3","475
18","8
0","4
0","87
5","660
26",,,,,,,,,,,,,,,,,,,
SC07A,013,035,065,6,4,04,00993,"Bear Creek Middle School 7415 Herndon Rd
Split (SC07A, SC07C)","486
34","4,557
167","92
3","21
1","901
45","6,057
250",,,,,,,,,,,,,,,,,,,
SC07C,013,035,065,6,4,07,01022,"Bear Creek Middle School 7415 Herndon Rd
Split (SC07A, SC07C)","10
0","18
1","4
1","0
0","3
0","35
2",,,,,,,,,,,,,,,,,,,
SC08B,013,039,064,6,6,05,01016,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",124     5,3155     99,36     4,14     0,469     24,3798     132,,,,,,,,,,,,,,,,,,,
SC08C,013,039,062,5,6,03,00999,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",1     0,70     2,3     0,1     0,13     1,88     3,,,,,,,,,,,,,,,,,,,
SC08D,013,039,063,6,6,05,01011,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",7     1,433     18,8     0,1     0,92     2,541     21,,,,,,,,,,,,,,,,,,,
SC08E,013,035,064,6,6,05,01010,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",9     1,541     20,4     1,3     0,95     6,652     28,,,,,,,,,,,,,,,,,,,
SC08F,013,039,065,5,6,03,01001,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",24     0,614     20,1     0,1     0,100     3,740     23,,,,,,,,,,,,,,,,,,,
SC08G,013,039,065,6,6,05,01015,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",2     0,5     0,0     0,0     0,2     0,9     0,,,,,,,,,,,,,,,,,,,
SC08H,013,039,065,6,6,03,01019,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",0     1,1     0,0     0,0     0,0     1,1     2,,,,,,,,,,,,,,,,,,,
SC09A,013,039,063,6,6,05,01011,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)","28
0","1,464
86","18
1","21
0","223
17","1,754
104",,,,,,,,,,,,,,,,,,,
SC09B,013,039,064,6,6,05,01016,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)","32
3","1,533
53","15
0","7
0","216
7","1,803
63",,,,,,,,,,,,,,,,,,,
SC09C,013,039,063,6,6,06,01012,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)","32
1","1,471
46","15
1","4
0","212
12","1,734
60",,,,,,,,,,,,,,,,,,,
SC10,013,039,063,6,6,05,01011,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)","48
3","1,533
106","21
2","2
0","187
20","1,791
131",,,,,,,,,,,,,,,,,,,
SC11A,013,039,063,6,6,06,01012,"Creel Park
2775 Creel Road
Split (SC11A, SC11B)","27
1","1,282
47","6
0","2
0","187
5","1,504
53",,,,,,,,,,,,,,,,,,,
SC11B,013,039,064,6,6,06,01013,"Creel Park
2775 Creel Road
Split (SC11A, SC11B)","25
2","1,335
43","13
1","3
0","188
3","1,564
49",,,,,,,,,,,,,,,,,,,
SC13,013,035,065,6,4,04,00993,Langston Hughes High School 7510 Hall Road,"140
5","2,138
92","33
3","4
0","380
30","2,695
130",,,,,,,,,,,,,,,,,,,
SC14A,005,038,061,6,4,01,00991,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)","19
2","824
57","9
0","2
1","125
8","979
68",,,,,,,,,,,,,,,,,,,
SC15,013,035,062,6,4,02,00992,The Enon Church 3550 Enon Rd,"184
20","5,392
236","66
5","21
0","911
55","6,574
316",,,,,,,,,,,,,,,,,,,
SC16A,005,038,061,6,4,01,00991,"Sandtown Park Recreation Center 5320 Campbellton Rd
Split (FC03, SC16A)","81
4","4,154
173","23
3","14
1","615
36","4,887
217",,,,,,,,,,,,,,,,,,,
SC17A,013,039,062,5,6,03,00999,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",1     0,47     6,0     0,0     0,4     1,52     7,,,,,,,,,,,,,,,,,,,
SC17B,013,039,065,5,6,03,01001,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",7     0,2     0,0     0,0     0,2     1,11     1,,,,,,,,,,,,,,,,,,,
SC17C,013,039,064,5,6,03,01002,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",31     5,1009     23,8     0,3     0,126     8,1177     36,,,,,,,,,,,,,,,,,,,
SC18A,005,035,061,5,4,02,01003,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",12     3,444     27,10     0,1     0,78     7,545     37,,,,,,,,,,,,,,,,,,,
SC18B,013,035,062,5,4,02,00994,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",28     1,643     8,7     1,3     0,108     3,789    13,,,,,,,,,,,,,,,,,,,
SC18C,013,035,062,5,4,03,00997,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",61     3,1627     36,12     0,3     0,245     4,1948     43,,,,,,,,,,,,,,,,,,,
SC19A,013,039,062,5,6,03,00999,"Solid Rock Pentecostal Church 4707 Washington Rd
Split (SC19A, SC19B)","7
0","164
3","1
0","0
0","31
1","203
4",,,,,,,,,,,,,,,,,,,
SC19B,013,039,064,5,6,03,01002,"Solid Rock Pentecostal Church 4707 Washington Rd
Split (SC19A, SC19B)","45
0","1,208
36","22
1","2
0","179
11","1,456
48",,,,,,,,,,,,,,,,,,,
SC20,013,035,062,5,4,02,00994,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)","58
5","1,950
80","15
1","7
0","329
16","2,359
102",,,,,,,,,,,,,,,,,,,
SC211,013,035,064,6,6,07,01005,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)","53
2","1,287
55","19
1","3
0","225
16","1,587
74",,,,,,,,,,,,,,,,,,,
SC212,013,035,064,6,4,07,01006,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)","169
17","3,065
152","98
2","16
2","566
41","3,914
214",,,,,,,,,,,,,,,,,,,
SC23A,013,039,063,6,6,06,01012,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)","58
5","2,966
118","34
4","9
0","436
33","3,503
160",,,,,,,,,,,,,,,,,,,
SC23B,013,039,064,6,6,07,01008,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)","33
1","403
15","14
1","0
0","63
0","513
17",,,,,,,,,,,,,,,,,,,
SC23C,013,039,063,6,6,07,01007,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)","43
3","2,045
70","38
0","11
0","333
9","2,470
82",,,,,,,,,,,,,,,,,,,
SC27,013,039,063,6,6,06,01012,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)","51
0","1,928
75","16
0","4
1","260
13","2,259
89",,,,,,,,,,,,,,,,,,,
SC29A,013,035,064,6,6,07,01005,S L Lewis Elementary School 6201 Connell Road,"50
9","2,543
83","35
0","3
1","373
13","3,004
106",,,,,,,,,,,,,,,,,,,
SC30A,005,038,055,6,4,01,01004,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)","4
0","113
4","0
0","3
0","19
3","139
7",,,,,,,,,,,,,,,,,,,
SC30B,005,038,055,6,3,01,00995,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)","23
0","873
59","1
0","0
0","138
10","1,035
69",,,,,,,,,,,,,,,,,,,
SS01,006,040,051,1,7,01,00898,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)","3,509
163","263
23","98
8","110
7","623
39","4,603
240",,,,,,,,,,,,,,,,,,,
SS02A,006,056,052,2,3,03,00899,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)","767
56","160
17","30
3","26
0","157
20","1,140
96",,,,,,,,,,,,,,,,,,,
SS02B,006,032,052,2,3,03,00900,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)","606
42","340
29","68
4","34
1","229
20","1,277
96",,,,,,,,,,,,,,,,,,,
SS03,006,032,052,2,3,03,00900,Lake Forest Elementary School 5920 Sandy Springs Cir,"980
66","155
7","59
2","51
2","264
22","1,509
99",,,,,,,,,,,,,,,,,,,
SS04,006,032,052,2,7,04,00901,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)","1,792
142","710
60","150
7","183
17","605
89","3,440
315",,,,,,,,,,,,,,,,,,,
SS05,006,032,052,3,3,03,00902,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)","1,442
55","60
0","29
1","30
0","222
15","1,783
71",,,,,,,,,,,,,,,,,,,
SS06,006,006,052,3,3,03,00903,"Sandy Springs Library
395 Mount Vernon Hwy Ne
Split (SS06, SS31)","1,238
39","61
6","30
1","35
1","207
14","1,571
61",,,,,,,,,,,,,,,,,,,
SS07A,006,006,052,2,3,04,00904,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",859     48,39     3,9     1,37     0,164     8,1108     60,,,,,,,,,,,,,,,,,,,
SS07B,006,006,052,3,3,03,00903,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",469     35,112     5,16     0,31     1,109     7,737     48,,,,,,,,,,,,,,,,,,,
SS07C,006,006,080,3,3,05,00905,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",551     43,58     3,33     0,17     0,123     15,782     61,,,,,,,,,,,,,,,,,,,
SS08A,006,006,080,3,3,05,00905,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",761     88,401     30,80     6,105     5,245     33,1592     162,,,,,,,,,,,,,,,,,,,
SS08B,006,006,052,3,3,03,00903,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",497     28,47     1,13     1,15     1,74     9,646     40,,,,,,,,,,,,,,,,,,,
SS08C,006,006,052,2,3,04,00904,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",337     23,121     9,32     0,53     8,118     8,661     48,,,,,,,,,,,,,,,,,,,
SS08D,006,006,080,3,3,03,00906,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",787     93,321     42,64     7,77     10,245     31,1494     183,,,,,,,,,,,,,,,,,,,
SS09A,011,032,052,3,3,06,00907,"Mt Vernon Baptist Church 850 Mt Vernon Hwy Nw
Split (SS09A, SS09B)","2,317
104","198
15","56
7","76
1","420
21","3,067
148",,,,,,,,,,,,,,,,,,,
SS09B,011,006,052,3,3,06,00908,"Mt Vernon Baptist Church 850 Mt Vernon Hwy Nw
Split (SS09A, SS09B)","2,682
110","109
2","52
0","106
8","458
23","3,407
143",,,,,,,,,,,,,,,,,,,
SS11A,006,006,052,3,3,05,00909,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","2,109
202","740
93","211
21","122
16","575
88","3,757
420",,,,,,,,,,,,,,,,,,,
SS11B,006,006,052,3,3,06,00910,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","629
62","185
25","217
10","41
5","218
32","1,290
134",,,,,,,,,,,,,,,,,,,
SS11C,006,006,080,3,3,06,00911,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","96
7","93
11","46
1","10
0","75
7","320
26",,,,,,,,,,,,,,,,,,,
SS11D,011,006,052,3,3,06,00908,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","274
25","15
1","9
0","10
1","61
3","369
30",,,,,,,,,,,,,,,,,,,
SS12,006,006,080,3,3,05,00905,"Ridgeview Middle School 5340 South Trimble Rd
Split (SS12, SS14)","1,863
131","238
9","64
1","100
5","405
48","2,670
194",,,,,,,,,,,,,,,,,,,
SS13A,011,006,052,3,3,05,00912,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","1,236
97","245
27","105
6","46
5","282
30","1,914
165",,,,,,,,,,,,,,,,,,,
SS13B,011,006,052,3,3,06,00908,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)","647
58","173
15","60
2","33
3","173
23","1,086
101",,,,,,,,,,,,,,,,,,,
SS14,011,006,080,3,3,05,00913,"Ridgeview Middle School 5340 South Trimble Rd
Split (SS12, SS14)","1,087
53","28
0","30
0","19
0","168
5","1,332
58",,,,,,,,,,,,,,,,,,,
SS15A,006,056,051,2,7,02,00914,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)","656
92","1,242
121","160
12","36
13","503
63","2,597
301",,,,,,,,,,,,,,,,,,,
SS15B,006,056,051,2,7,01,00915,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)","818
95","394
42","71
5","32
2","312
45","1,627
189",,,,,,,,,,,,,,,,,,,
SS16,006,032,052,3,3,03,00902,Heard Ferry Elementary School 6151 Powers Ferry Rd NW,"1,674
79","67
0","22
0","32
0","225
12","2,020
91",,,,,,,,,,,,,,,,,,,
SS17,006,040,051,1,7,01,00898,Temple Emanuel 1580 Spalding Dr,"2,199
148","594
72","120
8","72
5","518
67","3,503
300",,,,,,,,,,,,,,,,,,,
SS18A,006,032,052,3,3,03,00902,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)","467
31","25
2","9
2","28
0","94
7","623
42",,,,,,,,,,,,,,,,,,,
SS18B,006,032,052,3,7,02,00916,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)","179
10","8
0","6
2","11
0","24
2","228
14",,,,,,,,,,,,,,,,,,,
SS19A,006,056,045,2,7,02,00917,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)","1,230
162","1,110
164","114
15","83
10","543
73","3,080
424",,,,,,,,,,,,,,,,,,,
SS19B,006,056,052,2,7,02,00918,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)","987
80","617
69","99
3","63
4","385
55","2,151
211",,,,,,,,,,,,,,,,,,,
SS20,006,056,051,2,7,01,00915,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)","933
74","678
63","115
12","84
9","413
52","2,223
210",,,,,,,,,,,,,,,,,,,
SS22,006,056,045,2,7,02,00917,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)","1,411
101","649
70","91
4","71
1","459
54","2,681
230",,,,,,,,,,,,,,,,,,,
SS26,006,056,051,2,7,04,00919,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)","1,137
138","1,437
224","194
15","97
8","696
126","3,561
511",,,,,,,,,,,,,,,,,,,
SS29A,006,032,080,2,3,04,00920,1st Baptist Ch. Sandy Springs 650 Mt Vernon Hwy,"1,617
158","402
36","95
3","127
13","421
61","2,662
271",,,,,,,,,,,,,,,,,,,
SS31,006,006,052,3,3,03,00903,"Sandy Springs Library
395 Mount Vernon Hwy Ne
Split (SS06, SS31)","1,005
46","250
12","31
1","64
3","223
17","1,573
79",,,,,,,,,,,,,,,,,,,
UC01A,013,035,065,6,6,LRG,00802,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)","114
11","3,246
174","45
2","17
0","553
28","3,975
215",,,,,,,,,,,,,,,,,,,
UC01B,013,039,063,6,6,LRG,00923,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)","5
3","345
30","2
0","0
0","55
8","407
41",,,,,,,,,,,,,,,,,,,
UC01D,013,039,065,5,6,LRG,00945,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)","4
0","0
0","0
0","0
0","2
1","6
1",,,,,,,,,,,,,,,,,,,
UC01E,013,039,062,5,6,LRG,00968,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)","5
0","334
6","20
0","2
0","60
6","421
12",,,,,,,,,,,,,,,,,,,
UC02A,013,035,065,6,4,LRG,00804,"Etris Community Center 5285 Lakeside Dr
Split (UC02A, UC02B)","303
16","6,759
300","205
3","34
0","1,181
56","8,482
375",,,,,,,,,,,,,,,,,,,
UC02B,013,035,062,6,4,LRG,00805,"Etris Community Center 5285 Lakeside Dr
Split (UC02A, UC02B)","4
0","29
0","0
0","0
0","1
0","34
0",,,,,,,,,,,,,,,,,,,
UC031,013,035,064,6,6,LRG,00806,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)","342
29","1,791
118","22
2","16
0","357
33","2,528
182",,,,,,,,,,,,,,,,,,,
UC032,013,035,064,6,4,LRG,00807,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)","50
2","267
9","3
0","5
0","41
1","366
12",,,,,,,,,,,,,,,,,,,
