,,Voting Method,,,,,,
,BAYFIELD - TOWN OF EILEEN - WARD 2,,43,,1,90,65,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,107,7,2,222,160,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,94,3,2,213,153,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,,72,4,3,139,98,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,,189,7,6,373,259,
,BAYFIELD - TOWN OF KELLY - WARD 1,,92,,,201,137,
,BAYFIELD - TOWN OF KEYSTONE - WARD 1,,78,2,,171,120,
,BAYFIELD - TOWN OF LINCOLN - WARD 1,,110,6,2,168,125,
,BAYFIELD - TOWN OF MASON - WARD 1,,50,2,1,120,89,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,,113,9,5,159,129,
,BAYFIELD - TOWN OF ORIENTA - WARD 1,,32,,2,71,51,
,BAYFIELD - TOWN OF OULU - WARD 1,,128,1,,243,180,
,BAYFIELD - TOWN OF PILSEN - WARD 1,,56,1,3,123,89,
,BAYFIELD - TOWN OF PORT WING - WARD 1,,145,2,2,232,178,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,,101,,6,305,164,
,BAYFIELD - TOWN OF RUSSELL - WARD 2,,48,,,109,69,
,BAYFIELD - TOWN OF TRIPP - WARD 1,,51,,,103,67,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,,210,7,8,306,222,
,BAYFIELD - VILLAGE OF MASON - WARD 1,,14,,,32,19,
,BROWN - CITY OF DE PERE - WARD 1,,679,32,16,869,634,
,BROWN - CITY OF DE PERE - WARD 10,,611,22,11,797,599,
,BROWN - CITY OF DE PERE - WARD 11,2,222,10,12,561,141,
,BROWN - CITY OF DE PERE - WARD 12,,463,12,5,674,456,
,BROWN - CITY OF DE PERE - WARD 13,,593,14,5,777,601,
,BROWN - CITY OF DE PERE - WARD 14,,597,23,6,832,623,
,BROWN - CITY OF DE PERE - WARD 15,1,551,19,6,776,521,
,BROWN - CITY OF DE PERE - WARD 16,,2,,,5,4,
,BROWN - CITY OF DE PERE - WARD 18,,3,,,6,4,
,BROWN - CITY OF DE PERE - WARD 2,,646,30,14,801,633,
,BROWN - CITY OF DE PERE - WARD 3,,506,14,4,572,461,
,BROWN - CITY OF DE PERE - WARD 4,,429,15,8,539,383,
,BROWN - CITY OF DE PERE - WARD 5,2,174,7,9,213,138,
,BROWN - CITY OF DE PERE - WARD 6,,493,12,14,649,504,
,BROWN - CITY OF DE PERE - WARD 7,,504,9,7,622,472,
,BROWN - CITY OF DE PERE - WARD 8,,359,14,7,512,345,
,BROWN - CITY OF DE PERE - WARD 9,,379,20,8,495,339,
,BROWN - CITY OF GREEN BAY - WARD 1,,10,,,15,12,
,BROWN - CITY OF GREEN BAY - WARD 10,,239,4,1,457,328,
,BROWN - CITY OF GREEN BAY - WARD 11,,273,4,3,507,367,
,BROWN - CITY OF GREEN BAY - WARD 12,,250,6,8,440,317,
,BROWN - CITY OF GREEN BAY - WARD 13,,214,6,8,466,288,
,BROWN - CITY OF GREEN BAY - WARD 14,,234,7,5,483,340,
,BROWN - CITY OF GREEN BAY - WARD 15,1,568,16,18,922,626,
,BROWN - CITY OF GREEN BAY - WARD 16,,508,35,18,838,587,
,BROWN - CITY OF GREEN BAY - WARD 17,1,396,18,9,664,488,
,BROWN - CITY OF GREEN BAY - WARD 18,,381,9,14,661,497,
,BROWN - CITY OF GREEN BAY - WARD 19,,203,9,8,455,272,
,BROWN - CITY OF GREEN BAY - WARD 2,,726,26,17,1014,794,
,BROWN - CITY OF GREEN BAY - WARD 20,,223,8,7,447,302,
,BROWN - CITY OF GREEN BAY - WARD 21,,157,2,5,371,221,
,BROWN - CITY OF GREEN BAY - WARD 22,,141,4,4,237,139,
,BROWN - CITY OF GREEN BAY - WARD 23,,248,16,7,454,248,
,BROWN - CITY OF GREEN BAY - WARD 24,,256,6,4,540,365,
,BROWN - CITY OF GREEN BAY - WARD 25,,288,5,8,557,388,
,BROWN - CITY OF GREEN BAY - WARD 26,,363,23,25,595,356,
,BROWN - CITY OF GREEN BAY - WARD 27,,83,2,2,193,107,
,BROWN - CITY OF GREEN BAY - WARD 28,,257,10,10,575,335,
,BROWN - CITY OF GREEN BAY - WARD 29,,401,14,9,785,546,
,BROWN - CITY OF GREEN BAY - WARD 3,1,511,19,15,973,457,
,BROWN - CITY OF GREEN BAY - WARD 30,1,384,10,9,698,446,
,BROWN - CITY OF GREEN BAY - WARD 31,1,346,8,8,741,519,
,BROWN - CITY OF GREEN BAY - WARD 32,,303,11,2,658,440,
,BROWN - CITY OF GREEN BAY - WARD 33,1,234,2,3,457,332,
,BROWN - CITY OF GREEN BAY - WARD 34,,455,7,6,881,666,
,BROWN - CITY OF GREEN BAY - WARD 35,,373,11,8,643,485,
,BROWN - CITY OF GREEN BAY - WARD 36,,137,4,1,310,200,
,BROWN - CITY OF GREEN BAY - WARD 37,1,342,8,4,589,456,
,BROWN - CITY OF GREEN BAY - WARD 38,,419,8,7,788,564,
,BROWN - CITY OF GREEN BAY - WARD 39,,449,10,10,900,624,
,BROWN - CITY OF GREEN BAY - WARD 4,1,996,41,30,1520,1129,
,BROWN - CITY OF GREEN BAY - WARD 40,,393,11,8,654,494,
,BROWN - CITY OF GREEN BAY - WARD 41,,223,12,1,371,285,
,BROWN - CITY OF GREEN BAY - WARD 42,,211,6,3,430,300,
,BROWN - CITY OF GREEN BAY - WARD 43,,546,14,4,918,700,
,BROWN - CITY OF GREEN BAY - WARD 44,,702,23,2,1195,891,
,BROWN - CITY OF GREEN BAY - WARD 45,,937,63,16,1434,1142,
,BROWN - CITY OF GREEN BAY - WARD 46,,484,11,10,931,670,
,BROWN - CITY OF GREEN BAY - WARD 47,,724,24,19,1163,906,
,BROWN - CITY OF GREEN BAY - WARD 5,,349,22,8,551,419,
,BROWN - CITY OF GREEN BAY - WARD 6,,844,42,23,1304,1032,
,BROWN - CITY OF GREEN BAY - WARD 7,2,400,15,13,715,493,
,BROWN - CITY OF GREEN BAY - WARD 8,,791,34,19,1219,979,
,BROWN - CITY OF GREEN BAY - WARD 9,,213,7,4,414,223,
,BROWN - TOWN OF EATON - WARD 1,,104,,1,252,192,
,BROWN - TOWN OF EATON - WARD 2,,193,,,458,347,
,BROWN - TOWN OF GLENMORE - WARD 1,,145,1,2,303,241,
,BROWN - TOWN OF GLENMORE - WARD 2,,74,3,,147,115,
,BROWN - TOWN OF GREEN BAY - WARD 1,,208,1,1,353,275,
,BROWN - TOWN OF GREEN BAY - WARD 2,,178,1,1,327,249,
,BROWN - TOWN OF GREEN BAY - WARD 3,,116,,,235,168,
,BROWN - TOWN OF HOLLAND - WARD 1,,116,3,2,241,185,
,BROWN - TOWN OF HOLLAND - WARD 2,2,205,,,372,310,
,BROWN - TOWN OF HUMBOLDT - WARD 1,,151,1,,375,290,
,BROWN - TOWN OF HUMBOLDT - WARD 2,,86,1,1,174,138,
,BROWN - TOWN OF LAWRENCE - WARD 1,,398,2,2,460,361,
,BROWN - TOWN OF LAWRENCE - WARD 2,2,264,10,4,354,258,
,BROWN - TOWN OF LAWRENCE - WARD 3,,179,8,,247,170,
,BROWN - TOWN OF LAWRENCE - WARD 4,,300,8,8,402,236,
,BROWN - TOWN OF LAWRENCE - WARD 5,,300,3,5,379,305,
,BROWN - TOWN OF LAWRENCE - WARD 6,,448,11,6,588,439,
,BROWN - TOWN OF LEDGEVIEW - WARD 1,,42,,,57,43,
,BROWN - TOWN OF LEDGEVIEW - WARD 10,3,399,15,8,475,344,
,BROWN - TOWN OF LEDGEVIEW - WARD 2,1,266,6,1,295,238,
,BROWN - TOWN OF LEDGEVIEW - WARD 3,1,183,3,1,204,182,
,BROWN - TOWN OF LEDGEVIEW - WARD 4,1,338,11,7,417,321,
,BROWN - TOWN OF LEDGEVIEW - WARD 5,,266,4,6,318,265,
,BROWN - TOWN OF LEDGEVIEW - WARD 6,2,421,29,12,512,396,
,BROWN - TOWN OF LEDGEVIEW - WARD 7,,242,7,4,280,212,
,BROWN - TOWN OF LEDGEVIEW - WARD 8,1,285,9,6,338,280,
,BROWN - TOWN OF LEDGEVIEW - WARD 9,,249,19,10,325,235,
,BROWN - TOWN OF MORRISON - WARD 1,,131,1,1,284,222,
,BROWN - TOWN OF MORRISON - WARD 2,1,172,5,,366,280,
,BROWN - TOWN OF NEW DENMARK - WARD 1,,95,1,1,209,165,
,BROWN - TOWN OF NEW DENMARK - WARD 2,,163,,1,300,245,
,BROWN - TOWN OF NEW DENMARK - WARD 3,,75,1,1,157,116,
,BROWN - TOWN OF PITTSFIELD - WARD 1,,252,1,4,404,301,
,BROWN - TOWN OF PITTSFIELD - WARD 2,,238,4,7,361,295,
,BROWN - TOWN OF PITTSFIELD - WARD 3,,267,8,3,428,336,
,BROWN - TOWN OF ROCKLAND - WARD 1,,177,3,2,249,191,
,BROWN - TOWN OF ROCKLAND - WARD 2,,157,6,,218,167,
,BROWN - TOWN OF ROCKLAND - WARD 3,,252,2,2,384,291,
,BROWN - TOWN OF SCOTT - WARD 1,,315,5,,432,334,
,BROWN - TOWN OF SCOTT - WARD 2,,250,4,5,394,308,
,BROWN - TOWN OF SCOTT - WARD 3,,264,6,,364,287,
,BROWN - TOWN OF SCOTT - WARD 4,1,367,14,5,494,420,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 1,,220,5,2,437,324,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 2,,144,,2,250,205,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 3,,130,1,1,239,166,
,BROWN - VILLAGE OF ALLOUEZ - WARD 1,,451,6,9,577,402,
,BROWN - VILLAGE OF ALLOUEZ - WARD 2,,848,9,9,1047,852,
,BROWN - VILLAGE OF ALLOUEZ - WARD 3,,286,2,3,384,287,
,BROWN - VILLAGE OF ALLOUEZ - WARD 4,,840,35,15,1049,831,
,BROWN - VILLAGE OF ALLOUEZ - WARD 5,,632,19,15,736,577,
,BROWN - VILLAGE OF ALLOUEZ - WARD 6,,893,20,22,1069,837,
,BROWN - VILLAGE OF ALLOUEZ - WARD 7,1,463,7,6,551,449,
,BROWN - VILLAGE OF ALLOUEZ - WARD 8,2,622,18,11,764,574,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 1,1,289,11,8,454,328,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 10,,682,22,8,840,703,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 11,,391,28,10,595,417,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 12,1,529,13,6,686,529,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 2,,377,8,10,468,369,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 3,,223,7,3,332,242,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 4,1,439,9,1,611,509,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 5,,374,10,4,536,438,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 6,,410,11,5,576,443,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 7,,510,23,7,655,541,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 8,,518,7,4,676,545,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 9,,493,11,10,672,530,
,BROWN - VILLAGE OF BELLEVUE - WARD 1,3,317,31,8,441,296,
,BROWN - VILLAGE OF BELLEVUE - WARD 10,,733,21,13,983,747,
,BROWN - VILLAGE OF BELLEVUE - WARD 2,,197,10,4,322,187,
,BROWN - VILLAGE OF BELLEVUE - WARD 3,,260,6,7,335,233,
,BROWN - VILLAGE OF BELLEVUE - WARD 4,,325,4,6,412,339,
,BROWN - VILLAGE OF BELLEVUE - WARD 5,1,532,30,15,625,506,
,BROWN - VILLAGE OF BELLEVUE - WARD 6,,464,8,2,577,456,
,BROWN - VILLAGE OF BELLEVUE - WARD 7,,663,19,10,844,665,
,BROWN - VILLAGE OF BELLEVUE - WARD 8,,499,11,8,644,518,
,BROWN - VILLAGE OF BELLEVUE - WARD 9,,557,11,6,717,546,
,BROWN - VILLAGE OF DENMARK - WARD 1,,179,2,2,323,230,
,BROWN - VILLAGE OF DENMARK - WARD 2,,109,1,1,206,148,
,BROWN - VILLAGE OF DENMARK - WARD 3,,142,5,,244,181,
,BROWN - VILLAGE OF HOBART - WARD 1,1,725,20,18,905,596,
,BROWN - VILLAGE OF HOBART - WARD 2,,382,37,13,441,341,
,BROWN - VILLAGE OF HOBART - WARD 3,,278,16,12,340,261,
,BROWN - VILLAGE OF HOBART - WARD 4,,294,19,10,330,234,
,BROWN - VILLAGE OF HOBART - WARD 5,1,323,17,6,383,291,
,BROWN - VILLAGE OF HOBART - WARD 6,,164,3,1,238,153,
,BROWN - VILLAGE OF HOBART - WARD 7,,249,5,3,337,254,
,BROWN - VILLAGE OF HOBART - WARD 8,,385,4,3,503,325,
,BROWN - VILLAGE OF HOBART - WARD 9,,27,1,,43,11,
,BROWN - VILLAGE OF HOWARD - WARD 1,,237,13,9,363,239,
,BROWN - VILLAGE OF HOWARD - WARD 10,,450,8,4,580,454,
,BROWN - VILLAGE OF HOWARD - WARD 11,,693,30,6,867,682,
,BROWN - VILLAGE OF HOWARD - WARD 12,1,234,8,6,359,250,
,BROWN - VILLAGE OF HOWARD - WARD 13,,427,19,6,575,405,
,BROWN - VILLAGE OF HOWARD - WARD 14,,182,2,2,234,177,
,BROWN - VILLAGE OF HOWARD - WARD 15,,616,10,10,809,596,
,BROWN - VILLAGE OF HOWARD - WARD 16,1,265,14,4,351,251,
,BROWN - VILLAGE OF HOWARD - WARD 18,,197,3,2,267,194,
,BROWN - VILLAGE OF HOWARD - WARD 2,,219,3,6,304,236,
,BROWN - VILLAGE OF HOWARD - WARD 3,,163,1,1,259,160,
,BROWN - VILLAGE OF HOWARD - WARD 4,,144,7,3,248,148,
,BROWN - VILLAGE OF HOWARD - WARD 5,,175,2,1,272,197,
,BROWN - VILLAGE OF HOWARD - WARD 6,,265,6,3,385,295,
,BROWN - VILLAGE OF HOWARD - WARD 7,,369,24,6,494,369,
,BROWN - VILLAGE OF HOWARD - WARD 8,,572,22,10,773,573,
,BROWN - VILLAGE OF HOWARD - WARD 9,,349,5,3,479,374,
,BROWN - VILLAGE OF PULASKI - WARD 1,,136,2,3,236,140,
,BROWN - VILLAGE OF PULASKI - WARD 2,,223,4,3,349,236,
,BROWN - VILLAGE OF PULASKI - WARD 3,,218,1,,374,247,
,BROWN - VILLAGE OF PULASKI - WARD 6,,110,2,3,199,128,
,BROWN - VILLAGE OF SUAMICO - WARD 1,1,491,24,22,605,443,
,BROWN - VILLAGE OF SUAMICO - WARD 2,,362,5,6,472,335,
