,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BARRON - TOWN OF STANLEY - WARD 4,22,,
,BARRON - TOWN OF SUMNER - WARD 1,37,,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,22,,
,BARRON - TOWN OF VANCE CREEK - WARD 1,30,,
,BARRON - VILLAGE OF ALMENA - WARD 1,22,,
,BARRON - VILLAGE OF CAMERON - WARD 1,37,,
,BARRON - VILLAGE OF CAMERON - WARD 2,11,,
,BARRON - VILLAGE OF CAMERON - WARD 3,1,,
,BARRON - VILLAGE OF DALLAS - WARD 1,16,,
,BARRON - VILLAGE OF HAUGEN - WARD 1,10,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,14,,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,17,,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,1,,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,1,,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,5,,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,3,,
,BAYFIELD - CITY OF WASHBURN - WARD 1,17,,
,BAYFIELD - CITY OF WASHBURN - WARD 2,12,,
,BAYFIELD - CITY OF WASHBURN - WARD 3,7,,
,BAYFIELD - CITY OF WASHBURN - WARD 4,22,,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,38,,
,BAYFIELD - TOWN OF BARNES - WARD 1,26,,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,30,,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,27,,
,BAYFIELD - TOWN OF BELL - WARD 1,8,,
,BAYFIELD - TOWN OF CABLE - WARD 1,35,,
,BAYFIELD - TOWN OF CLOVER - WARD 1,15,,
,BAYFIELD - TOWN OF DELTA - WARD 1,21,,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,11,,
,BAYFIELD - TOWN OF EILEEN - WARD 1,27,,
,BAYFIELD - TOWN OF EILEEN - WARD 2,9,,
