,ASHLAND - CITY OF ASHLAND - WARD 7,35,,
,ASHLAND - CITY OF ASHLAND - WARD 8,54,,
,ASHLAND - CITY OF ASHLAND - WARD 9,39,,
,ASHLAND - CITY OF MELLEN - WARD 1,46,,
,ASHLAND - TOWN OF AGENDA - WARD 1,33,,
,ASHLAND - TOWN OF ASHLAND - WARD 1,37,,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,21,,
,ASHLAND - TOWN OF GINGLES - WARD 1,57,,
,ASHLAND - TOWN OF GORDON - WARD 1,13,,
,ASHLAND - TOWN OF GORDON - WARD 2,6,,
,ASHLAND - TOWN OF JACOBS - WARD 1,33,,
,ASHLAND - TOWN OF LA POINTE - WARD 1,65,,
,ASHLAND - TOWN OF MARENGO - WARD 1,13,,
,ASHLAND - TOWN OF MARENGO - WARD 2,11,,
,ASHLAND - TOWN OF MORSE - WARD 1,36,,
,ASHLAND - TOWN OF MORSE - WARD 2,3,,
,ASHLAND - TOWN OF MORSE - WARD 3,8,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,11,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,9,,
,ASHLAND - TOWN OF SANBORN - WARD 1,5,,
,ASHLAND - TOWN OF SANBORN - WARD 2,15,,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,12,,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,30,,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,4,,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,4,,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,19,,
,BARRON - CITY OF BARRON - WARD 1,106,,
,BARRON - CITY OF BARRON - WARD 2,48,,
,BARRON - CITY OF BARRON - WARD 3,14,,
,BARRON - CITY OF BARRON - WARD 4,26,,
,BARRON - CITY OF BARRON - WARD 5,35,,
,BARRON - CITY OF BARRON - WARD 6,2,,
,BARRON - CITY OF BARRON - WARD 7,36,,
,BARRON - CITY OF CHETEK - WARD 1,52,,
,BARRON - CITY OF CHETEK - WARD 2,32,,
,BARRON - CITY OF CHETEK - WARD 3,41,,
,BARRON - CITY OF CHETEK - WARD 4,49,,
,BARRON - CITY OF CUMBERLAND - WARD 1,45,,
,BARRON - CITY OF CUMBERLAND - WARD 2,85,,
,BARRON - CITY OF CUMBERLAND - WARD 3,49,,
,BARRON - CITY OF CUMBERLAND - WARD 4,62,,
,BARRON - CITY OF RICE LAKE - WARD 1,42,,
,BARRON - CITY OF RICE LAKE - WARD 10,91,,
,BARRON - CITY OF RICE LAKE - WARD 11,102,,
,BARRON - CITY OF RICE LAKE - WARD 12,126,,
,BARRON - CITY OF RICE LAKE - WARD 13,13,,
,BARRON - CITY OF RICE LAKE - WARD 2,45,,
,BARRON - CITY OF RICE LAKE - WARD 3,72,,
,BARRON - CITY OF RICE LAKE - WARD 4,44,,
,BARRON - CITY OF RICE LAKE - WARD 5,113,,
,BARRON - CITY OF RICE LAKE - WARD 6,56,,
,BARRON - CITY OF RICE LAKE - WARD 7,21,,
,BARRON - CITY OF RICE LAKE - WARD 8,30,,
,BARRON - CITY OF RICE LAKE - WARD 9,29,,
,BARRON - TOWN OF ALMENA - WARD 1,37,,
,BARRON - TOWN OF ALMENA - WARD 2,22,,
,BARRON - TOWN OF ARLAND - WARD 1,30,,
,BARRON - TOWN OF BARRON - WARD 1,23,,
,BARRON - TOWN OF BARRON - WARD 2,32,,
,BARRON - TOWN OF BEAR LAKE - WARD 1,42,,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,182,,
,BARRON - TOWN OF CHETEK - WARD 1,103,,
,BARRON - TOWN OF CHETEK - WARD 2,67,,
,BARRON - TOWN OF CLINTON - WARD 1,44,,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,49,,
,BARRON - TOWN OF CUMBERLAND - WARD 1,57,,
,BARRON - TOWN OF DALLAS - WARD 1,30,,
,BARRON - TOWN OF DOVRE - WARD 1,58,,
,BARRON - TOWN OF DOYLE - WARD 1,6,,
,BARRON - TOWN OF DOYLE - WARD 2,18,,
,BARRON - TOWN OF LAKELAND - WARD 1,21,,
,BARRON - TOWN OF LAKELAND - WARD 2,55,,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,26,,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,30,,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,69,,
,BARRON - TOWN OF OAK GROVE - WARD 1,27,,
,BARRON - TOWN OF OAK GROVE - WARD 2,45,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,25,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,18,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,91,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,59,,
,BARRON - TOWN OF RICE LAKE - WARD 1,128,,
,BARRON - TOWN OF RICE LAKE - WARD 2,93,,
,BARRON - TOWN OF RICE LAKE - WARD 3,52,,
,BARRON - TOWN OF RICE LAKE - WARD 4,73,,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,66,,
,BARRON - TOWN OF STANFOLD - WARD 1,67,,
,BARRON - TOWN OF STANLEY - WARD 1,47,,
,BARRON - TOWN OF STANLEY - WARD 2,72,,
,BARRON - TOWN OF STANLEY - WARD 3,48,,
,BARRON - TOWN OF STANLEY - WARD 4,40,,
,BARRON - TOWN OF SUMNER - WARD 1,41,,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,21,,
,BARRON - TOWN OF VANCE CREEK - WARD 1,27,,
,BARRON - VILLAGE OF ALMENA - WARD 1,24,,
,BARRON - VILLAGE OF CAMERON - WARD 1,55,,
,BARRON - VILLAGE OF CAMERON - WARD 2,15,,
,BARRON - VILLAGE OF CAMERON - WARD 3,9,,
,BARRON - VILLAGE OF DALLAS - WARD 1,25,,
,BARRON - VILLAGE OF HAUGEN - WARD 1,5,,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,2,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,11,,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,32,,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,23,,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,37,,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,36,,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,36,,
,BAYFIELD - CITY OF WASHBURN - WARD 1,139,,
,BAYFIELD - CITY OF WASHBURN - WARD 2,51,,
,BAYFIELD - CITY OF WASHBURN - WARD 3,31,,
,BAYFIELD - CITY OF WASHBURN - WARD 4,116,,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,79,,
,BAYFIELD - TOWN OF BARNES - WARD 1,151,,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,149,,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,97,,
,BAYFIELD - TOWN OF BELL - WARD 1,64,,
,BAYFIELD - TOWN OF CABLE - WARD 1,117,,
,BAYFIELD - TOWN OF CLOVER - WARD 1,68,,
,BAYFIELD - TOWN OF DELTA - WARD 1,69,,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,91,,
,BAYFIELD - TOWN OF EILEEN - WARD 1,43,,
,BAYFIELD - TOWN OF EILEEN - WARD 2,15,,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,57,,
,BAYFIELD - TOWN OF HUGHES - WARD 1,51,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,36,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,114,,
,BAYFIELD - TOWN OF KELLY - WARD 1,34,1,
,BAYFIELD - TOWN OF KEYSTONE - WARD 1,33,,
,BAYFIELD - TOWN OF LINCOLN - WARD 1,58,,
,BAYFIELD - TOWN OF MASON - WARD 1,22,,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,73,,
,BAYFIELD - TOWN OF ORIENTA - WARD 1,21,,
,BAYFIELD - TOWN OF OULU - WARD 1,66,,
,BAYFIELD - TOWN OF PILSEN - WARD 1,16,,
,BAYFIELD - TOWN OF PORT WING - WARD 1,93,,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,44,,
,BAYFIELD - TOWN OF RUSSELL - WARD 2,19,,
,BAYFIELD - TOWN OF TRIPP - WARD 1,26,,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,106,,
,BAYFIELD - VILLAGE OF MASON - WARD 1,8,,
,BROWN - CITY OF DE PERE - WARD 1,248,,
,BROWN - CITY OF DE PERE - WARD 10,237,,
,BROWN - CITY OF DE PERE - WARD 11,38,,
,BROWN - CITY OF DE PERE - WARD 12,155,,
,BROWN - CITY OF DE PERE - WARD 13,215,,
,BROWN - CITY OF DE PERE - WARD 14,190,,
,BROWN - CITY OF DE PERE - WARD 15,127,,
,BROWN - CITY OF DE PERE - WARD 18,3,,
,BROWN - CITY OF DE PERE - WARD 2,245,,
,BROWN - CITY OF DE PERE - WARD 3,177,,
,BROWN - CITY OF DE PERE - WARD 4,139,,
,BROWN - CITY OF DE PERE - WARD 5,57,,
,BROWN - CITY OF DE PERE - WARD 6,204,,
,BROWN - CITY OF DE PERE - WARD 7,166,,
,BROWN - CITY OF DE PERE - WARD 8,140,,
,BROWN - CITY OF DE PERE - WARD 9,127,,
,BROWN - CITY OF GREEN BAY - WARD 1,2,,
,BROWN - CITY OF GREEN BAY - WARD 10,89,,
,BROWN - CITY OF GREEN BAY - WARD 11,103,,
,BROWN - CITY OF GREEN BAY - WARD 12,106,,
,BROWN - CITY OF GREEN BAY - WARD 13,47,,
,BROWN - CITY OF GREEN BAY - WARD 14,61,,
,BROWN - CITY OF GREEN BAY - WARD 15,169,,
,BROWN - CITY OF GREEN BAY - WARD 16,128,,
,BROWN - CITY OF GREEN BAY - WARD 17,167,,
,BROWN - CITY OF GREEN BAY - WARD 18,128,,
,BROWN - CITY OF GREEN BAY - WARD 19,49,,
,BROWN - CITY OF GREEN BAY - WARD 2,211,,
,BROWN - CITY OF GREEN BAY - WARD 20,82,,
,BROWN - CITY OF GREEN BAY - WARD 21,43,,
,BROWN - CITY OF GREEN BAY - WARD 22,38,,
,BROWN - CITY OF GREEN BAY - WARD 23,77,,
,BROWN - CITY OF GREEN BAY - WARD 24,92,,
,BROWN - CITY OF GREEN BAY - WARD 25,82,,
,BROWN - CITY OF GREEN BAY - WARD 26,66,,
,BROWN - CITY OF GREEN BAY - WARD 27,19,,
,BROWN - CITY OF GREEN BAY - WARD 28,67,,
,BROWN - CITY OF GREEN BAY - WARD 29,161,,
,BROWN - CITY OF GREEN BAY - WARD 3,194,,
,BROWN - CITY OF GREEN BAY - WARD 30,86,,
,BROWN - CITY OF GREEN BAY - WARD 31,118,,
,BROWN - CITY OF GREEN BAY - WARD 32,89,,
,BROWN - CITY OF GREEN BAY - WARD 33,75,,
,BROWN - CITY OF GREEN BAY - WARD 34,175,,
,BROWN - CITY OF GREEN BAY - WARD 35,136,,
,BROWN - CITY OF GREEN BAY - WARD 36,32,,
,BROWN - CITY OF GREEN BAY - WARD 37,118,,
,BROWN - CITY OF GREEN BAY - WARD 38,112,,
,BROWN - CITY OF GREEN BAY - WARD 39,166,,
,BROWN - CITY OF GREEN BAY - WARD 4,390,,
,BROWN - CITY OF GREEN BAY - WARD 40,126,,
,BROWN - CITY OF GREEN BAY - WARD 41,95,,
,BROWN - CITY OF GREEN BAY - WARD 42,69,,
,BROWN - CITY OF GREEN BAY - WARD 43,176,,
,BROWN - CITY OF GREEN BAY - WARD 44,280,,
,BROWN - CITY OF GREEN BAY - WARD 45,307,,
,BROWN - CITY OF GREEN BAY - WARD 46,154,,
,BROWN - CITY OF GREEN BAY - WARD 47,243,,
,BROWN - CITY OF GREEN BAY - WARD 5,134,1,
,BROWN - CITY OF GREEN BAY - WARD 6,325,,
,BROWN - CITY OF GREEN BAY - WARD 7,115,,
,BROWN - CITY OF GREEN BAY - WARD 8,284,,
,BROWN - CITY OF GREEN BAY - WARD 9,48,,
,BROWN - TOWN OF EATON - WARD 1,40,,
,BROWN - TOWN OF EATON - WARD 2,71,,
,BROWN - TOWN OF GLENMORE - WARD 1,63,,
,BROWN - TOWN OF GLENMORE - WARD 2,28,,
,BROWN - TOWN OF GREEN BAY - WARD 1,104,,
,BROWN - TOWN OF GREEN BAY - WARD 2,71,,
,BROWN - TOWN OF GREEN BAY - WARD 3,41,,
,BROWN - TOWN OF HOLLAND - WARD 1,48,,
,BROWN - TOWN OF HOLLAND - WARD 2,111,,
,BROWN - TOWN OF HUMBOLDT - WARD 1,79,,
,BROWN - TOWN OF HUMBOLDT - WARD 2,31,,
,BROWN - TOWN OF LAWRENCE - WARD 1,137,,
,BROWN - TOWN OF LAWRENCE - WARD 2,106,,
,BROWN - TOWN OF LAWRENCE - WARD 3,61,,
,BROWN - TOWN OF LAWRENCE - WARD 4,73,,
,BROWN - TOWN OF LAWRENCE - WARD 5,73,,
,BROWN - TOWN OF LAWRENCE - WARD 6,137,,
,BROWN - TOWN OF LEDGEVIEW - WARD 1,18,,
,BROWN - TOWN OF LEDGEVIEW - WARD 10,83,,
,BROWN - TOWN OF LEDGEVIEW - WARD 2,72,,
,BROWN - TOWN OF LEDGEVIEW - WARD 3,49,,
,BROWN - TOWN OF LEDGEVIEW - WARD 4,123,,
,BROWN - TOWN OF LEDGEVIEW - WARD 5,69,,
,BROWN - TOWN OF LEDGEVIEW - WARD 6,208,,
,BROWN - TOWN OF LEDGEVIEW - WARD 7,69,,
,BROWN - TOWN OF LEDGEVIEW - WARD 8,82,,
,BROWN - TOWN OF LEDGEVIEW - WARD 9,62,,
,BROWN - TOWN OF MORRISON - WARD 1,64,,
,BROWN - TOWN OF MORRISON - WARD 2,68,,
,BROWN - TOWN OF NEW DENMARK - WARD 1,26,,
,BROWN - TOWN OF NEW DENMARK - WARD 2,80,,
,BROWN - TOWN OF NEW DENMARK - WARD 3,36,,
,BROWN - TOWN OF PITTSFIELD - WARD 1,90,,
,BROWN - TOWN OF PITTSFIELD - WARD 2,121,,
,BROWN - TOWN OF PITTSFIELD - WARD 3,108,,
,BROWN - TOWN OF ROCKLAND - WARD 1,67,,
,BROWN - TOWN OF ROCKLAND - WARD 2,69,,
,BROWN - TOWN OF ROCKLAND - WARD 3,99,,
,BROWN - TOWN OF SCOTT - WARD 1,106,,
,BROWN - TOWN OF SCOTT - WARD 2,94,,
,BROWN - TOWN OF SCOTT - WARD 3,118,,
,BROWN - TOWN OF SCOTT - WARD 4,159,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 1,95,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 2,70,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 3,45,1,
,BROWN - VILLAGE OF ALLOUEZ - WARD 1,119,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 2,362,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 3,103,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 4,345,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 5,248,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 6,353,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 7,176,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 8,233,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 1,103,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 10,250,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 11,148,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 12,222,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 2,178,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 3,66,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 4,163,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 5,164,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 6,154,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 7,198,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 8,208,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 9,195,,
,BROWN - VILLAGE OF BELLEVUE - WARD 1,128,,
,BROWN - VILLAGE OF BELLEVUE - WARD 10,252,,
,BROWN - VILLAGE OF BELLEVUE - WARD 2,54,,
,BROWN - VILLAGE OF BELLEVUE - WARD 3,78,,
,BROWN - VILLAGE OF BELLEVUE - WARD 4,137,,
,BROWN - VILLAGE OF BELLEVUE - WARD 5,224,,
,BROWN - VILLAGE OF BELLEVUE - WARD 6,199,,
,BROWN - VILLAGE OF BELLEVUE - WARD 7,244,,
,BROWN - VILLAGE OF BELLEVUE - WARD 8,203,,
,BROWN - VILLAGE OF BELLEVUE - WARD 9,201,,
,BROWN - VILLAGE OF DENMARK - WARD 1,57,,
,BROWN - VILLAGE OF DENMARK - WARD 2,46,,
,BROWN - VILLAGE OF DENMARK - WARD 3,68,,
,BROWN - VILLAGE OF HOBART - WARD 1,272,,
,BROWN - VILLAGE OF HOBART - WARD 2,151,,
,BROWN - VILLAGE OF HOBART - WARD 3,97,,
,BROWN - VILLAGE OF HOBART - WARD 4,95,,
,BROWN - VILLAGE OF HOBART - WARD 5,127,,
,BROWN - VILLAGE OF HOBART - WARD 6,55,,
,BROWN - VILLAGE OF HOBART - WARD 7,115,,
,BROWN - VILLAGE OF HOBART - WARD 8,94,,
,BROWN - VILLAGE OF HOBART - WARD 9,2,,
,BROWN - VILLAGE OF HOWARD - WARD 1,71,,
,BROWN - VILLAGE OF HOWARD - WARD 10,170,,
,BROWN - VILLAGE OF HOWARD - WARD 11,320,,
,BROWN - VILLAGE OF HOWARD - WARD 12,82,,
,BROWN - VILLAGE OF HOWARD - WARD 13,165,,
,BROWN - VILLAGE OF HOWARD - WARD 14,62,,
,BROWN - VILLAGE OF HOWARD - WARD 15,172,,
,BROWN - VILLAGE OF HOWARD - WARD 16,81,,
,BROWN - VILLAGE OF HOWARD - WARD 18,49,,
,BROWN - VILLAGE OF HOWARD - WARD 2,91,,
,BROWN - VILLAGE OF HOWARD - WARD 3,65,,
,BROWN - VILLAGE OF HOWARD - WARD 4,53,,
,BROWN - VILLAGE OF HOWARD - WARD 5,71,,
,BROWN - VILLAGE OF HOWARD - WARD 6,90,,
,BROWN - VILLAGE OF HOWARD - WARD 7,142,,
,BROWN - VILLAGE OF HOWARD - WARD 8,211,,
,BROWN - VILLAGE OF HOWARD - WARD 9,119,,
,BROWN - VILLAGE OF PULASKI - WARD 1,44,,
,BROWN - VILLAGE OF PULASKI - WARD 2,96,,
,BROWN - VILLAGE OF PULASKI - WARD 3,75,,
,BROWN - VILLAGE OF PULASKI - WARD 6,33,,
,BROWN - VILLAGE OF SUAMICO - WARD 1,143,,
,BROWN - VILLAGE OF SUAMICO - WARD 2,86,,
,BROWN - VILLAGE OF SUAMICO - WARD 3,114,,
,BROWN - VILLAGE OF SUAMICO - WARD 4,238,,
,BROWN - VILLAGE OF SUAMICO - WARD 5,214,,
,BROWN - VILLAGE OF SUAMICO - WARD 6,95,,
,BROWN - VILLAGE OF SUAMICO - WARD 7,161,,
,BROWN - VILLAGE OF SUAMICO - WARD 8,224,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 1,50,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 2,62,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 3,72,,
,BUFFALO - CITY OF ALMA - WARD 1,48,,
,BUFFALO - CITY OF ALMA - WARD 2,54,,
,BUFFALO - CITY OF BUFFALO - WARD 1,121,,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 1,51,,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 2,22,,
,BUFFALO - CITY OF MONDOVI - WARD 1,87,,
,BUFFALO - CITY OF MONDOVI - WARD 2,46,,
,BUFFALO - CITY OF MONDOVI - WARD 3,96,,
,BUFFALO - TOWN OF ALMA - WARD 1,39,,
,BUFFALO - TOWN OF BELVIDERE - WARD 1,48,,
,BUFFALO - TOWN OF BUFFALO - WARD 1,46,,
,BUFFALO - TOWN OF CANTON - WARD 1,33,,
,BUFFALO - TOWN OF CROSS - WARD 1,28,,
,BUFFALO - TOWN OF DOVER - WARD 1,32,,
,BUFFALO - TOWN OF GILMANTON - WARD 1,22,,
,BUFFALO - TOWN OF GLENCOE - WARD 1,44,,
,BUFFALO - TOWN OF LINCOLN - WARD 1,49,,
,BUFFALO - TOWN OF MAXVILLE - WARD 1,32,,
,BUFFALO - TOWN OF MILTON - WARD 1,66,,
,BUFFALO - TOWN OF MODENA - WARD 1,18,,
,BUFFALO - TOWN OF MONDOVI - WARD 1,40,,
,BUFFALO - TOWN OF MONTANA - WARD 1,9,,
,BUFFALO - TOWN OF NAPLES - WARD 1,65,,
,BUFFALO - TOWN OF NELSON - WARD 1,69,,
,BUFFALO - TOWN OF WAUMANDEE - WARD 1,63,,
,BUFFALO - VILLAGE OF COCHRANE - WARD 1,15,,
,BUFFALO - VILLAGE OF NELSON - WARD 1,21,,
,BURNETT - TOWN OF ANDERSON - WARD 1,18,,
,BURNETT - TOWN OF BLAINE - WARD 1,16,,
,BURNETT - TOWN OF DANIELS - WARD 1,66,,
,BURNETT - TOWN OF DEWEY - WARD 1,23,,
,BURNETT - TOWN OF GRANTSBURG - WARD 1,25,,
,BURNETT - TOWN OF GRANTSBURG - WARD 2,20,,
,BURNETT - TOWN OF GRANTSBURG - WARD 3,15,,
,BURNETT - TOWN OF JACKSON - WARD 1,110,,
,BURNETT - TOWN OF LA FOLLETTE - WARD 1,42,,
,BURNETT - TOWN OF LA FOLLETTE - WARD 2,6,,
,BURNETT - TOWN OF LINCOLN - WARD 1,33,,
,BURNETT - TOWN OF MEENON - WARD 1,20,,
,BURNETT - TOWN OF MEENON - WARD 2,36,,
,BURNETT - TOWN OF MEENON - WARD 3,16,,
,BURNETT - TOWN OF OAKLAND - WARD 1,54,,
,BURNETT - TOWN OF OAKLAND - WARD 2,62,,
,BURNETT - TOWN OF ROOSEVELT - WARD 1,6,,
,BURNETT - TOWN OF RUSK - WARD 1,39,,
,BURNETT - TOWN OF SAND LAKE - WARD 1,37,,
,BURNETT - TOWN OF SCOTT - WARD 1,51,,
,BURNETT - TOWN OF SCOTT - WARD 2,39,,
,BURNETT - TOWN OF SIREN - WARD 1,57,,
,BURNETT - TOWN OF SIREN - WARD 2,27,,
,BURNETT - TOWN OF SWISS - WARD 1,47,,
,BURNETT - TOWN OF SWISS - WARD 2,25,,
,BURNETT - TOWN OF TRADE LAKE - WARD 1,71,,
,BURNETT - TOWN OF TRADE LAKE - WARD 2,1,,
,BURNETT - TOWN OF UNION - WARD 1,40,,
,BURNETT - TOWN OF WEBB LAKE - WARD 1,36,,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 1,15,,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 2,2,,
,BURNETT - TOWN OF WOOD RIVER - WARD 1,73,,
,BURNETT - TOWN OF WOOD RIVER - WARD 2,6,,
,BURNETT - TOWN OF WOOD RIVER - WARD 3,13,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 1,49,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 2,22,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 3,17,,
,BURNETT - VILLAGE OF SIREN - WARD 1,35,,
,BURNETT - VILLAGE OF SIREN - WARD 2,12,,
,BURNETT - VILLAGE OF WEBSTER - WARD 1,12,,
,BURNETT - VILLAGE OF WEBSTER - WARD 2,21,,
,CALUMET - CITY OF APPLETON - WARD 12,82,,
,CALUMET - CITY OF APPLETON - WARD 13,145,,
,CALUMET - CITY OF APPLETON - WARD 14,116,,
,CALUMET - CITY OF APPLETON - WARD 26,180,,
,CALUMET - CITY OF APPLETON - WARD 44,155,,
,CALUMET - CITY OF APPLETON - WARD 45,213,,
,CALUMET - CITY OF APPLETON - WARD 46,14,,
,CALUMET - CITY OF BRILLION - WARD 1,54,,
,CALUMET - CITY OF BRILLION - WARD 2,73,,
,CALUMET - CITY OF BRILLION - WARD 3,57,,
,CALUMET - CITY OF BRILLION - WARD 4,51,,
,CALUMET - CITY OF CHILTON - WARD 1,61,,
,CALUMET - CITY OF CHILTON - WARD 2,110,,
,CALUMET - CITY OF CHILTON - WARD 3,79,,
,CALUMET - CITY OF CHILTON - WARD 4,52,,
,CALUMET - CITY OF CHILTON - WARD 5,40,,
,CALUMET - CITY OF KIEL - WARD 7,31,,
,CALUMET - CITY OF MENASHA - WARD 16,95,,
,CALUMET - CITY OF MENASHA - WARD 17,163,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 1,71,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 2,58,,
