,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BROWN - CITY OF DE PERE - WARD 4,128,8,
,BROWN - CITY OF DE PERE - WARD 5,56,15,
,BROWN - CITY OF DE PERE - WARD 6,204,11,
,BROWN - CITY OF DE PERE - WARD 7,166,18,
,BROWN - CITY OF DE PERE - WARD 8,139,9,
,BROWN - CITY OF DE PERE - WARD 9,121,12,
,BROWN - CITY OF GREEN BAY - WARD 1,8,,
,BROWN - CITY OF GREEN BAY - WARD 10,208,11,
,BROWN - CITY OF GREEN BAY - WARD 11,187,13,
,BROWN - CITY OF GREEN BAY - WARD 12,173,12,
,BROWN - CITY OF GREEN BAY - WARD 13,108,10,
,BROWN - CITY OF GREEN BAY - WARD 14,183,10,
,BROWN - CITY OF GREEN BAY - WARD 15,259,16,
,BROWN - CITY OF GREEN BAY - WARD 16,244,20,
,BROWN - CITY OF GREEN BAY - WARD 17,273,38,
,BROWN - CITY OF GREEN BAY - WARD 18,258,19,
,BROWN - CITY OF GREEN BAY - WARD 19,121,15,
,BROWN - CITY OF GREEN BAY - WARD 2,280,26,
,BROWN - CITY OF GREEN BAY - WARD 20,140,4,
,BROWN - CITY OF GREEN BAY - WARD 21,108,12,
,BROWN - CITY OF GREEN BAY - WARD 22,55,7,
,BROWN - CITY OF GREEN BAY - WARD 23,129,16,
,BROWN - CITY OF GREEN BAY - WARD 24,192,9,
,BROWN - CITY OF GREEN BAY - WARD 25,183,13,
,BROWN - CITY OF GREEN BAY - WARD 26,109,15,
,BROWN - CITY OF GREEN BAY - WARD 27,65,1,
,BROWN - CITY OF GREEN BAY - WARD 28,151,6,
,BROWN - CITY OF GREEN BAY - WARD 29,244,12,
,BROWN - CITY OF GREEN BAY - WARD 3,231,20,
,BROWN - CITY OF GREEN BAY - WARD 30,186,19,
,BROWN - CITY OF GREEN BAY - WARD 31,231,28,
,BROWN - CITY OF GREEN BAY - WARD 32,244,18,
,BROWN - CITY OF GREEN BAY - WARD 33,157,14,
,BROWN - CITY OF GREEN BAY - WARD 34,356,31,
,BROWN - CITY OF GREEN BAY - WARD 35,296,14,
,BROWN - CITY OF GREEN BAY - WARD 36,119,16,
,BROWN - CITY OF GREEN BAY - WARD 37,251,16,
,BROWN - CITY OF GREEN BAY - WARD 38,262,11,
,BROWN - CITY OF GREEN BAY - WARD 39,344,21,
,BROWN - CITY OF GREEN BAY - WARD 4,565,41,
,BROWN - CITY OF GREEN BAY - WARD 40,243,24,
,BROWN - CITY OF GREEN BAY - WARD 41,141,8,
,BROWN - CITY OF GREEN BAY - WARD 42,154,9,
,BROWN - CITY OF GREEN BAY - WARD 43,393,25,
